#	Epoch	E	E*lambda_E	rho	rho*lambda_rho	ae	ae*lambda_ae	total
0	31.453585154358393	0.31453585154358393	16.325262034397866	326.5052406879573	54.651429355164446	54.651429355164446	82.1857285410264
1	31.773512436612876	0.3177351243661288	16.330707009868732	326.61414019737464	54.52072569333718	54.52072569333718	82.14377819384181
2	34.89514873607704	0.3489514873607704	16.292969098653998	325.85938197307996	53.619719767818026	53.619719767818026	81.66726319104566
3	37.41037367073402	0.3741037367073402	16.26834060221362	325.36681204427236	52.8533808148312	52.8533808148312	81.28056851670753
4	42.116843876450346	0.4211684387645035	16.23531574681171	324.7063149362342	52.16684678506617	52.16684678506617	80.8712816300653
5	44.73938334547279	0.4473938334547279	16.204152044176496	324.0830408835299	51.35539305598417	51.35539305598417	80.42661794884623
6	47.9066391953619	0.479066391953619	16.158987054769888	323.17974109539773	50.721984766837885	50.721984766837885	79.9856434914039
7	52.02589009934269	0.5202589009934269	16.12454334382777	322.4908668765554	50.23693116928514	50.23693116928514	79.59551737246481
8	57.07640578403112	0.5707640578403111	16.114542148871813	322.2908429774362	49.33494326007479	49.33494326007479	79.13427082039475
9	65.17985706559328	0.6517985706559328	16.070752331895413	321.4150466379083	49.06500383574341	49.06500383574341	78.70824291198979
10	68.3959273174108	0.683959273174108	16.042169068199353	320.8433813639871	48.59037530137776	48.59037530137776	78.30116670489764
11	70.53614860005592	0.7053614860005593	15.928730113901079	318.5746022780216	48.087950818872734	48.087950818872734	77.5529510115859
12	76.46919094697061	0.7646919094697061	15.788984194160516	315.77968388321034	47.811610287853824	47.811610287853824	76.73400045625169
13	78.46529606773075	0.7846529606773075	15.680018605550543	313.60037211101087	47.7652968674268	47.7652968674268	76.15909948516558
14	81.68014867625702	0.8168014867625703	15.595376186420516	311.9075237284103	47.65724839890344	47.65724839890344	75.64148729511629
15	79.48247871211505	0.7948247871211506	15.427313497784308	308.54626995568617	47.53971905831864	47.53971905831864	74.96535783383885
16	76.05419045189494	0.7605419045189494	17.000530690016515	340.0106138003303	47.65156323752197	47.65156323752197	81.50736753519169
17	87.16394857910717	0.8716394857910718	14.9971331979818	299.942663959636	47.77759442629738	47.77759442629738	72.78228169316391
18	90.96978004472216	0.9096978004472216	14.922603839824282	298.45207679648564	48.023204675227895	48.023204675227895	72.44310350499482
19	91.01173007896878	0.9101173007896879	15.617096016422416	312.3419203284483	47.894889172058	47.894889172058	75.26444277026214
20	91.07714135530402	0.9107714135530403	15.614247799437758	312.28495598875514	48.03463464652752	48.03463464652752	75.29992455317041
21	90.99465091959496	0.9099465091959497	14.932307942299142	298.6461588459828	48.04098939941153	48.04098939941153	72.48210668507227
22	90.9002446408117	0.9090024464081171	14.92500275352399	298.5000550704798	48.036478204222526	48.036478204222526	72.45422984844281
23	90.81697597804806	0.9081697597804806	15.585765425720393	311.71530851440787	48.07979745296532	48.07979745296532	75.197399953329
24	90.52444770481262	0.9052444770481262	15.581896979390983	311.6379395878197	48.554977472841585	48.554977472841585	75.33403424148867
25	90.4358336490385	0.904358336490385	15.591446481753861	311.8289296350772	47.834151431487086	47.834151431487086	75.14385945517597
26	90.31140131243936	0.9031140131243935	15.601444483839122	312.02888967678246	47.832649459707355	47.832649459707355	75.188461115396
27	90.35159426335345	0.9035159426335345	14.93638776416976	298.7277552833952	48.00906956274763	48.00906956274763	72.49899470756719
28	90.26255235828808	0.9026255235828807	15.56733107050964	311.3466214101928	48.01609003521714	48.01609003521714	75.10909318759079
29	90.13503952285409	0.9013503952285409	15.585501037830598	311.710020756612	48.005874345061116	48.005874345061116	75.18309955672376
30	90.03294509727446	0.9003294509727446	15.56895087949009	311.37901758980183	48.0012459239722	48.0012459239722	75.1153187048082
31	90.0176108497878	0.900176108497878	14.918883377446466	298.3776675489293	48.05443324187276	48.05443324187276	72.44668229403928
32	89.85146777553096	0.8985146777553097	14.915260428111406	298.30520856222813	47.80685714788084	47.80685714788084	72.34747653016794
33	90.01096455409873	0.9001096455409874	15.557155348757306	311.1431069751461	48.00101626172321	48.00101626172321	75.06627481001553
34	89.99333426634531	0.8999333426634532	14.912224232646933	298.24448465293864	47.996295372267696	47.996295372267696	72.4004315137464
35	89.98805758257734	0.8998805758257734	14.897278470313337	297.9455694062667	48.00171976669168	48.00171976669168	72.34029287389673
36	89.9904109244481	0.899904109244481	14.902079189768582	298.04158379537165	47.99672595353928	47.99672595353928	72.35754177593998
37	89.97798563655121	0.8997798563655122	14.88950150292725	297.79003005854497	48.04333270251602	48.04333270251602	72.32176087340987
38	89.97354109045916	0.8997354109045916	14.904734555563973	298.0946911112795	48.00608270463414	48.00608270463414	72.37202175391117
39	89.80157562215183	0.8980157562215183	14.922702954342723	298.45405908685444	47.821620933899595	47.821620933899595	72.38141071295132
40	89.96512165820833	0.8996512165820834	14.89479523019736	297.8959046039472	47.99921226224861	47.99921226224861	72.32829368509498
41	89.94524859044715	0.8994524859044715	15.551381920902356	311.0276384180471	48.01291875244545	48.01291875244545	75.04519519319626
42	89.93593043709875	0.8993593043709875	14.912784122320405	298.2556824464081	48.004260455504145	48.004260455504145	72.40400707372905
43	89.92713806869943	0.8992713806869944	15.55653595558535	311.130719111707	48.04700809348051	48.04700809348051	75.0780771825837
44	89.91270055451946	0.8991270055451946	15.579666135987399	311.59332271974796	48.00336826851814	48.00336826851814	75.15985051461276
45	89.73240462730534	0.8973240462730534	15.587662051748882	311.75324103497763	47.81266837784812	47.81266837784812	75.1305303472812
