#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
259	 3 	 CHN 	 CNH 	 0.0032831495436123474 	 0.0032831495436123474
259	 20 	 CH 	 CH 	 1.0889759892823378e-06 	 1.0889759892823378e-06
259	 10 	 NO 	 NO 	 3.502147607320254e-05 	 3.502147607320254e-05
259	 18 	 H3N 	 NH3 	 0.0010739289803964381 	 0.0010739289803964381
259	 19 	 HO 	 OH 	 3.732013695856768e-05 	 3.732013695856768e-05
259	 21 	 HN2O 	 HON2 	 0.0038496991549982593 	 0.0038496991549982593
259	 12 	 HN 	 NH 	 0.0013558450170582054 	 0.0013558450170582054
259	 23 	 HF2 	 HF2 	 0.0019392524101768433 	 0.0019392524101768433
259	 11 	 NO2 	 NO2 	 0.0036087708827709664 	 0.0036087708827709664
259	 25 	 Li 	 Li 	 8.65680910110965e-06 	 8.65680910110965e-06
259	 0 	 H2 	 H2 	 2.3674596659670907e-05 	 2.3674596659670907e-05
259	 1 	 N2 	 N2 	 2.6971838495482903e-06 	 2.6971838495482903e-06
259	 16 	 CH2 	 CH2 	 0.0039830464925838 	 0.0039830464925838
259	 2 	 FLi 	 LiF 	 0.0067148146253791525 	 0.0067148146253791525
259	 17 	 H2O 	 OH2 	 0.0005205444407339573 	 0.0005205444407339573
259	 5 	 F2 	 F2 	 0.00041624939369756537 	 0.00041624939369756537
259	 6 	 C2H2 	 C2H2 	 8.624631923616466e-05 	 8.624631923616466e-05
259	 15 	 CH3 	 CH3 	 9.406250734758266e-05 	 9.406250734758266e-05
259	 8 	 HLi 	 LiH 	 2.9114386841663075e-05 	 2.9114386841663075e-05
259	 7 	 CO 	 OC 	 0.00039892556513317036 	 0.00039892556513317036
259	 13 	 O3 	 O3 	 0.0026971348541832527 	 0.0026971348541832527
260	 16 	 CH2 	 CH2 	 0.003985857491563976 	 0.003985857491563976
260	 0 	 H2 	 H2 	 2.3125297197367407e-05 	 2.3125297197367407e-05
260	 1 	 N2 	 N2 	 3.114092049817462e-06 	 3.114092049817462e-06
260	 23 	 HF2 	 HF2 	 0.0019392554985514965 	 0.0019392554985514965
260	 14 	 N2O 	 N2O 	 0.003780489720604481 	 0.003780489720604481
260	 11 	 NO2 	 NO2 	 0.003610844522232502 	 0.003610844522232502
260	 13 	 O3 	 O3 	 0.002701143368915209 	 0.002701143368915209
260	 9 	 Na2 	 Na2 	 4.97118853490416e-07 	 4.97118853490416e-07
260	 4 	 CO2 	 CO2 	 0.0072738038097746125 	 0.0072738038097746125
260	 19 	 HO 	 OH 	 3.733763685871831e-05 	 3.733763685871831e-05
260	 17 	 H2O 	 OH2 	 0.0005205092265314272 	 0.0005205092265314272
260	 6 	 C2H2 	 C2H2 	 8.677490183420225e-05 	 8.677490183420225e-05
260	 7 	 CO 	 OC 	 0.00039895069777165124 	 0.00039895069777165124
260	 22 	 CH4O 	 CH4O 	 0.00015312081666718293 	 0.00015312081666718293
260	 20 	 CH 	 CH 	 1.0916556508053076e-06 	 1.0916556508053076e-06
260	 21 	 HN2O 	 HON2 	 0.0038496935720759204 	 0.0038496935720759204
260	 25 	 Li 	 Li 	 8.884860824838074e-06 	 8.884860824838074e-06
260	 18 	 H3N 	 NH3 	 0.0010721928185132917 	 0.0010721928185132917
260	 8 	 HLi 	 LiH 	 2.8548777033383297e-05 	 2.8548777033383297e-05
260	 12 	 HN 	 NH 	 0.001356106606239598 	 0.001356106606239598
260	 15 	 CH3 	 CH3 	 9.417441580671253e-05 	 9.417441580671253e-05
260	 3 	 CHN 	 CNH 	 0.0032808417666338858 	 0.0032808417666338858
260	 5 	 F2 	 F2 	 0.0004161773142748671 	 0.0004161773142748671
260	 10 	 NO 	 NO 	 3.5045269908645036e-05 	 3.5045269908645036e-05
260	 2 	 FLi 	 LiF 	 0.006717705556787324 	 0.006717705556787324
260	 24 	 C 	 C 	 7.245177110333529e-06 	 7.245177110333529e-06
261	 22 	 CH4O 	 CH4O 	 0.00015312097036888355 	 0.00015312097036888355
261	 7 	 CO 	 OC 	 0.00039913326562834156 	 0.00039913326562834156
261	 17 	 H2O 	 OH2 	 0.0005205627285159954 	 0.0005205627285159954
261	 0 	 H2 	 H2 	 2.3944718667813773e-05 	 2.3944718667813773e-05
261	 1 	 N2 	 N2 	 3.112005490497087e-06 	 3.112005490497087e-06
261	 14 	 N2O 	 N2O 	 0.0037826852469048967 	 0.0037826852469048967
261	 13 	 O3 	 O3 	 0.0026967309610232263 	 0.0026967309610232263
261	 3 	 CHN 	 CNH 	 0.0032844576286304114 	 0.0032844576286304114
261	 18 	 H3N 	 NH3 	 0.001072703550001263 	 0.001072703550001263
261	 11 	 NO2 	 NO2 	 0.003609568336526646 	 0.003609568336526646
261	 12 	 HN 	 NH 	 0.0013561977750515869 	 0.0013561977750515869
261	 4 	 CO2 	 CO2 	 0.007276242188673128 	 0.007276242188673128
261	 6 	 C2H2 	 C2H2 	 8.18284639645841e-05 	 8.18284639645841e-05
261	 24 	 C 	 C 	 6.96326478994445e-06 	 6.96326478994445e-06
261	 21 	 HN2O 	 HON2 	 0.0038497153705629255 	 0.0038497153705629255
261	 23 	 HF2 	 HF2 	 0.0019392667420705851 	 0.0019392667420705851
261	 10 	 NO 	 NO 	 3.502201711531185e-05 	 3.502201711531185e-05
261	 25 	 Li 	 Li 	 8.326934773896944e-06 	 8.326934773896944e-06
261	 9 	 Na2 	 Na2 	 4.967477737337105e-07 	 4.967477737337105e-07
261	 15 	 CH3 	 CH3 	 9.383495885263734e-05 	 9.383495885263734e-05
261	 16 	 CH2 	 CH2 	 0.003986113731869384 	 0.003986113731869384
261	 19 	 HO 	 OH 	 3.731025412207698e-05 	 3.731025412207698e-05
261	 20 	 CH 	 CH 	 1.0909283262583964e-06 	 1.0909283262583964e-06
261	 8 	 HLi 	 LiH 	 2.8593606325415503e-05 	 2.8593606325415503e-05
261	 5 	 F2 	 F2 	 0.00041633558660245475 	 0.00041633558660245475
261	 2 	 FLi 	 LiF 	 0.006721023027417056 	 0.006721023027417056
262	 20 	 CH 	 CH 	 1.0907618022616666e-06 	 1.0907618022616666e-06
262	 19 	 HO 	 OH 	 3.735297611336183e-05 	 3.735297611336183e-05
262	 8 	 HLi 	 LiH 	 2.8935307183594872e-05 	 2.8935307183594872e-05
262	 25 	 Li 	 Li 	 8.153142495786465e-06 	 8.153142495786465e-06
262	 2 	 FLi 	 LiF 	 0.006710703099570982 	 0.006710703099570982
262	 23 	 HF2 	 HF2 	 0.001939265395533879 	 0.001939265395533879
262	 12 	 HN 	 NH 	 0.0013569524122844226 	 0.0013569524122844226
262	 9 	 Na2 	 Na2 	 4.972243421397202e-07 	 4.972243421397202e-07
262	 1 	 N2 	 N2 	 2.9747673621479795e-06 	 2.9747673621479795e-06
262	 14 	 N2O 	 N2O 	 0.0037801061049638216 	 0.0037801061049638216
262	 18 	 H3N 	 NH3 	 0.0010726865709827854 	 0.0010726865709827854
262	 5 	 F2 	 F2 	 0.0004161187035399241 	 0.0004161187035399241
262	 17 	 H2O 	 OH2 	 0.0005206687416411508 	 0.0005206687416411508
262	 21 	 HN2O 	 HON2 	 0.003849653349745865 	 0.003849653349745865
262	 6 	 C2H2 	 C2H2 	 8.203261272394388e-05 	 8.203261272394388e-05
262	 10 	 NO 	 NO 	 3.503234720530782e-05 	 3.503234720530782e-05
262	 16 	 CH2 	 CH2 	 0.003985423554592574 	 0.003985423554592574
262	 22 	 CH4O 	 CH4O 	 0.000153116381270024 	 0.000153116381270024
262	 11 	 NO2 	 NO2 	 0.003613012772956369 	 0.003613012772956369
262	 7 	 CO 	 OC 	 0.0003985531726525416 	 0.0003985531726525416
262	 24 	 C 	 C 	 6.968975084154175e-06 	 6.968975084154175e-06
262	 13 	 O3 	 O3 	 0.002696907303194301 	 0.002696907303194301
262	 15 	 CH3 	 CH3 	 9.403873205896466e-05 	 9.403873205896466e-05
262	 0 	 H2 	 H2 	 2.139485665078052e-05 	 2.139485665078052e-05
262	 3 	 CHN 	 CNH 	 0.0032833072093745425 	 0.0032833072093745425
262	 4 	 CO2 	 CO2 	 0.007271330147331547 	 0.007271330147331547
263	 23 	 HF2 	 HF2 	 0.0019392596133167477 	 0.0019392596133167477
263	 9 	 Na2 	 Na2 	 4.950612108056861e-07 	 4.950612108056861e-07
263	 24 	 C 	 C 	 7.274751902304038e-06 	 7.274751902304038e-06
263	 14 	 N2O 	 N2O 	 0.0037815141948441384 	 0.0037815141948441384
263	 6 	 C2H2 	 C2H2 	 8.18361188483449e-05 	 8.18361188483449e-05
263	 4 	 CO2 	 CO2 	 0.0072683774692975465 	 0.0072683774692975465
263	 1 	 N2 	 N2 	 2.728550969300495e-06 	 2.728550969300495e-06
263	 12 	 HN 	 NH 	 0.001356188566389661 	 0.001356188566389661
263	 22 	 CH4O 	 CH4O 	 0.00015311758051184273 	 0.00015311758051184273
263	 19 	 HO 	 OH 	 3.733990222999369e-05 	 3.733990222999369e-05
263	 18 	 H3N 	 NH3 	 0.0010726687763127044 	 0.0010726687763127044
263	 21 	 HN2O 	 HON2 	 0.0038496665765809387 	 0.0038496665765809387
263	 16 	 CH2 	 CH2 	 0.0039859901689777944 	 0.0039859901689777944
263	 15 	 CH3 	 CH3 	 9.411939165219167e-05 	 9.411939165219167e-05
263	 8 	 HLi 	 LiH 	 2.870059801552829e-05 	 2.870059801552829e-05
263	 5 	 F2 	 F2 	 0.0004162321581125103 	 0.0004162321581125103
263	 2 	 FLi 	 LiF 	 0.006719832639654937 	 0.006719832639654937
263	 0 	 H2 	 H2 	 2.1895412114380314e-05 	 2.1895412114380314e-05
263	 13 	 O3 	 O3 	 0.0026984963346495063 	 0.0026984963346495063
263	 7 	 CO 	 OC 	 0.00039911589942927 	 0.00039911589942927
263	 20 	 CH 	 CH 	 1.0842694104562815e-06 	 1.0842694104562815e-06
263	 10 	 NO 	 NO 	 3.4992113604363905e-05 	 3.4992113604363905e-05
263	 25 	 Li 	 Li 	 9.631245401680564e-06 	 9.631245401680564e-06
263	 3 	 CHN 	 CNH 	 0.003283896837084338 	 0.003283896837084338
263	 11 	 NO2 	 NO2 	 0.0036138923331674477 	 0.0036138923331674477
263	 17 	 H2O 	 OH2 	 0.000519403062701999 	 0.000519403062701999
264	 4 	 CO2 	 CO2 	 0.007272395762621409 	 0.007272395762621409
264	 20 	 CH 	 CH 	 1.0884997397385054e-06 	 1.0884997397385054e-06
264	 16 	 CH2 	 CH2 	 0.003984590174142106 	 0.003984590174142106
264	 6 	 C2H2 	 C2H2 	 8.718234393381316e-05 	 8.718234393381316e-05
264	 22 	 CH4O 	 CH4O 	 0.00015311956067856592 	 0.00015311956067856592
264	 14 	 N2O 	 N2O 	 0.003779670177822403 	 0.003779670177822403
264	 19 	 HO 	 OH 	 3.737231112877081e-05 	 3.737231112877081e-05
264	 3 	 CHN 	 CNH 	 0.0032845866773167877 	 0.0032845866773167877
264	 17 	 H2O 	 OH2 	 0.0005210189089346223 	 0.0005210189089346223
264	 0 	 H2 	 H2 	 2.229474378771696e-05 	 2.229474378771696e-05
264	 13 	 O3 	 O3 	 0.0026966290926711987 	 0.0026966290926711987
264	 21 	 HN2O 	 HON2 	 0.003849698404862937 	 0.003849698404862937
264	 2 	 FLi 	 LiF 	 0.006712416180110883 	 0.006712416180110883
264	 8 	 HLi 	 LiH 	 2.8812810885964794e-05 	 2.8812810885964794e-05
264	 10 	 NO 	 NO 	 3.504792165758807e-05 	 3.504792165758807e-05
264	 11 	 NO2 	 NO2 	 0.0036100992052629766 	 0.0036100992052629766
264	 1 	 N2 	 N2 	 3.144286992171537e-06 	 3.144286992171537e-06
264	 9 	 Na2 	 Na2 	 4.973485400913833e-07 	 4.973485400913833e-07
264	 23 	 HF2 	 HF2 	 0.0019392919178950329 	 0.0019392919178950329
264	 25 	 Li 	 Li 	 7.634942738512975e-06 	 7.634942738512975e-06
264	 7 	 CO 	 OC 	 0.0003991077629859212 	 0.0003991077629859212
264	 5 	 F2 	 F2 	 0.0004161170718424488 	 0.0004161170718424488
264	 12 	 HN 	 NH 	 0.0013568336905638194 	 0.0013568336905638194
264	 15 	 CH3 	 CH3 	 9.372408945660136e-05 	 9.372408945660136e-05
264	 18 	 H3N 	 NH3 	 0.0010735021656924405 	 0.0010735021656924405
264	 24 	 C 	 C 	 7.029928495547976e-06 	 7.029928495547976e-06
265	 23 	 HF2 	 HF2 	 0.0019392891161767608 	 0.0019392891161767608
265	 15 	 CH3 	 CH3 	 9.415892721226075e-05 	 9.415892721226075e-05
265	 5 	 F2 	 F2 	 0.0004160785569494455 	 0.0004160785569494455
265	 16 	 CH2 	 CH2 	 0.0039835749148321555 	 0.0039835749148321555
265	 18 	 H3N 	 NH3 	 0.0010740871124442623 	 0.0010740871124442623
265	 17 	 H2O 	 OH2 	 0.0005200822255387763 	 0.0005200822255387763
265	 1 	 N2 	 N2 	 2.9445710854669296e-06 	 2.9445710854669296e-06
265	 4 	 CO2 	 CO2 	 0.007271670008443656 	 0.007271670008443656
265	 11 	 NO2 	 NO2 	 0.0036094383874875507 	 0.0036094383874875507
265	 6 	 C2H2 	 C2H2 	 8.260255865990186e-05 	 8.260255865990186e-05
265	 0 	 H2 	 H2 	 2.1295414920095964e-05 	 2.1295414920095964e-05
265	 24 	 C 	 C 	 6.9508444727621534e-06 	 6.9508444727621534e-06
265	 7 	 CO 	 OC 	 0.00039864063699259985 	 0.00039864063699259985
265	 3 	 CHN 	 CNH 	 0.003282295899298353 	 0.003282295899298353
265	 21 	 HN2O 	 HON2 	 0.003849708987158202 	 0.003849708987158202
265	 10 	 NO 	 NO 	 3.512132174040928e-05 	 3.512132174040928e-05
265	 25 	 Li 	 Li 	 8.287847730844714e-06 	 8.287847730844714e-06
265	 14 	 N2O 	 N2O 	 0.003784152869744214 	 0.003784152869744214
265	 2 	 FLi 	 LiF 	 0.0067249099629675515 	 0.0067249099629675515
265	 9 	 Na2 	 Na2 	 4.985186915948656e-07 	 4.985186915948656e-07
265	 13 	 O3 	 O3 	 0.00270367114158534 	 0.00270367114158534
265	 20 	 CH 	 CH 	 1.0956559440225269e-06 	 1.0956559440225269e-06
265	 8 	 HLi 	 LiH 	 2.876387734894833e-05 	 2.876387734894833e-05
265	 19 	 HO 	 OH 	 3.73342122563097e-05 	 3.73342122563097e-05
265	 12 	 HN 	 NH 	 0.0013565734231246324 	 0.0013565734231246324
265	 22 	 CH4O 	 CH4O 	 0.00015312021449703322 	 0.00015312021449703322
266	 9 	 Na2 	 Na2 	 4.951528680802984e-07 	 4.951528680802984e-07
266	 11 	 NO2 	 NO2 	 0.0036118924090110184 	 0.0036118924090110184
266	 15 	 CH3 	 CH3 	 9.409374790163146e-05 	 9.409374790163146e-05
266	 8 	 HLi 	 LiH 	 2.868519462466124e-05 	 2.868519462466124e-05
266	 0 	 H2 	 H2 	 2.35864649918017e-05 	 2.35864649918017e-05
266	 18 	 H3N 	 NH3 	 0.001072701343897361 	 0.001072701343897361
266	 22 	 CH4O 	 CH4O 	 0.00015311879707574958 	 0.00015311879707574958
266	 13 	 O3 	 O3 	 0.0026976233478465434 	 0.0026976233478465434
266	 24 	 C 	 C 	 6.962532795910968e-06 	 6.962532795910968e-06
266	 5 	 F2 	 F2 	 0.00041634237367667206 	 0.00041634237367667206
266	 10 	 NO 	 NO 	 3.503108137912223e-05 	 3.503108137912223e-05
266	 14 	 N2O 	 N2O 	 0.00378004422604208 	 0.00378004422604208
266	 20 	 CH 	 CH 	 1.0961265807227658e-06 	 1.0961265807227658e-06
266	 25 	 Li 	 Li 	 8.75007833036606e-06 	 8.75007833036606e-06
266	 1 	 N2 	 N2 	 3.141138091882151e-06 	 3.141138091882151e-06
266	 6 	 C2H2 	 C2H2 	 8.665015312254091e-05 	 8.665015312254091e-05
266	 17 	 H2O 	 OH2 	 0.000520099443362995 	 0.000520099443362995
266	 7 	 CO 	 OC 	 0.00039871226578620523 	 0.00039871226578620523
266	 3 	 CHN 	 CNH 	 0.0032816128571535722 	 0.0032816128571535722
266	 19 	 HO 	 OH 	 3.7358283851305535e-05 	 3.7358283851305535e-05
266	 23 	 HF2 	 HF2 	 0.0019392800574198517 	 0.0019392800574198517
266	 12 	 HN 	 NH 	 0.0013561910182304103 	 0.0013561910182304103
266	 2 	 FLi 	 LiF 	 0.006712749080721443 	 0.006712749080721443
266	 4 	 CO2 	 CO2 	 0.007269888974408727 	 0.007269888974408727
266	 16 	 CH2 	 CH2 	 0.0039838841947982045 	 0.0039838841947982045
266	 21 	 HN2O 	 HON2 	 0.0038496102660258683 	 0.0038496102660258683
267	 19 	 HO 	 OH 	 3.7308217444697254e-05 	 3.7308217444697254e-05
267	 24 	 C 	 C 	 6.973217281721891e-06 	 6.973217281721891e-06
267	 14 	 N2O 	 N2O 	 0.0037824202894868 	 0.0037824202894868
267	 16 	 CH2 	 CH2 	 0.003983774863644569 	 0.003983774863644569
267	 22 	 CH4O 	 CH4O 	 0.00015311488111983127 	 0.00015311488111983127
267	 4 	 CO2 	 CO2 	 0.007279137031868631 	 0.007279137031868631
267	 21 	 HN2O 	 HON2 	 0.0038496340249152567 	 0.0038496340249152567
267	 15 	 CH3 	 CH3 	 9.374722771955465e-05 	 9.374722771955465e-05
