#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
209	 11 	 NO2 	 NO2 	 0.004588476538022114 	 0.004588476538022114
209	 21 	 HN2O 	 HON2 	 0.004077630447727003 	 0.004077630447727003
209	 9 	 Na2 	 Na2 	 1.4626893618304335e-06 	 1.4626893618304335e-06
209	 15 	 CH3 	 CH3 	 1.0481093111056853e-07 	 1.0481093111056853e-07
209	 16 	 CH2 	 CH2 	 0.0025975620048588406 	 0.0025975620048588406
209	 8 	 HLi 	 LiH 	 2.254419318337901e-06 	 2.254419318337901e-06
209	 17 	 H2O 	 OH2 	 0.00022617610585320063 	 0.00022617610585320063
209	 13 	 O3 	 O3 	 0.0037008220732837977 	 0.0037008220732837977
209	 25 	 Li 	 Li 	 3.476033737441963e-05 	 3.476033737441963e-05
209	 10 	 NO 	 NO 	 8.681001037329328e-05 	 8.681001037329328e-05
209	 5 	 F2 	 F2 	 0.00020305104229474956 	 0.00020305104229474956
209	 3 	 CHN 	 CNH 	 0.0036316905011953547 	 0.0036316905011953547
209	 7 	 CO 	 OC 	 0.0003607501570480636 	 0.0003607501570480636
209	 2 	 FLi 	 LiF 	 0.0071300904182468915 	 0.0071300904182468915
209	 23 	 HF2 	 HF2 	 0.0026869196201193025 	 0.0026869196201193025
209	 6 	 C2H2 	 C2H2 	 0.00013766649955669936 	 0.00013766649955669936
209	 24 	 C 	 C 	 3.6415313680930504e-05 	 3.6415313680930504e-05
209	 22 	 CH4O 	 CH4O 	 0.00023546180553859445 	 0.00023546180553859445
209	 12 	 HN 	 NH 	 0.0009427177793935928 	 0.0009427177793935928
209	 20 	 CH 	 CH 	 2.764247333818678e-07 	 2.764247333818678e-07
209	 4 	 CO2 	 CO2 	 0.007611585455121685 	 0.007611585455121685
209	 19 	 HO 	 OH 	 1.3383516287031075e-05 	 1.3383516287031075e-05
209	 0 	 H2 	 H2 	 1.0787485325504107e-06 	 1.0787485325504107e-06
209	 14 	 N2O 	 N2O 	 0.003752253330121938 	 0.003752253330121938
210	 15 	 CH3 	 CH3 	 1.022241757710611e-07 	 1.022241757710611e-07
210	 9 	 Na2 	 Na2 	 1.459599150232578e-06 	 1.459599150232578e-06
210	 0 	 H2 	 H2 	 1.389907319381675e-06 	 1.389907319381675e-06
210	 24 	 C 	 C 	 3.644263397097776e-05 	 3.644263397097776e-05
210	 19 	 HO 	 OH 	 1.3354842123309335e-05 	 1.3354842123309335e-05
210	 22 	 CH4O 	 CH4O 	 0.00023546378821857585 	 0.00023546378821857585
210	 3 	 CHN 	 CNH 	 0.0036306695940304676 	 0.0036306695940304676
210	 5 	 F2 	 F2 	 0.00020301910208891556 	 0.00020301910208891556
210	 25 	 Li 	 Li 	 3.5838511763700256e-05 	 3.5838511763700256e-05
210	 12 	 HN 	 NH 	 0.0009431122029474271 	 0.0009431122029474271
210	 6 	 C2H2 	 C2H2 	 0.0001431634204056754 	 0.0001431634204056754
210	 1 	 N2 	 N2 	 5.476217053668307e-06 	 5.476217053668307e-06
210	 16 	 CH2 	 CH2 	 0.002598670309936872 	 0.002598670309936872
210	 17 	 H2O 	 OH2 	 0.00022633536810834516 	 0.00022633536810834516
210	 14 	 N2O 	 N2O 	 0.003752111091283045 	 0.003752111091283045
210	 2 	 FLi 	 LiF 	 0.007124960372732849 	 0.007124960372732849
210	 8 	 HLi 	 LiH 	 2.2124088210491244e-06 	 2.2124088210491244e-06
210	 18 	 H3N 	 NH3 	 0.0003800274909124903 	 0.0003800274909124903
210	 7 	 CO 	 OC 	 0.0003612295019146162 	 0.0003612295019146162
210	 13 	 O3 	 O3 	 0.003700274832743079 	 0.003700274832743079
210	 4 	 CO2 	 CO2 	 0.007611114554291356 	 0.007611114554291356
210	 10 	 NO 	 NO 	 8.677963475878666e-05 	 8.677963475878666e-05
210	 20 	 CH 	 CH 	 2.7247747900651673e-07 	 2.7247747900651673e-07
210	 21 	 HN2O 	 HON2 	 0.004077669697749082 	 0.004077669697749082
210	 23 	 HF2 	 HF2 	 0.0026869399140266 	 0.0026869399140266
210	 11 	 NO2 	 NO2 	 0.00458868573922605 	 0.00458868573922605
211	 20 	 CH 	 CH 	 2.7769456005598863e-07 	 2.7769456005598863e-07
211	 7 	 CO 	 OC 	 0.00036086199207951194 	 0.00036086199207951194
211	 5 	 F2 	 F2 	 0.0002028627710395658 	 0.0002028627710395658
