#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
334	 10 	 NO 	 NO 	 0.0005291020017957794 	 0.0005291020017957794
334	 14 	 N2O 	 N2O 	 0.014613286431488102 	 0.014613286431488102
334	 11 	 NO2 	 NO2 	 0.017042474179882226 	 0.017042474179882226
334	 25 	 Li 	 Li 	 4.307655292448795e-05 	 4.307655292448795e-05
334	 13 	 O3 	 O3 	 0.017582826158872755 	 0.017582826158872755
334	 2 	 FLi 	 LiF 	 0.00606883809185242 	 0.00606883809185242
334	 7 	 CO 	 OC 	 2.773383264261933e-05 	 2.773383264261933e-05
334	 22 	 CH4O 	 CH4O 	 0.0003043386043079819 	 0.0003043386043079819
334	 16 	 CH2 	 CH2 	 0.004800099277131369 	 0.004800099277131369
334	 6 	 C2H2 	 C2H2 	 0.03039813910141075 	 0.03039813910141075
334	 19 	 HO 	 OH 	 1.0747546642456022e-06 	 1.0747546642456022e-06
334	 24 	 C 	 C 	 1.3303189184064054e-05 	 1.3303189184064054e-05
334	 3 	 CHN 	 CNH 	 0.0019491994902063677 	 0.0019491994902063677
334	 20 	 CH 	 CH 	 3.9077753143249253e-07 	 3.9077753143249253e-07
334	 5 	 F2 	 F2 	 0.00037885908656706726 	 0.00037885908656706726
334	 0 	 H2 	 H2 	 1.1223313167649008e-05 	 1.1223313167649008e-05
334	 15 	 CH3 	 CH3 	 0.0001914250331600496 	 0.0001914250331600496
334	 1 	 N2 	 N2 	 0.00021171889971155082 	 0.00021171889971155082
334	 21 	 HN2O 	 HON2 	 0.006977760865451725 	 0.006977760865451725
334	 8 	 HLi 	 LiH 	 1.816324951235601e-05 	 1.816324951235601e-05
335	 3 	 CHN 	 CNH 	 0.001955175745558305 	 0.001955175745558305
335	 15 	 CH3 	 CH3 	 0.00019103963946504176 	 0.00019103963946504176
335	 24 	 C 	 C 	 1.3210636398858208e-05 	 1.3210636398858208e-05
335	 5 	 F2 	 F2 	 0.0003786889940051852 	 0.0003786889940051852
335	 4 	 CO2 	 CO2 	 0.002240432455605858 	 0.002240432455605858
335	 0 	 H2 	 H2 	 1.166322914404033e-05 	 1.166322914404033e-05
335	 14 	 N2O 	 N2O 	 0.014796346434319414 	 0.014796346434319414
335	 17 	 H2O 	 OH2 	 3.029118697379494e-07 	 3.029118697379494e-07
335	 18 	 H3N 	 NH3 	 0.0006037370096660213 	 0.0006037370096660213
335	 23 	 HF2 	 HF2 	 0.0027832957630235917 	 0.0027832957630235917
335	 6 	 C2H2 	 C2H2 	 0.00034345473802383224 	 0.00034345473802383224
335	 20 	 CH 	 CH 	 3.897291602314426e-07 	 3.897291602314426e-07
335	 10 	 NO 	 NO 	 0.0005291402701925543 	 0.0005291402701925543
335	 19 	 HO 	 OH 	 1.074363311061346e-06 	 1.074363311061346e-06
335	 2 	 FLi 	 LiF 	 0.00607839891951435 	 0.00607839891951435
335	 21 	 HN2O 	 HON2 	 0.006977755574494644 	 0.006977755574494644
335	 22 	 CH4O 	 CH4O 	 0.0003043367012487678 	 0.0003043367012487678
335	 9 	 Na2 	 Na2 	 1.8357144789659313e-08 	 1.8357144789659313e-08
335	 16 	 CH2 	 CH2 	 0.004800924925186625 	 0.004800924925186625
335	 11 	 NO2 	 NO2 	 0.016655608928946374 	 0.016655608928946374
335	 8 	 HLi 	 LiH 	 1.7995604832016675e-05 	 1.7995604832016675e-05
335	 12 	 HN 	 NH 	 0.0017704788270406062 	 0.0017704788270406062
335	 7 	 CO 	 OC 	 2.7643337271504862e-05 	 2.7643337271504862e-05
335	 25 	 Li 	 Li 	 4.453014300624901e-05 	 4.453014300624901e-05
335	 1 	 N2 	 N2 	 0.0002119464541309621 	 0.0002119464541309621
335	 13 	 O3 	 O3 	 0.017579225443815176 	 0.017579225443815176
336	 16 	 CH2 	 CH2 	 0.004801447188396964 	 0.004801447188396964
336	 18 	 H3N 	 NH3 	 0.0006040027403273662 	 0.0006040027403273662
336	 1 	 N2 	 N2 	 0.0002110937430993316 	 0.0002110937430993316
336	 17 	 H2O 	 OH2 	 1.6450445809089513e-06 	 1.6450445809089513e-06
336	 3 	 CHN 	 CNH 	 0.0019563737899841753 	 0.0019563737899841753
336	 14 	 N2O 	 N2O 	 0.0146136885761885 	 0.0146136885761885
336	 4 	 CO2 	 CO2 	 0.0021757246015169374 	 0.0021757246015169374
336	 0 	 H2 	 H2 	 1.1575074441508601e-05 	 1.1575074441508601e-05
336	 11 	 NO2 	 NO2 	 0.01704232345109336 	 0.01704232345109336
336	 2 	 FLi 	 LiF 	 0.006074395539577672 	 0.006074395539577672
336	 12 	 HN 	 NH 	 0.0017717991925812742 	 0.0017717991925812742
336	 13 	 O3 	 O3 	 0.01817564227801602 	 0.01817564227801602
336	 24 	 C 	 C 	 1.3291042376538165e-05 	 1.3291042376538165e-05
336	 21 	 HN2O 	 HON2 	 0.006977732644537953 	 0.006977732644537953
336	 7 	 CO 	 OC 	 2.4019962182732694e-05 	 2.4019962182732694e-05
336	 19 	 HO 	 OH 	 1.0734802144650607e-06 	 1.0734802144650607e-06
336	 20 	 CH 	 CH 	 3.891784659326513e-07 	 3.891784659326513e-07
336	 23 	 HF2 	 HF2 	 0.0027832839156815177 	 0.0027832839156815177
336	 25 	 Li 	 Li 	 4.2019361104863193e-05 	 4.2019361104863193e-05
336	 5 	 F2 	 F2 	 0.00037884782755852597 	 0.00037884782755852597
336	 6 	 C2H2 	 C2H2 	 0.043521516806102827 	 0.043521516806102827
336	 9 	 Na2 	 Na2 	 1.7571328485174263e-08 	 1.7571328485174263e-08
336	 8 	 HLi 	 LiH 	 1.7819154081878946e-05 	 1.7819154081878946e-05
336	 10 	 NO 	 NO 	 0.0005289290486126991 	 0.0005289290486126991
336	 22 	 CH4O 	 CH4O 	 0.00030433401116473 	 0.00030433401116473
336	 15 	 CH3 	 CH3 	 0.00019073604242945012 	 0.00019073604242945012
337	 21 	 HN2O 	 HON2 	 0.006977702537476332 	 0.006977702537476332
337	 22 	 CH4O 	 CH4O 	 0.0003043339887099619 	 0.0003043339887099619
337	 20 	 CH 	 CH 	 3.896169353474123e-07 	 3.896169353474123e-07
337	 4 	 CO2 	 CO2 	 0.002172402052560283 	 0.002172402052560283
337	 9 	 Na2 	 Na2 	 1.7532399273577784e-08 	 1.7532399273577784e-08
337	 25 	 Li 	 Li 	 4.2327202996980556e-05 	 4.2327202996980556e-05
337	 14 	 N2O 	 N2O 	 0.014616179366604606 	 0.014616179366604606
337	 1 	 N2 	 N2 	 0.00021115343841813413 	 0.00021115343841813413
337	 23 	 HF2 	 HF2 	 0.0027832768628368414 	 0.0027832768628368414
337	 24 	 C 	 C 	 1.3258192822982527e-05 	 1.3258192822982527e-05
337	 16 	 CH2 	 CH2 	 0.004799691249157871 	 0.004799691249157871
337	 10 	 NO 	 NO 	 0.000529205618116973 	 0.000529205618116973
337	 19 	 HO 	 OH 	 1.0618016788588561e-06 	 1.0618016788588561e-06
337	 8 	 HLi 	 LiH 	 1.7960900952893125e-05 	 1.7960900952893125e-05
337	 17 	 H2O 	 OH2 	 2.789888959348723e-07 	 2.789888959348723e-07
337	 7 	 CO 	 OC 	 2.7625689150904183e-05 	 2.7625689150904183e-05
337	 2 	 FLi 	 LiF 	 0.006072932919707381 	 0.006072932919707381
337	 0 	 H2 	 H2 	 1.2751202706765555e-05 	 1.2751202706765555e-05
337	 3 	 CHN 	 CNH 	 0.0019500532853832316 	 0.0019500532853832316
337	 11 	 NO2 	 NO2 	 0.017043035828311487 	 0.017043035828311487
337	 12 	 HN 	 NH 	 0.001771564173326733 	 0.001771564173326733
337	 13 	 O3 	 O3 	 0.018178742166304444 	 0.018178742166304444
337	 6 	 C2H2 	 C2H2 	 0.0403910724226459 	 0.0403910724226459
337	 5 	 F2 	 F2 	 0.0003788998072486417 	 0.0003788998072486417
337	 18 	 H3N 	 NH3 	 0.0006040460844210301 	 0.0006040460844210301
337	 15 	 CH3 	 CH3 	 0.000190651521412451 	 0.000190651521412451
338	 5 	 F2 	 F2 	 0.00037883399132174813 	 0.00037883399132174813
338	 4 	 CO2 	 CO2 	 0.0021714755966436455 	 0.0021714755966436455
338	 7 	 CO 	 OC 	 2.7748709885715748e-05 	 2.7748709885715748e-05
338	 19 	 HO 	 OH 	 1.0574327986262174e-06 	 1.0574327986262174e-06
338	 23 	 HF2 	 HF2 	 0.002783267851212107 	 0.002783267851212107
