AE loss	 0 	 0 	 H2 	 H2 	 2.3052629955097536e-06
AE loss	 0 	 1 	 N2 	 N2 	 0.00018602934475828783
AE loss	 0 	 3 	 N 	 N 	 5.620267153492543e-06
AE loss	 0 	 2 	 H 	 H 	 5.223762303904269e-10
AE loss	 1 	 1 	 N2 	 N2 	 0.00018366366332469005
AE loss	 1 	 0 	 H2 	 H2 	 2.4152462028951985e-06
AE loss	 1 	 2 	 H 	 H 	 1.4629782901823996e-09
AE loss	 1 	 3 	 N 	 N 	 9.248737886218488e-06
AE loss	 2 	 2 	 H 	 H 	 1.408846289461879e-09
AE loss	 2 	 1 	 N2 	 N2 	 0.00017753736956572992
AE loss	 2 	 0 	 H2 	 H2 	 2.4695839818644177e-06
AE loss	 2 	 3 	 N 	 N 	 4.893597530095853e-06
AE loss	 3 	 3 	 N 	 N 	 3.8057625332072092e-06
AE loss	 3 	 0 	 H2 	 H2 	 2.329215952882055e-06
AE loss	 3 	 1 	 N2 	 N2 	 0.00017039855994724465
AE loss	 3 	 2 	 H 	 H 	 2.5607337444872043e-10
AE loss	 4 	 2 	 H 	 H 	 1.9427113918383196e-10
AE loss	 4 	 3 	 N 	 N 	 4.785251400492983e-07
AE loss	 4 	 0 	 H2 	 H2 	 2.122076463085158e-06
AE loss	 4 	 1 	 N2 	 N2 	 0.0001641807708948025
AE loss	 5 	 0 	 H2 	 H2 	 2.077688112167989e-06
AE loss	 5 	 3 	 N 	 N 	 1.7142988990985852e-08
AE loss	 5 	 2 	 H 	 H 	 7.561925362020627e-11
AE loss	 5 	 1 	 N2 	 N2 	 0.00016016591606547216
AE loss	 6 	 2 	 H 	 H 	 3.552550617997379e-11
AE loss	 6 	 0 	 H2 	 H2 	 2.0974872636272985e-06
AE loss	 6 	 3 	 N 	 N 	 1.362201727185152e-08
AE loss	 6 	 1 	 N2 	 N2 	 0.00015494635876477209
AE loss	 7 	 2 	 H 	 H 	 1.4715706935243056e-10
AE loss	 7 	 1 	 N2 	 N2 	 0.00015240156473458416
