AE loss	 6 	 0 	 H2 	 H2 	 3.9837060707974965e-07
AE loss	 6 	 8 	 N 	 N 	 9.13449556323172e-06
AE loss	 6 	 7 	 Li 	 Li 	 1.9213880551720378e-07
AE loss	 6 	 12 	 C 	 C 	 5.664066395077163e-05
AE loss	 6 	 9 	 HN2O 	 HON2 	 0.0008668122566556217
AE loss	 6 	 1 	 N2 	 N2 	 0.00013621841848969262
AE loss	 6 	 5 	 F 	 F 	 3.5071700601130095e-07
AE loss	 7 	 0 	 H2 	 H2 	 2.755884878006322e-07
AE loss	 7 	 9 	 HN2O 	 HON2 	 0.0008681062982283074
AE loss	 7 	 13 	 Li 	 Li 	 1.0100319488302777e-07
AE loss	 7 	 5 	 F 	 F 	 3.833757475475908e-07
AE loss	 7 	 3 	 CHN 	 CNH 	 0.00865955457199658
AE loss	 7 	 8 	 N 	 N 	 9.781457740316119e-06
AE loss	 7 	 11 	 HF2 	 HF2 	 0.0008562435510583869
AE loss	 7 	 4 	 C 	 C 	 6.810697363251752e-06
AE loss	 7 	 2 	 FLi 	 LiF 	 0.00910321756207898
AE loss	 7 	 1 	 N2 	 N2 	 0.00013133260291764708
AE loss	 7 	 7 	 Li 	 Li 	 2.8684538478240723e-07
AE loss	 7 	 6 	 H 	 H 	 2.4659135976261293e-08
AE loss	 7 	 10 	 CH4O 	 CH4O 	 5.9341693971068836e-05
AE loss	 7 	 12 	 C 	 C 	 5.597445309680605e-05
AE loss	 8 	 8 	 N 	 N 	 9.102118267087665e-06
AE loss	 8 	 11 	 HF2 	 HF2 	 0.0008602424580752801
AE loss	 8 	 3 	 CHN 	 CNH 	 0.008530202001372708
AE loss	 8 	 10 	 CH4O 	 CH4O 	 5.928757640301272e-05
AE loss	 8 	 6 	 H 	 H 	 2.7113549319510395e-08
AE loss	 8 	 4 	 C 	 C 	 6.15182434622578e-06
AE loss	 8 	 13 	 Li 	 Li 	 1.3058500267509376e-07
AE loss	 8 	 5 	 F 	 F 	 3.8962505161918164e-07
AE loss	 8 	 12 	 C 	 C 	 5.523488589148849e-05
AE loss	 8 	 7 	 Li 	 Li 	 4.192979233339106e-07
AE loss	 8 	 0 	 H2 	 H2 	 3.2884854564403715e-08
AE loss	 8 	 1 	 N2 	 N2 	 0.00012258362802999785
AE loss	 8 	 2 	 FLi 	 LiF 	 0.009016462245538866
AE loss	 8 	 9 	 HN2O 	 HON2 	 0.0008701616197794929
AE loss	 9 	 0 	 H2 	 H2 	 2.1612566196568283e-08
AE loss	 9 	 3 	 CHN 	 CNH 	 0.008384045469315406
AE loss	 9 	 6 	 H 	 H 	 3.390843992040039e-08
AE loss	 9 	 7 	 Li 	 Li 	 3.841789166436808e-07
AE loss	 9 	 8 	 N 	 N 	 1.1498810996604864e-05
AE loss	 9 	 9 	 HN2O 	 HON2 	 0.0008757538348915068
AE loss	 9 	 5 	 F 	 F 	 1.4139439523963192e-06
AE loss	 9 	 12 	 C 	 C 	 5.4185467250799986e-05
AE loss	 9 	 2 	 FLi 	 LiF 	 0.008971594680745163
AE loss	 9 	 10 	 CH4O 	 CH4O 	 5.936757894535207e-05
AE loss	 9 	 13 	 Li 	 Li 	 1.6892853812143756e-07
AE loss	 9 	 1 	 N2 	 N2 	 0.0001157234987351601
AE loss	 9 	 11 	 HF2 	 HF2 	 0.0008798397013159706
AE loss	 9 	 4 	 C 	 C 	 6.9803786194137e-06
AE loss	 10 	 1 	 N2 	 N2 	 0.0001163268756190476
AE loss	 10 	 3 	 CHN 	 CNH 	 0.00824504461342276
AE loss	 10 	 9 	 HN2O 	 HON2 	 0.0008791412535945452
AE loss	 10 	 0 	 H2 	 H2 	 2.911649581616933e-09
AE loss	 10 	 11 	 HF2 	 HF2 	 0.0008848312069318076
AE loss	 10 	 13 	 Li 	 Li 	 1.8416164903615465e-07
AE loss	 10 	 6 	 H 	 H 	 4.545757248532483e-08
AE loss	 10 	 5 	 F 	 F 	 1.760600373133614e-06
AE loss	 10 	 2 	 FLi 	 LiF 	 0.008883083816566951
AE loss	 10 	 8 	 N 	 N 	 1.27254990121964e-05
AE loss	 10 	 4 	 C 	 C 	 7.494829762927955e-06
AE loss	 10 	 10 	 CH4O 	 CH4O 	 5.960009228238127e-05
AE loss	 10 	 7 	 Li 	 Li 	 4.896851854309088e-07
AE loss	 10 	 12 	 C 	 C 	 5.390952323977958e-05
AE loss	 11 	 12 	 C 	 C 	 5.396601521333765e-05
AE loss	 11 	 13 	 Li 	 Li 	 2.0109288628510372e-07
AE loss	 11 	 11 	 HF2 	 HF2 	 0.0008867807741372673
AE loss	 11 	 3 	 CHN 	 CNH 	 0.008104823094594638
AE loss	 11 	 2 	 FLi 	 LiF 	 0.008826515369828931
AE loss	 11 	 5 	 F 	 F 	 2.8301529154004165e-07
AE loss	 11 	 8 	 N 	 N 	 1.0072997174980966e-05
AE loss	 11 	 0 	 H2 	 H2 	 9.134633855798038e-08
AE loss	 11 	 6 	 H 	 H 	 5.1238216374532374e-08
AE loss	 11 	 1 	 N2 	 N2 	 0.00010444376880715425
AE loss	 11 	 4 	 C 	 C 	 5.892710628832212e-06
