AE loss	 0 	 10 	 Li 	 Li 	 5.6837309476359626e-11
AE loss	 0 	 9 	 H 	 H 	 7.70816787426596e-07
AE loss	 0 	 7 	 Cl 	 Cl 	 1.7662058034339169e-06
AE loss	 0 	 5 	 Cl2 	 Cl2 	 0.0004605084214217992
AE loss	 0 	 0 	 H2 	 H2 	 3.956405012904702e-06
AE loss	 1 	 0 	 H2 	 H2 	 3.975946058799871e-06
AE loss	 1 	 10 	 Li 	 Li 	 3.791083310337402e-08
AE loss	 1 	 9 	 H 	 H 	 7.267897922078862e-07
AE loss	 1 	 5 	 Cl2 	 Cl2 	 0.0004628774258824345
AE loss	 1 	 7 	 Cl 	 Cl 	 7.00868245777726e-05
AE loss	 2 	 0 	 H2 	 H2 	 3.5661233039053613e-06
AE loss	 2 	 7 	 Cl 	 Cl 	 2.1606956247691886e-05
AE loss	 2 	 9 	 H 	 H 	 7.431975371611129e-07
AE loss	 2 	 5 	 Cl2 	 Cl2 	 0.0004583590319610415
AE loss	 2 	 10 	 Li 	 Li 	 2.558749151739264e-11
AE loss	 3 	 10 	 Li 	 Li 	 5.340109289976995e-09
AE loss	 3 	 5 	 Cl2 	 Cl2 	 0.0004557005390149948
AE loss	 3 	 0 	 H2 	 H2 	 4.37071881990504e-06
AE loss	 3 	 9 	 H 	 H 	 7.977272946923323e-07
AE loss	 3 	 7 	 Cl 	 Cl 	 5.7016191331130875e-05
AE loss	 4 	 0 	 H2 	 H2 	 4.478340407653893e-06
AE loss	 4 	 7 	 Cl 	 Cl 	 4.411318806616872e-05
AE loss	 4 	 9 	 H 	 H 	 7.926671894142023e-07
AE loss	 4 	 5 	 Cl2 	 Cl2 	 0.00045000823655240083
AE loss	 4 	 10 	 Li 	 Li 	 3.518663243077936e-09
AE loss	 5 	 7 	 Cl 	 Cl 	 5.042955141740323e-06
AE loss	 5 	 5 	 Cl2 	 Cl2 	 0.0004470399903922697
AE loss	 5 	 9 	 H 	 H 	 7.581438680496722e-07
AE loss	 5 	 10 	 Li 	 Li 	 1.710535546420805e-08
AE loss	 5 	 0 	 H2 	 H2 	 3.880267089483949e-06
AE loss	 6 	 7 	 Cl 	 Cl 	 6.9466314993470494e-06
AE loss	 6 	 9 	 H 	 H 	 7.46024875237671e-07
AE loss	 6 	 5 	 Cl2 	 Cl2 	 0.0004415412636864574
AE loss	 6 	 0 	 H2 	 H2 	 3.791261164535364e-06
AE loss	 6 	 10 	 Li 	 Li 	 7.887845938082752e-08
AE loss	 7 	 7 	 Cl 	 Cl 	 1.7717666920330362e-05
AE loss	 7 	 5 	 Cl2 	 Cl2 	 0.00043798521039566747
AE loss	 7 	 9 	 H 	 H 	 7.413594524055805e-07
AE loss	 7 	 0 	 H2 	 H2 	 3.8325754611803225e-06
AE loss	 7 	 10 	 Li 	 Li 	 6.063960660683265e-08
AE loss	 8 	 10 	 Li 	 Li 	 5.8270197173341373e-08
AE loss	 8 	 9 	 H 	 H 	 7.50581003216806e-07
AE loss	 8 	 7 	 Cl 	 Cl 	 5.293657519548547e-06
AE loss	 8 	 5 	 Cl2 	 Cl2 	 0.0004323627142639509
AE loss	 8 	 0 	 H2 	 H2 	 3.922290860687713e-06
AE loss	 9 	 9 	 H 	 H 	 7.593839522364572e-07
AE loss	 9 	 0 	 H2 	 H2 	 3.970106231856657e-06
AE loss	 9 	 5 	 Cl2 	 Cl2 	 0.00042908905468125845
AE loss	 9 	 7 	 Cl 	 Cl 	 5.699819133115134e-09
AE loss	 9 	 10 	 Li 	 Li 	 2.0873651721117096e-08
AE loss	 10 	 5 	 Cl2 	 Cl2 	 0.0004262425028431757
AE loss	 10 	 7 	 Cl 	 Cl 	 5.197915711979088e-07
AE loss	 10 	 9 	 H 	 H 	 7.754188305102502e-07
AE loss	 10 	 0 	 H2 	 H2 	 4.076538378389999e-06
AE loss	 10 	 10 	 Li 	 Li 	 1.6710020507806663e-08
AE loss	 11 	 10 	 Li 	 Li 	 1.864734726390405e-08
AE loss	 11 	 5 	 Cl2 	 Cl2 	 0.00042006594470450387
AE loss	 11 	 9 	 H 	 H 	 7.715688331047652e-07
AE loss	 11 	 7 	 Cl 	 Cl 	 7.114677471052209e-07
AE loss	 11 	 0 	 H2 	 H2 	 4.033010068728029e-06
AE loss	 12 	 0 	 H2 	 H2 	 4.043986079195273e-06
AE loss	 12 	 9 	 H 	 H 	 7.679815691491266e-07
AE loss	 12 	 5 	 Cl2 	 Cl2 	 0.00041471639705823284
AE loss	 12 	 10 	 Li 	 Li 	 4.680038218505236e-08
AE loss	 12 	 7 	 Cl 	 Cl 	 4.033444206746151e-08
AE loss	 13 	 10 	 Li 	 Li 	 5.6652774428191254e-08
AE loss	 13 	 9 	 H 	 H 	 7.678989652968423e-07
AE loss	 13 	 7 	 Cl 	 Cl 	 2.173141615979912e-07
AE loss	 13 	 0 	 H2 	 H2 	 3.924411686854484e-06
AE loss	 13 	 5 	 Cl2 	 Cl2 	 0.000409407528166033
AE loss	 14 	 0 	 H2 	 H2 	 3.8871640547690475e-06
AE loss	 14 	 5 	 Cl2 	 Cl2 	 0.0004076523861687918
AE loss	 14 	 7 	 Cl 	 Cl 	 3.799327046441341e-07
AE loss	 14 	 10 	 Li 	 Li 	 8.628159075779669e-08
AE loss	 14 	 9 	 H 	 H 	 7.690444894216095e-07
AE loss	 15 	 9 	 H 	 H 	 7.70766832788396e-07
AE loss	 15 	 5 	 Cl2 	 Cl2 	 0.00040233194668721475
AE loss	 15 	 0 	 H2 	 H2 	 3.887533001013455e-06
AE loss	 15 	 7 	 Cl 	 Cl 	 9.087446955068386e-08
AE loss	 15 	 10 	 Li 	 Li 	 8.873016678720045e-08
AE loss	 16 	 0 	 H2 	 H2 	 3.8743538834751815e-06
AE loss	 16 	 5 	 Cl2 	 Cl2 	 0.0003972225928783487
AE loss	 16 	 9 	 H 	 H 	 7.749546208463178e-07
AE loss	 16 	 7 	 Cl 	 Cl 	 2.2899837472092203e-08
AE loss	 16 	 10 	 Li 	 Li 	 1.0396175767828954e-07
AE loss	 17 	 10 	 Li 	 Li 	 1.0458194446662748e-07
AE loss	 17 	 0 	 H2 	 H2 	 3.834819008064868e-06
AE loss	 17 	 9 	 H 	 H 	 7.681869498498835e-07
AE loss	 17 	 5 	 Cl2 	 Cl2 	 0.00039101495158600256
AE loss	 17 	 7 	 Cl 	 Cl 	 4.987874861896432e-09
AE loss	 18 	 0 	 H2 	 H2 	 3.833063529379148e-06
AE loss	 18 	 7 	 Cl 	 Cl 	 1.235140017981709e-08
AE loss	 18 	 5 	 Cl2 	 Cl2 	 0.00038741642991443003
AE loss	 18 	 9 	 H 	 H 	 7.75435651340018e-07
AE loss	 18 	 10 	 Li 	 Li 	 1.4190851930897714e-07
AE loss	 19 	 0 	 H2 	 H2 	 3.785962346880255e-06
AE loss	 19 	 10 	 Li 	 Li 	 1.523798449117387e-07
AE loss	 19 	 5 	 Cl2 	 Cl2 	 0.00038259470415048016
AE loss	 19 	 7 	 Cl 	 Cl 	 9.6460255436747e-08
AE loss	 19 	 9 	 H 	 H 	 7.722294815625448e-07
AE loss	 20 	 0 	 H2 	 H2 	 3.784050047232625e-06
AE loss	 20 	 10 	 Li 	 Li 	 1.731641286715064e-07
AE loss	 20 	 5 	 Cl2 	 Cl2 	 0.0003777567456290249
AE loss	 20 	 9 	 H 	 H 	 7.779243212278985e-07
AE loss	 20 	 7 	 Cl 	 Cl 	 1.0106398298065819e-07
AE loss	 21 	 5 	 Cl2 	 Cl2 	 0.0003745541951749291
AE loss	 21 	 9 	 H 	 H 	 7.740583493685969e-07
AE loss	 21 	 10 	 Li 	 Li 	 1.7016070395781196e-07
AE loss	 21 	 7 	 Cl 	 Cl 	 8.416918751843377e-09
AE loss	 21 	 0 	 H2 	 H2 	 3.828228649630227e-06
AE loss	 22 	 10 	 Li 	 Li 	 1.6272636071146787e-07
AE loss	 22 	 0 	 H2 	 H2 	 3.845235315030285e-06
AE loss	 22 	 9 	 H 	 H 	 7.83224433118664e-07
AE loss	 22 	 7 	 Cl 	 Cl 	 6.176425510384925e-09
AE loss	 22 	 5 	 Cl2 	 Cl2 	 0.00036616372312578643
AE loss	 23 	 7 	 Cl 	 Cl 	 1.158278163641277e-08
AE loss	 23 	 10 	 Li 	 Li 	 2.005442913420977e-07
AE loss	 23 	 5 	 Cl2 	 Cl2 	 0.0003633916733005204
AE loss	 23 	 9 	 H 	 H 	 7.772507479384869e-07
AE loss	 23 	 0 	 H2 	 H2 	 3.7789649165488184e-06
AE loss	 24 	 0 	 H2 	 H2 	 3.8105620313643965e-06
AE loss	 24 	 9 	 H 	 H 	 7.827820582844772e-07
AE loss	 24 	 7 	 Cl 	 Cl 	 7.811565558980837e-08
AE loss	 24 	 5 	 Cl2 	 Cl2 	 0.0003577830678083285
AE loss	 24 	 10 	 Li 	 Li 	 2.4353392881518797e-07
AE loss	 25 	 9 	 H 	 H 	 7.845607742349691e-07
AE loss	 25 	 10 	 Li 	 Li 	 2.496407115805909e-07
AE loss	 25 	 7 	 Cl 	 Cl 	 7.72736804390645e-08
AE loss	 25 	 5 	 Cl2 	 Cl2 	 0.0003530203220536422
AE loss	 25 	 0 	 H2 	 H2 	 3.7617728130313877e-06
