#	Epoch	E	E*lambda_E	rho	rho*lambda_rho	ae	ae*lambda_ae	total
0	6.422099453972545	0.06422099453972545	15.381823454659902	307.636469093198	60.072650274832355	60.072650274832355	80.26362968062178
1	6.949079332761713	0.06949079332761712	15.372532119737292	307.45064239474584	59.93767293476267	59.93767293476267	80.16242197570136
2	8.121673862101058	0.08121673862101059	15.354332525790845	307.0866505158169	59.25829534089707	59.25829534089707	79.81889728045505
3	9.778493025476838	0.09778493025476838	15.33519997594263	306.7039995188526	58.69106826384599	58.69106826384599	79.51678000615142
4	10.93678892339617	0.10936788923396171	15.316761874023491	306.3352374804698	58.14354458195017	58.14354458195017	79.21411476228404
5	12.946917350217332	0.12946917350217332	15.298465420120262	305.96930840240526	57.49603500298802	57.49603500298802	78.87820720625359
6	15.513465163844621	0.15513465163844622	15.274285394622227	305.48570789244457	57.120685316399346	57.120685316399346	78.60712246227132
7	17.46628636411137	0.1746628636411137	15.259856597463662	305.1971319492732	56.58221490425834	56.58221490425834	78.31478058305419
8	18.939697574145637	0.18939697574145636	15.230015539334042	304.60031078668084	56.15692426390667	56.15692426390667	77.99777712591461
9	20.792938168645716	0.20792938168645717	15.215044008419554	304.3008801683911	55.60455093186914	55.60455093186914	77.6960857867444
10	24.774899440025838	0.24774899440025838	15.192267534691108	303.8453506938222	55.37404819275732	55.37404819275732	77.44033283650118
11	26.403666397654625	0.26403666397654624	15.16740026256363	303.3480052512726	54.8106146266896	54.8106146266896	77.09770505818943
12	29.56686631872135	0.2956686631872135	15.141823283264198	302.836465665284	54.44690125288692	54.44690125288692	76.8188204973766
13	32.2001686953071	0.322001686953071	15.12224770629651	302.4449541259302	54.0826046825193	54.0826046825193	76.51096869852347
14	37.16753806177803	0.3716753806177803	15.096601336041065	301.9320267208213	53.8611860677637	53.8611860677637	76.22248632355107
15	39.47264392439764	0.3947264392439764	15.070937447636904	301.4187489527381	53.271359207439126	53.271359207439126	75.86629981104016
16	42.98841720340877	0.42988417203408774	15.060895244358202	301.217904887164	52.93130313241061	52.93130313241061	75.6093347250922
17	47.14547934689465	0.47145479346894653	15.028250947851257	300.56501895702513	52.65228143751691	52.65228143751691	75.26566869183038
18	52.44018141481869	0.5244018141481869	15.016581032764071	300.3316206552814	52.525372017473956	52.525372017473956	74.99547749764693
19	55.79814754319909	0.557981475431991	14.997023931100673	299.9404786220135	52.15479085346093	52.15479085346093	74.70069844792904
20	59.890334209112055	0.5989033420911206	14.983215378207673	299.66430756415343	52.09989270155531	52.09989270155531	74.4393657034945
21	64.31859740070978	0.6431859740070978	14.963339767967122	299.26679535934244	51.94721989242713	51.94721989242713	74.14544741432782
22	65.24415979474138	0.6524415979474137	14.94741972811222	298.9483945622444	51.60862628141866	51.60862628141866	73.90250295759895
23	69.3766259763767	0.693766259763767	14.939586025061697	298.79172050123395	51.472174448756206	51.472174448756206	73.70103012315509
24	70.84580434622498	0.7084580434622498	14.909689325398771	298.1937865079754	51.41970326356029	51.41970326356029	73.45031304926583
25	74.49325020493653	0.7449325020493653	14.91445312722104	298.2890625444208	51.352737153362675	51.352737153362675	73.30025846059428
26	77.64101933336802	0.7764101933336802	14.907363479713709	298.1472695942742	51.83484899292265	51.83484899292265	73.15995891923083
27	77.80983097594763	0.7780983097594764	14.867994410707613	297.35988821415225	51.43883808365433	51.43883808365433	72.90161577445647
28	78.26305462373946	0.7826305462373947	14.858114815998794	297.1622963199759	51.325258160190614	51.325258160190614	72.77721225889954
29	82.50690414305991	0.8250690414305991	14.855966023070497	297.1193204614099	51.58054760281265	51.58054760281265	72.671475319772
30	81.37160396819299	0.8137160396819298	14.827808002473326	296.5561600494665	51.03952159108263	51.03952159108263	72.41554368832331
31	78.91391536617093	0.7891391536617093	14.791721526533463	295.83443053066924	50.94017304072221	50.94017304072221	72.34763994418088
32	81.12382508570774	0.8112382508570773	14.760718332078362	295.21436664156727	51.165169375148224	51.165169375148224	72.1419630178337
33	80.68112228254775	0.8068112228254775	14.754570562288457	295.0914112457691	50.953167968232734	50.953167968232734	72.01553635409917
34	76.91375697659652	0.7691375697659651	14.710677577314488	294.21355154628975	50.534270479753395	50.534270479753395	71.92162403583626
35	78.17681367320917	0.7817681367320917	14.687911316854137	293.75822633708276	50.43619903175249	50.43619903175249	71.71604505325274
