#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
78	 11 	 NO2 	 NO2 	 0.005162518256572451 	 0.005162518256572451
78	 22 	 CH4O 	 CH4O 	 0.00028053391492191017 	 0.00028053391492191017
78	 17 	 H2O 	 OH2 	 0.0003159472335449889 	 0.0003159472335449889
78	 10 	 NO 	 NO 	 0.00010804078621995722 	 0.00010804078621995722
78	 8 	 HLi 	 LiH 	 3.3379018278744986e-06 	 3.3379018278744986e-06
78	 23 	 HF2 	 HF2 	 0.0032572419520863452 	 0.0032572419520863452
78	 16 	 CH2 	 CH2 	 0.003064742160011793 	 0.003064742160011793
78	 2 	 FLi 	 LiF 	 0.006705755441287581 	 0.006705755441287581
78	 9 	 Na2 	 Na2 	 3.076894369132578e-05 	 3.076894369132578e-05
78	 25 	 Li 	 Li 	 4.4864879918606005e-05 	 4.4864879918606005e-05
78	 5 	 F2 	 F2 	 0.00030120380505043224 	 0.00030120380505043224
78	 18 	 H3N 	 NH3 	 0.0006353117611361865 	 0.0006353117611361865
78	 7 	 CO 	 OC 	 0.0003101456417791344 	 0.0003101456417791344
79	 10 	 NO 	 NO 	 0.00010808982449712239 	 0.00010808982449712239
79	 12 	 HN 	 NH 	 0.0013155076095138414 	 0.0013155076095138414
79	 11 	 NO2 	 NO2 	 0.005184596974827143 	 0.005184596974827143
79	 23 	 HF2 	 HF2 	 0.0032556276872701 	 0.0032556276872701
79	 0 	 H2 	 H2 	 5.17112865287257e-06 	 5.17112865287257e-06
79	 2 	 FLi 	 LiF 	 0.006700954016773608 	 0.006700954016773608
79	 20 	 CH 	 CH 	 1.0211717438103164e-07 	 1.0211717438103164e-07
79	 5 	 F2 	 F2 	 0.00030128146102094465 	 0.00030128146102094465
79	 18 	 H3N 	 NH3 	 0.0006349872463188419 	 0.0006349872463188419
79	 21 	 HN2O 	 HON2 	 0.005180330917856661 	 0.005180330917856661
79	 16 	 CH2 	 CH2 	 0.0030616983662780386 	 0.0030616983662780386
79	 17 	 H2O 	 OH2 	 0.0003157984126603008 	 0.0003157984126603008
79	 6 	 C2H2 	 C2H2 	 7.842861971884973e-05 	 7.842861971884973e-05
79	 24 	 C 	 C 	 6.980227135760763e-05 	 6.980227135760763e-05
79	 3 	 CHN 	 CNH 	 0.0027671169286608783 	 0.0027671169286608783
79	 4 	 CO2 	 CO2 	 0.006361212313811274 	 0.006361212313811274
79	 8 	 HLi 	 LiH 	 3.4309759336834337e-06 	 3.4309759336834337e-06
79	 22 	 CH4O 	 CH4O 	 0.0002801972363093466 	 0.0002801972363093466
79	 14 	 N2O 	 N2O 	 0.0041765534071534416 	 0.0041765534071534416
79	 19 	 HO 	 OH 	 2.3529946852312733e-05 	 2.3529946852312733e-05
79	 9 	 Na2 	 Na2 	 3.1047628486862626e-05 	 3.1047628486862626e-05
79	 13 	 O3 	 O3 	 0.004726114650681487 	 0.004726114650681487
79	 25 	 Li 	 Li 	 4.234599851026746e-05 	 4.234599851026746e-05
79	 15 	 CH3 	 CH3 	 9.224330757611197e-06 	 9.224330757611197e-06
79	 1 	 N2 	 N2 	 1.0455572452314424e-05 	 1.0455572452314424e-05
79	 7 	 CO 	 OC 	 0.00030544148316215757 	 0.00030544148316215757
80	 25 	 Li 	 Li 	 4.509260211609515e-05 	 4.509260211609515e-05
80	 4 	 CO2 	 CO2 	 0.006306597634802269 	 0.006306597634802269
80	 23 	 HF2 	 HF2 	 0.0032670210585196762 	 0.0032670210585196762
80	 13 	 O3 	 O3 	 0.004804008135011415 	 0.004804008135011415
80	 8 	 HLi 	 LiH 	 3.3194210582801823e-06 	 3.3194210582801823e-06
