#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
29	 8 	 C2H2 	 C2H2 	 7.88777883887249e-05 	 7.88777883887249e-05
29	 14 	 NO2 	 NO2 	 0.0030023322743884693 	 0.0030023322743884693
29	 24 	 C 	 C 	 0.00011550231277886965 	 0.00011550231277886965
29	 22 	 HO 	 OH 	 1.476619383606974e-05 	 1.476619383606974e-05
29	 35 	 HF2 	 HF2 	 0.0013364051705464207 	 0.0013364051705464207
29	 9 	 CO 	 OC 	 0.0005584025855740989 	 0.0005584025855740989
29	 4 	 CO2 	 CO2 	 0.010575077947729326 	 0.010575077947729326
29	 1 	 N2 	 N2 	 1.6981419357737052e-06 	 1.6981419357737052e-06
29	 27 	 H 	 H 	 4.898513324872138e-07 	 4.898513324872138e-07
29	 20 	 H2O 	 OH2 	 4.0222780599988906e-05 	 4.0222780599988906e-05
29	 16 	 O3 	 O3 	 0.00175555859318625 	 0.00175555859318625
29	 18 	 CH3 	 CH3 	 0.0003825826582539511 	 0.0003825826582539511
29	 31 	 O 	 O 	 6.203182117990308e-05 	 6.203182117990308e-05
29	 13 	 NO 	 NO 	 5.9339474064276965e-05 	 5.9339474064276965e-05
29	 0 	 H2 	 H2 	 1.7304919201282015e-06 	 1.7304919201282015e-06
29	 37 	 Li 	 Li 	 2.7787684567661393e-07 	 2.7787684567661393e-07
29	 36 	 C 	 C 	 5.869891651620762e-05 	 5.869891651620762e-05
29	 17 	 N2O 	 N2O 	 0.002575368515375072 	 0.002575368515375072
29	 12 	 Na2 	 Na2 	 3.348459005864197e-08 	 3.348459005864197e-08
29	 25 	 Cl 	 Cl 	 1.081030374976677e-06 	 1.081030374976677e-06
29	 30 	 Na 	 Na 	 1.4261348041714074e-05 	 1.4261348041714074e-05
29	 29 	 N 	 N 	 0.00011818391444795222 	 0.00011818391444795222
29	 21 	 H3N 	 NH3 	 9.627744317544668e-05 	 9.627744317544668e-05
29	 6 	 F2 	 F2 	 5.658910158157117e-05 	 5.658910158157117e-05
29	 26 	 F 	 F 	 2.3135190027929706e-05 	 2.3135190027929706e-05
29	 15 	 HN 	 NH 	 7.988768142841648e-05 	 7.988768142841648e-05
29	 3 	 CHN 	 CNH 	 0.005861503817489478 	 0.005861503817489478
29	 19 	 CH2 	 CH2 	 0.00038024483910962744 	 0.00038024483910962744
29	 28 	 Li 	 Li 	 3.094772268167722e-05 	 3.094772268167722e-05
30	 4 	 CO2 	 CO2 	 0.010428577054575904 	 0.010428577054575904
30	 26 	 F 	 F 	 1.7263580427768478e-05 	 1.7263580427768478e-05
30	 19 	 CH2 	 CH2 	 0.00038283592899779025 	 0.00038283592899779025
30	 15 	 HN 	 NH 	 8.123778836290925e-05 	 8.123778836290925e-05
30	 13 	 NO 	 NO 	 6.195623848036848e-05 	 6.195623848036848e-05
30	 20 	 H2O 	 OH2 	 4.355099600808611e-05 	 4.355099600808611e-05
30	 24 	 C 	 C 	 0.00012326025404815196 	 0.00012326025404815196
30	 22 	 HO 	 OH 	 1.512083588614265e-05 	 1.512083588614265e-05
30	 17 	 N2O 	 N2O 	 0.0026424301925289284 	 0.0026424301925289284
30	 18 	 CH3 	 CH3 	 0.0003971559756208719 	 0.0003971559756208719
30	 29 	 N 	 N 	 0.0001096317372552711 	 0.0001096317372552711
30	 30 	 Na 	 Na 	 6.175339934435557e-06 	 6.175339934435557e-06
30	 25 	 Cl 	 Cl 	 1.3281492716411374e-05 	 1.3281492716411374e-05
30	 16 	 O3 	 O3 	 0.0018488749941991374 	 0.0018488749941991374
30	 23 	 CH 	 CH 	 9.526223233248168e-08 	 9.526223233248168e-08
30	 14 	 NO2 	 NO2 	 0.003200169821783034 	 0.003200169821783034
30	 11 	 HLi 	 LiH 	 2.0945653177131506e-06 	 2.0945653177131506e-06
30	 0 	 H2 	 H2 	 2.611914863395773e-06 	 2.611914863395773e-06
30	 2 	 FLi 	 LiF 	 0.006955623325009807 	 0.006955623325009807
30	 3 	 CHN 	 CNH 	 0.005757165931120549 	 0.005757165931120549
30	 21 	 H3N 	 NH3 	 0.00010157535305693986 	 0.00010157535305693986
30	 9 	 CO 	 OC 	 0.0005310727884743476 	 0.0005310727884743476
30	 31 	 O 	 O 	 6.488119465345953e-05 	 6.488119465345953e-05
30	 8 	 C2H2 	 C2H2 	 6.451348543410772e-05 	 6.451348543410772e-05
30	 35 	 HF2 	 HF2 	 0.0013789834571377934 	 0.0013789834571377934
30	 37 	 Li 	 Li 	 3.7933130112974263e-07 	 3.7933130112974263e-07
30	 36 	 C 	 C 	 5.6937902795236206e-05 	 5.6937902795236206e-05
30	 27 	 H 	 H 	 5.342949209474052e-07 	 5.342949209474052e-07
30	 1 	 N2 	 N2 	 3.2706008061169984e-06 	 3.2706008061169984e-06
30	 6 	 F2 	 F2 	 5.9598247918021535e-05 	 5.9598247918021535e-05
30	 12 	 Na2 	 Na2 	 2.689808758123876e-09 	 2.689808758123876e-09
