#epoch	m_idx	idx	at_form	atsym	[losskey	loss	loss*weight]
0	37	46	Li	Li	
0	37	47	Li	Li	
0	30	19	Na	Na	E	3.8101009976472885e-06	3.810100997647289e-08	
0	24	13	C	C	E	6.058169425998378e-07	6.058169425998378e-09	
0	13	18	N	N	E	7.090353249924604e-07	7.090353249924604e-09	
0	13	20	O	O	E	2.193960209358862e-07	2.1939602093588623e-09	
0	13	21	NO	NO	rho	1.006293118795724e-05	0.00020125862375914482	
0	16	20	O	O	E	2.5176446764239225e-07	2.5176446764239226e-09	
0	16	24	O3	O3	
0	28	17	Li	Li	rho	1.3811364218471457e-06	2.7622728436942914e-05	E	1.5587319757927363e-08	1.5587319757927363e-10	
0	35	41	HF	FH	
0	35	42	F	F	
0	35	43	HF2	HF2	
0	8	8	C2H2	C2H2	rho	2.362869109240522e-05	0.00047257382184810444	
0	8	13	C	C	E	6.148289728110323e-07	6.148289728110323e-09	
0	8	16	H	H	rho	4.550328618757976e-07	9.100657237515953e-06	E	6.891964444893605e-09	6.891964444893605e-11	
0	3	3	CHN	CNH	rho	3.6353207045618886e-05	0.0007270641409123777	
0	3	13	C	C	E	5.908425174766194e-07	5.908425174766194e-09	
0	3	16	H	H	rho	4.5503785044197593e-07	9.100757008839519e-06	E	5.994017838163781e-09	5.994017838163782e-11	
0	3	18	N	N	E	7.478909047471407e-07	7.478909047471407e-09	
0	23	13	C	C	E	6.037737937028323e-07	6.037737937028323e-09	
0	23	16	H	H	rho	4.55036529951089e-07	9.100730599021781e-06	E	6.191751454128605e-09	6.191751454128606e-11	
0	23	31	CH	CH	rho	7.322633163394312e-05	0.0014645266326788623	
0	18	13	C	C	E	6.095701060362614e-07	6.095701060362615e-09	
0	18	16	H	H	rho	4.5504968925269955e-07	9.10099378505399e-06	E	3.908884352820928e-09	3.908884352820928e-11	
0	18	26	CH3	CH3	
0	19	13	C	C	E	5.916482317768845e-07	5.916482317768844e-09	
0	19	16	H	H	rho	4.5503669541135213e-07	9.100733908227042e-06	E	6.1667010231424395e-09	6.16670102314244e-11	
0	19	27	CH2	CH2	
0	29	18	N	N	E	6.970470873710538e-07	6.970470873710538e-09	
0	36	44	C	C	
0	36	45	C	C	
0	4	4	CO2	CO2	rho	2.0036418399793662e-05	0.00040072836799587324	
0	4	13	C	C	E	5.950685874452609e-07	5.9506858744526085e-09	
0	4	20	O	O	E	2.4922584566883186e-07	2.4922584566883187e-09	
0	22	16	H	H	rho	4.550418663504774e-07	9.100837327009548e-06	E	5.393263490321734e-09	5.393263490321734e-11	
0	22	20	O	O	E	2.2620911365551575e-07	2.2620911365551576e-09	
0	22	30	HO	OH	rho	0.008495422579911807	0.16990845159823614	
0	1	1	N2	N2	rho	1.4636956973755646e-05	0.0002927391394751129	
0	1	18	N	N	E	7.193371011819858e-07	7.193371011819859e-09	
0	27	16	H	H	rho	4.550331548290555e-07	9.10066309658111e-06	E	6.790693285326146e-09	6.790693285326146e-11	
0	31	20	O	O	E	2.286483707167295e-07	2.286483707167295e-09	
0	14	18	N	N	E	6.894113416543682e-07	6.894113416543682e-09	
0	14	20	O	O	E	2.408869051376592e-07	2.4088690513765918e-09	
0	14	22	NO2	NO2	
0	25	14	Cl	Cl	E	7.930682403806844e-05	7.930682403806844e-07	
0	17	18	N	N	E	7.105037894877015e-07	7.105037894877014e-09	
0	17	20	O	O	E	2.4646290598623307e-07	2.4646290598623306e-09	
0	17	25	N2O	N2O	
0	0	0	H2	H2	rho	1.9529410952975378e-06	3.9058821905950753e-05	
0	0	16	H	H	rho	4.5505660415060454e-07	9.101132083012091e-06	E	2.974655636895805e-09	2.9746556368958054e-11	
0	20	16	H	H	rho	4.550588687485137e-07	9.101177374970275e-06	E	2.6783790504491935e-09	2.6783790504491937e-11	
0	20	20	O	O	E	2.2420399930093554e-07	2.2420399930093554e-09	
0	20	28	H2O	OH2	
0	9	9	CO	OC	rho	1.7064059732750794e-05	0.0003412811946550159	
0	9	13	C	C	E	6.125806708393113e-07	6.125806708393113e-09	
0	9	20	O	O	E	2.1865043980737623e-07	2.1865043980737623e-09	
0	12	12	Na2	Na2	rho	5.1020462845773675e-06	0.00010204092569154735	
0	12	19	Na	Na	E	3.813732537451463e-06	3.813732537451463e-08	
0	21	16	H	H	rho	4.550546323109782e-07	9.101092646219563e-06	E	3.2466810317402652e-09	3.2466810317402655e-11	
0	21	18	N	N	E	7.63127551571254e-07	7.63127551571254e-09	
0	21	29	H3N	NH3	
0	6	6	F2	F2	rho	3.5545289335873172e-06	7.109057867174634e-05	
0	6	15	F	F	E	8.329934047307471e-09	8.329934047307472e-11	
0	2	2	FLi	LiF	rho	5.396373923740756e-05	0.0010792747847481513	
0	2	15	F	F	E	1.6502298378533277e-08	1.6502298378533278e-10	
0	2	17	Li	Li	rho	1.3804612760290298e-06	2.7609225520580596e-05	E	1.5811389953450554e-08	1.5811389953450554e-10	
0	15	16	H	H	rho	4.5504974580171596e-07	9.10099491603432e-06	E	3.901176615751339e-09	3.9011766157513394e-11	
0	15	18	N	N	E	7.608145629274803e-07	7.608145629274803e-09	
0	15	23	HN	NH	
0	11	11	HLi	LiH	rho	2.5352988154672214e-06	5.070597630934443e-05	
0	11	16	H	H	rho	4.550347000381188e-07	9.100694000762376e-06	E	6.476288637125767e-09	6.476288637125767e-11	
0	11	17	Li	Li	rho	1.3807739767231876e-06	2.7615479534463752e-05	E	1.588516739141321e-08	1.588516739141321e-10	
0	26	15	F	F	E	2.2913547903487376e-08	2.2913547903487376e-10	
1	37	46	Li	Li	
