#Atom 	 Energy (Hartree) 
S 	 -398.1434696117763 
Be 	 -14.64817803718474 
H 	 -0.49996525655873353 
F 	 -99.7341849166001 
C 	 -37.8358867312088 
O 	 -75.06426777238423 
Cl 	 -460.1842448512346 
P 	 -341.28761009302684 
N 	 -54.58434323742828 
