#Atom 	 Energy (Hartree) 
H 	 -0.4999798669601177 
P 	 -341.30340531255155 
C 	 -37.837367802621856 
Be 	 -14.648280394545019 
S 	 -398.1610562260718 
O 	 -75.06842722640474 
Cl 	 -460.20387440755917 
N 	 -54.58726061692129 
F 	 -99.7402220359566 
