#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
20	 17 	 H2O 	 OH2 	 6.881592631467623e-05 	 6.881592631467623e-05
20	 9 	 Na2 	 Na2 	 1.6273718977040278e-06 	 1.6273718977040278e-06
20	 16 	 CH2 	 CH2 	 0.0019342425351436797 	 0.0019342425351436797
20	 20 	 CH 	 CH 	 5.63212790826244e-07 	 5.63212790826244e-07
20	 23 	 HF2 	 HF2 	 0.0014361346932393884 	 0.0014361346932393884
20	 12 	 HN 	 NH 	 0.0003814670505032091 	 0.0003814670505032091
20	 13 	 O3 	 O3 	 0.0011260270093579623 	 0.0011260270093579623
20	 0 	 H2 	 H2 	 2.1378233602443822e-08 	 2.1378233602443822e-08
20	 25 	 Li 	 Li 	 8.991568363118069e-06 	 8.991568363118069e-06
20	 11 	 NO2 	 NO2 	 0.001623842745161162 	 0.001623842745161162
20	 6 	 C2H2 	 C2H2 	 0.00040718097647436305 	 0.00040718097647436305
20	 15 	 CH3 	 CH3 	 4.002258729897796e-05 	 4.002258729897796e-05
21	 13 	 O3 	 O3 	 0.0011162467396951675 	 0.0011162467396951675
21	 0 	 H2 	 H2 	 4.072391628800838e-08 	 4.072391628800838e-08
21	 25 	 Li 	 Li 	 9.934215165881138e-06 	 9.934215165881138e-06
21	 21 	 HN2O 	 HON2 	 0.002020375985470249 	 0.002020375985470249
21	 8 	 HLi 	 LiH 	 1.5878049837997575e-07 	 1.5878049837997575e-07
21	 14 	 N2O 	 N2O 	 0.0008981831373303879 	 0.0008981831373303879
21	 22 	 CH4O 	 CH4O 	 0.00012332119937638427 	 0.00012332119937638427
21	 5 	 F2 	 F2 	 2.9185855195970974e-05 	 2.9185855195970974e-05
21	 18 	 H3N 	 NH3 	 8.572429489555915e-05 	 8.572429489555915e-05
21	 3 	 CHN 	 CNH 	 0.006119837756402766 	 0.006119837756402766
21	 10 	 NO 	 NO 	 3.806284526685774e-06 	 3.806284526685774e-06
21	 15 	 CH3 	 CH3 	 4.4661167373446704e-05 	 4.4661167373446704e-05
21	 1 	 N2 	 N2 	 4.1469808159096277e-05 	 4.1469808159096277e-05
21	 11 	 NO2 	 NO2 	 0.0014942688845829975 	 0.0014942688845829975
21	 12 	 HN 	 NH 	 0.0003676410308746452 	 0.0003676410308746452
21	 23 	 HF2 	 HF2 	 0.001394289346076837 	 0.001394289346076837
21	 16 	 CH2 	 CH2 	 0.0018733721016566916 	 0.0018733721016566916
21	 4 	 CO2 	 CO2 	 0.012729198880512754 	 0.012729198880512754
