#	Epoch	E	rho	ae	total
0	0.04732319710333397	65.84666997371659	76.42645325174617	56.013520904782055
1	0.030639209615620066	65.33772093444944	76.12518787540125	55.77693859916081
2	0.031847888032147054	64.89570879055931	75.55786212032858	55.363971532630835
3	0.03566117312649402	64.6685954447421	75.29081767257867	55.168669973721535
4	0.029690968422406396	64.58613749130731	74.5969314757212	54.6901061066772
5	0.03034521201953011	64.36921436876739	74.22428388826415	54.42319386506715
6	0.03400248964072352	64.17004790499495	73.7460447317559	54.08553342739365
7	0.0331243103348392	64.00041379794914	73.30341326223892	53.7736698418124
8	0.03290141964259619	63.85063109904689	72.86855380635635	53.46836889080966
9	0.034461673081321406	63.64240157685073	72.49502295863174	53.20151033101302
10	0.03460932079994549	63.61004508139433	71.96363076895362	52.83761679898724
11	0.03479033922830249	63.467740430610334	71.57056040212116	52.56140502950397
12	0.03599739296768385	63.38738479104417	71.15419404981657	52.27319843095425
13	0.03635508171034279	63.2635196655457	70.72749583648455	51.975332118902614
14	0.03540294635450741	63.24492879840959	70.29310775034683	51.67864052389332
15	0.03641720083980411	63.184368007087606	69.94238123214042	51.436506349921245
16	0.036824000085785395	62.982616523232736	69.54849177614437	51.15635301770516
17	0.038573137331443505	62.89164293679824	69.32435602011506	50.998528361695655
18	0.040350014771780116	62.880348828292924	68.78648349774868	50.63249827729838
19	0.03904995908187646	62.807125944273196	68.3727707907935	50.34686818665697
20	0.0399609846159388	62.752827927836876	68.06546198546916	50.13490915842829
