AE loss	 15 	 9 	 H 	 H 	 5.690670514040892e-09
AE loss	 15 	 6 	 C 	 C 	 1.1702398435658045e-05
AE loss	 15 	 5 	 Cl2 	 Cl2 	 0.0004118508070894113
AE loss	 15 	 7 	 Cl 	 Cl 	 2.0101214254660242e-07
AE loss	 15 	 0 	 H2 	 H2 	 6.246330144485073e-06
AE loss	 15 	 10 	 Li 	 Li 	 1.5592937822081816e-06
AE loss	 16 	 9 	 H 	 H 	 5.282998484776167e-09
AE loss	 16 	 10 	 Li 	 Li 	 1.651484492145916e-06
AE loss	 16 	 7 	 Cl 	 Cl 	 2.233073773537977e-07
AE loss	 16 	 6 	 C 	 C 	 1.0097836847725842e-05
AE loss	 16 	 0 	 H2 	 H2 	 6.04086881766383e-06
AE loss	 16 	 5 	 Cl2 	 Cl2 	 0.0004062425177779131
AE loss	 17 	 9 	 H 	 H 	 4.3377539208360765e-09
AE loss	 17 	 6 	 C 	 C 	 9.213860120699455e-06
AE loss	 17 	 7 	 Cl 	 Cl 	 3.304409821661155e-07
AE loss	 17 	 0 	 H2 	 H2 	 5.769144277554023e-06
AE loss	 17 	 5 	 Cl2 	 Cl2 	 0.0004033369601712012
AE loss	 17 	 10 	 Li 	 Li 	 2.199678247674841e-06
AE loss	 18 	 9 	 H 	 H 	 4.563733263924115e-09
AE loss	 18 	 6 	 C 	 C 	 8.023936804673068e-06
AE loss	 18 	 7 	 Cl 	 Cl 	 3.2971531360236474e-07
AE loss	 18 	 0 	 H2 	 H2 	 5.473856272283911e-06
AE loss	 18 	 10 	 Li 	 Li 	 2.4768772322286264e-06
AE loss	 18 	 5 	 Cl2 	 Cl2 	 0.0003988397340737306
AE loss	 19 	 6 	 C 	 C 	 7.2966187612488036e-06
AE loss	 19 	 7 	 Cl 	 Cl 	 1.6087873430267654e-07
AE loss	 19 	 9 	 H 	 H 	 3.829629000274526e-09
AE loss	 19 	 0 	 H2 	 H2 	 5.248263826494017e-06
AE loss	 19 	 5 	 Cl2 	 Cl2 	 0.0003956389169641591
AE loss	 19 	 10 	 Li 	 Li 	 2.8599150351595094e-06
AE loss	 20 	 9 	 H 	 H 	 4.302059101894149e-09
