AE loss	 4 	 2 	 FLi 	 LiF 	 0.009238580691363855
AE loss	 4 	 1 	 N2 	 N2 	 0.00013104419427670814
AE loss	 4 	 19 	 O 	 O 	 3.31724026215326e-05
AE loss	 4 	 5 	 Cl2 	 Cl2 	 2.2465046246562534e-05
AE loss	 4 	 14 	 F 	 F 	 2.723625564065303e-05
AE loss	 4 	 18 	 Na 	 Na 	 1.8210728435532363e-05
AE loss	 4 	 15 	 H 	 H 	 1.539350602572201e-08
AE loss	 4 	 8 	 CO 	 OC 	 0.0012615187059815903
AE loss	 4 	 0 	 H2 	 H2 	 4.1113578208179535e-06
AE loss	 5 	 16 	 Li 	 Li 	 1.699356950470874e-06
AE loss	 5 	 0 	 H2 	 H2 	 4.15656302662827e-06
AE loss	 5 	 17 	 N 	 N 	 3.6142652800754656e-05
AE loss	 5 	 14 	 F 	 F 	 2.130022324348348e-05
AE loss	 5 	 7 	 C2H2 	 C2H2 	 0.0007451836747173299
AE loss	 5 	 5 	 Cl2 	 Cl2 	 2.2283266091311457e-05
AE loss	 5 	 13 	 Cl 	 Cl 	 1.3774648793819034e-05
AE loss	 5 	 12 	 C 	 C 	 2.6654242615661372e-05
AE loss	 5 	 3 	 CHN 	 CNH 	 0.008965537324913044
AE loss	 5 	 18 	 Na 	 Na 	 8.21453239184641e-06
AE loss	 5 	 15 	 H 	 H 	 1.4774104108760803e-08
AE loss	 5 	 6 	 F2 	 F2 	 3.1397302363371146e-07
AE loss	 5 	 11 	 Na2 	 Na2 	 2.7708053715199007e-06
AE loss	 5 	 9 	 HCl 	 ClH 	 4.5009056109025096e-06
AE loss	 5 	 10 	 HLi 	 LiH 	 4.379856373184248e-06
AE loss	 5 	 4 	 CO2 	 CO2 	 0.016807210613181935
AE loss	 5 	 2 	 FLi 	 LiF 	 0.009142742286606994
AE loss	 5 	 1 	 N2 	 N2 	 0.00011943974214448444
AE loss	 5 	 19 	 O 	 O 	 2.9681864838808585e-05
AE loss	 5 	 8 	 CO 	 OC 	 0.0012373981769256835
AE loss	 6 	 17 	 N 	 N 	 3.690011043726181e-05
AE loss	 6 	 4 	 CO2 	 CO2 	 0.016666583911472018
AE loss	 6 	 8 	 CO 	 OC 	 0.0012289914753971663
AE loss	 6 	 15 	 H 	 H 	 1.8572603875089487e-08
AE loss	 6 	 16 	 Li 	 Li 	 2.397196244039875e-06
AE loss	 6 	 19 	 O 	 O 	 3.388221097484814e-05
AE loss	 6 	 2 	 FLi 	 LiF 	 0.009068653843480191
AE loss	 6 	 12 	 C 	 C 	 3.4477442320665245e-05
AE loss	 6 	 3 	 CHN 	 CNH 	 0.008801418868710857
AE loss	 6 	 10 	 HLi 	 LiH 	 5.024176216949628e-06
AE loss	 6 	 11 	 Na2 	 Na2 	 2.9371652481443456e-06
AE loss	 6 	 14 	 F 	 F 	 2.406725672173801e-05
AE loss	 6 	 1 	 N2 	 N2 	 0.00010919840673003665
AE loss	 6 	 7 	 C2H2 	 C2H2 	 0.0006860410616693553
AE loss	 6 	 9 	 HCl 	 ClH 	 4.275523070908167e-06
AE loss	 6 	 5 	 Cl2 	 Cl2 	 2.3266852373099102e-05
AE loss	 6 	 18 	 Na 	 Na 	 1.1035325010160444e-05
AE loss	 6 	 6 	 F2 	 F2 	 1.0283155313348642e-06
AE loss	 6 	 0 	 H2 	 H2 	 4.570865877276971e-06
AE loss	 6 	 13 	 Cl 	 Cl 	 1.0133949763118388e-05
AE loss	 7 	 11 	 Na2 	 Na2 	 2.8801818711203138e-06
AE loss	 7 	 10 	 HLi 	 LiH 	 4.882693734670824e-06
AE loss	 7 	 16 	 Li 	 Li 	 3.020875901856423e-06
AE loss	 7 	 13 	 Cl 	 Cl 	 4.773722649055927e-06
AE loss	 7 	 19 	 O 	 O 	 3.37699110723318e-05
AE loss	 7 	 9 	 HCl 	 ClH 	 4.119014385101775e-06
AE loss	 7 	 15 	 H 	 H 	 2.502887018688926e-08
AE loss	 7 	 18 	 Na 	 Na 	 1.5115372846540795e-05
AE loss	 7 	 1 	 N2 	 N2 	 0.00010178947225228238
AE loss	 7 	 2 	 FLi 	 LiF 	 0.008973876543369421
AE loss	 7 	 5 	 Cl2 	 Cl2 	 2.2430971205521025e-05
AE loss	 7 	 6 	 F2 	 F2 	 1.1980066913289453e-06
AE loss	 7 	 0 	 H2 	 H2 	 4.412768884899737e-06
AE loss	 7 	 4 	 CO2 	 CO2 	 0.016243538833674652
AE loss	 7 	 14 	 F 	 F 	 2.3409363639088763e-05
AE loss	 7 	 17 	 N 	 N 	 4.32991614082243e-05
AE loss	 7 	 3 	 CHN 	 CNH 	 0.008636620019184194
AE loss	 7 	 8 	 CO 	 OC 	 0.001176763385141602
AE loss	 7 	 12 	 C 	 C 	 3.792076058001053e-05
AE loss	 7 	 7 	 C2H2 	 C2H2 	 0.0006470260967267963
AE loss	 8 	 17 	 N 	 N 	 4.440140048569537e-05
AE loss	 8 	 13 	 Cl 	 Cl 	 2.0835192738278997e-06
AE loss	 8 	 15 	 H 	 H 	 2.778073647936879e-08
AE loss	 8 	 5 	 Cl2 	 Cl2 	 2.2605680902351742e-05
AE loss	 8 	 3 	 CHN 	 CNH 	 0.008565759203741766
AE loss	 8 	 0 	 H2 	 H2 	 4.553836013336818e-06
AE loss	 8 	 8 	 CO 	 OC 	 0.0011629664084827694
AE loss	 8 	 10 	 HLi 	 LiH 	 4.7034415908238344e-06
AE loss	 8 	 1 	 N2 	 N2 	 9.213150749936246e-05
AE loss	 8 	 14 	 F 	 F 	 2.5919045300110024e-05
AE loss	 8 	 4 	 CO2 	 CO2 	 0.015985043830440894
AE loss	 8 	 7 	 C2H2 	 C2H2 	 0.0006337422112515853
AE loss	 8 	 9 	 HCl 	 ClH 	 3.7887198511274013e-06
AE loss	 8 	 2 	 FLi 	 LiF 	 0.00886823906197005
AE loss	 8 	 12 	 C 	 C 	 4.3380360055528085e-05
AE loss	 8 	 18 	 Na 	 Na 	 1.873640453836964e-05
AE loss	 8 	 6 	 F2 	 F2 	 2.2427996450742685e-06
AE loss	 8 	 11 	 Na2 	 Na2 	 2.9006564102141732e-06
AE loss	 8 	 16 	 Li 	 Li 	 4.457200703178218e-06
AE loss	 8 	 19 	 O 	 O 	 3.741580673753582e-05
AE loss	 9 	 5 	 Cl2 	 Cl2 	 2.3034486675495046e-05
AE loss	 9 	 19 	 O 	 O 	 3.497360340013607e-05
AE loss	 9 	 13 	 Cl 	 Cl 	 4.94284702038757e-06
AE loss	 9 	 7 	 C2H2 	 C2H2 	 0.0006046069413782656
AE loss	 9 	 4 	 CO2 	 CO2 	 0.015747744330341082
AE loss	 9 	 0 	 H2 	 H2 	 4.746834261246572e-06
AE loss	 9 	 17 	 N 	 N 	 4.5651990511890154e-05
AE loss	 9 	 16 	 Li 	 Li 	 4.708690076072765e-06
AE loss	 9 	 12 	 C 	 C 	 4.1526265291807506e-05
AE loss	 9 	 18 	 Na 	 Na 	 7.202410616241067e-06
AE loss	 9 	 2 	 FLi 	 LiF 	 0.00877201733433704
AE loss	 9 	 14 	 F 	 F 	 1.6333778360667187e-05
AE loss	 9 	 6 	 F2 	 F2 	 2.869811074424887e-06
AE loss	 9 	 8 	 CO 	 OC 	 0.0011134581441893322
AE loss	 9 	 3 	 CHN 	 CNH 	 0.008369773251446784
AE loss	 9 	 1 	 N2 	 N2 	 7.776835798230042e-05
AE loss	 9 	 11 	 Na2 	 Na2 	 2.9276867855985852e-06
AE loss	 9 	 15 	 H 	 H 	 3.389707719680443e-08
AE loss	 9 	 10 	 HLi 	 LiH 	 4.8275129820113365e-06
AE loss	 9 	 9 	 HCl 	 ClH 	 4.052812240061257e-06
AE loss	 10 	 11 	 Na2 	 Na2 	 2.9186228512220813e-06
AE loss	 10 	 0 	 H2 	 H2 	 4.847434215591601e-06
AE loss	 10 	 19 	 O 	 O 	 2.5626990600302787e-05
AE loss	 10 	 15 	 H 	 H 	 3.44017037218907e-08
AE loss	 10 	 1 	 N2 	 N2 	 7.459676163766503e-05
AE loss	 10 	 5 	 Cl2 	 Cl2 	 2.3723723112021118e-05
AE loss	 10 	 6 	 F2 	 F2 	 3.3258777844722464e-06
AE loss	 10 	 2 	 FLi 	 LiF 	 0.008690014657678007
AE loss	 10 	 9 	 HCl 	 ClH 	 4.042650373081496e-06
AE loss	 10 	 7 	 C2H2 	 C2H2 	 0.0005651316950702587
AE loss	 10 	 4 	 CO2 	 CO2 	 0.015452037931251206
AE loss	 10 	 13 	 Cl 	 Cl 	 3.89100388557256e-05
AE loss	 10 	 12 	 C 	 C 	 3.989375054835427e-05
AE loss	 10 	 17 	 N 	 N 	 4.3689257660013254e-05
AE loss	 10 	 16 	 Li 	 Li 	 5.620400597726956e-06
AE loss	 10 	 3 	 CHN 	 CNH 	 0.00823715838684453
AE loss	 10 	 8 	 CO 	 OC 	 0.0010843284764483793
AE loss	 10 	 18 	 Na 	 Na 	 9.267490538784295e-06
AE loss	 10 	 14 	 F 	 F 	 2.2174038484122368e-05
AE loss	 10 	 10 	 HLi 	 LiH 	 4.870069326220177e-06
AE loss	 11 	 7 	 C2H2 	 C2H2 	 0.0005493605177167807
AE loss	 11 	 9 	 HCl 	 ClH 	 3.711582772731376e-06
AE loss	 11 	 12 	 C 	 C 	 4.921352125576765e-05
AE loss	 11 	 8 	 CO 	 OC 	 0.0010749601533765574
AE loss	 11 	 10 	 HLi 	 LiH 	 4.747809494368135e-06
AE loss	 11 	 18 	 Na 	 Na 	 1.0677213100852144e-05
AE loss	 11 	 3 	 CHN 	 CNH 	 0.008139063952154704
AE loss	 11 	 19 	 O 	 O 	 3.685675986088492e-05
AE loss	 11 	 0 	 H2 	 H2 	 4.797505139873805e-06
AE loss	 11 	 16 	 Li 	 Li 	 6.207148754204261e-06
AE loss	 11 	 13 	 Cl 	 Cl 	 3.7281059792040796e-06
AE loss	 11 	 1 	 N2 	 N2 	 6.598672239440124e-05
AE loss	 11 	 14 	 F 	 F 	 2.0173940097598744e-05
AE loss	 11 	 11 	 Na2 	 Na2 	 2.83337551143272e-06
AE loss	 11 	 2 	 FLi 	 LiF 	 0.008594230321721465
AE loss	 11 	 17 	 N 	 N 	 4.998214885325252e-05
