AE loss	 8 	 8 	 N 	 N 	 9.44782915989148e-06
AE loss	 8 	 10 	 Li 	 Li 	 1.0168203853715731e-07
AE loss	 8 	 3 	 CHN 	 CNH 	 0.008598686389147178
AE loss	 8 	 4 	 C 	 C 	 6.884486057963467e-06
AE loss	 8 	 1 	 N2 	 N2 	 0.00012378558501465074
AE loss	 8 	 6 	 H 	 H 	 2.641918803691904e-08
AE loss	 9 	 3 	 CHN 	 CNH 	 0.008536036492871421
AE loss	 9 	 10 	 Li 	 Li 	 1.1646643769080545e-07
AE loss	 9 	 2 	 FLi 	 LiF 	 0.009015835225049276
AE loss	 9 	 5 	 F 	 F 	 8.574702749912869e-07
AE loss	 9 	 1 	 N2 	 N2 	 0.00011935096651506288
AE loss	 9 	 4 	 C 	 C 	 7.973194347027012e-06
AE loss	 9 	 9 	 C 	 C 	 5.5347435168481176e-05
AE loss	 9 	 6 	 H 	 H 	 3.1730958003364304e-08
AE loss	 9 	 0 	 H2 	 H2 	 1.0544684015922608e-07
AE loss	 9 	 8 	 N 	 N 	 1.1795278141663887e-05
AE loss	 9 	 7 	 Li 	 Li 	 1.847452507280555e-07
AE loss	 10 	 9 	 C 	 C 	 5.5083808994327767e-05
AE loss	 10 	 3 	 CHN 	 CNH 	 0.008371548245841718
AE loss	 10 	 0 	 H2 	 H2 	 6.48769154209674e-08
AE loss	 10 	 7 	 Li 	 Li 	 1.9777217345341943e-07
AE loss	 10 	 5 	 F 	 F 	 1.7210383672531397e-06
AE loss	 10 	 10 	 Li 	 Li 	 1.5570071352726768e-07
AE loss	 10 	 8 	 N 	 N 	 1.3474116700718543e-05
AE loss	 10 	 4 	 C 	 C 	 8.597015583160178e-06
AE loss	 10 	 2 	 FLi 	 LiF 	 0.008925597216683876
AE loss	 10 	 1 	 N2 	 N2 	 0.00011197956526732685
AE loss	 10 	 6 	 H 	 H 	 3.994269140454586e-08
AE loss	 11 	 3 	 CHN 	 CNH 	 0.008252535909144192
AE loss	 11 	 9 	 C 	 C 	 5.4117772263506985e-05
AE loss	 11 	 5 	 F 	 F 	 1.318576613221574e-06
AE loss	 11 	 1 	 N2 	 N2 	 0.00010995166733090637
AE loss	 11 	 6 	 H 	 H 	 4.3694793286598004e-08
AE loss	 11 	 8 	 N 	 N 	 1.2703608962209425e-05
AE loss	 11 	 7 	 Li 	 Li 	 3.2354466464024703e-07
AE loss	 11 	 10 	 Li 	 Li 	 1.781873081970133e-07
AE loss	 11 	 2 	 FLi 	 LiF 	 0.008861429968485341
AE loss	 11 	 0 	 H2 	 H2 	 2.371667191267555e-09
AE loss	 11 	 4 	 C 	 C 	 7.340371814841607e-06
AE loss	 12 	 0 	 H2 	 H2 	 5.5924629194818935e-09
AE loss	 12 	 7 	 Li 	 Li 	 3.902321370999593e-07
AE loss	 12 	 2 	 FLi 	 LiF 	 0.008836882301548226
AE loss	 12 	 10 	 Li 	 Li 	 1.8778569318245435e-07
AE loss	 12 	 1 	 N2 	 N2 	 0.00010453906587610502
AE loss	 12 	 9 	 C 	 C 	 5.4373731422543615e-05
AE loss	 12 	 5 	 F 	 F 	 1.8304507359580685e-07
AE loss	 12 	 8 	 N 	 N 	 9.875073899420338e-06
AE loss	 12 	 6 	 H 	 H 	 4.678770795234976e-08
AE loss	 12 	 4 	 C 	 C 	 6.112831321451364e-06
AE loss	 12 	 3 	 CHN 	 CNH 	 0.008083708001121707
AE loss	 13 	 7 	 Li 	 Li 	 4.4259435285104725e-07
AE loss	 13 	 10 	 Li 	 Li 	 1.9673847428189238e-07
AE loss	 13 	 1 	 N2 	 N2 	 0.0001010299184198581
AE loss	 13 	 6 	 H 	 H 	 4.953746639232266e-08
AE loss	 13 	 4 	 C 	 C 	 6.057258509382203e-06
AE loss	 13 	 3 	 CHN 	 CNH 	 0.008018815057979517
AE loss	 13 	 8 	 N 	 N 	 9.594456630855916e-06
AE loss	 13 	 0 	 H2 	 H2 	 8.077313362491453e-08
AE loss	 13 	 2 	 FLi 	 LiF 	 0.008732854237940752
AE loss	 13 	 9 	 C 	 C 	 5.3817362858440164e-05
AE loss	 13 	 5 	 F 	 F 	 1.409539055378539e-07
AE loss	 14 	 8 	 N 	 N 	 1.008125649180786e-05
AE loss	 14 	 3 	 CHN 	 CNH 	 0.007933784158062692
AE loss	 14 	 6 	 H 	 H 	 5.951798487193462e-08
AE loss	 14 	 2 	 FLi 	 LiF 	 0.008703175723025479
AE loss	 14 	 1 	 N2 	 N2 	 9.653316681151681e-05
AE loss	 14 	 10 	 Li 	 Li 	 2.436594004144623e-07
AE loss	 14 	 9 	 C 	 C 	 5.30537636577344e-05
AE loss	 14 	 5 	 F 	 F 	 2.8425799836928135e-07
AE loss	 14 	 7 	 Li 	 Li 	 5.651066203215656e-07
AE loss	 14 	 4 	 C 	 C 	 6.858948182161759e-06
AE loss	 14 	 0 	 H2 	 H2 	 2.8891381911618353e-07
AE loss	 15 	 1 	 N2 	 N2 	 9.202383482716174e-05
AE loss	 15 	 4 	 C 	 C 	 6.873816658038755e-06
AE loss	 15 	 0 	 H2 	 H2 	 3.174174142447922e-07
AE loss	 15 	 10 	 Li 	 Li 	 2.711412558323526e-07
AE loss	 15 	 6 	 H 	 H 	 7.05399974925732e-08
AE loss	 15 	 3 	 CHN 	 CNH 	 0.007773148248580067
AE loss	 15 	 5 	 F 	 F 	 3.925565805368368e-07
AE loss	 15 	 7 	 Li 	 Li 	 5.839271599502411e-07
AE loss	 15 	 8 	 N 	 N 	 1.2264730606500883e-05
AE loss	 15 	 9 	 C 	 C 	 5.233696932413878e-05
AE loss	 15 	 2 	 FLi 	 LiF 	 0.008622287527427578
AE loss	 16 	 4 	 C 	 C 	 7.368278516014838e-06
AE loss	 16 	 3 	 CHN 	 CNH 	 0.007698794371949824
AE loss	 16 	 6 	 H 	 H 	 7.828865233466911e-08
AE loss	 16 	 8 	 N 	 N 	 1.2620527518896125e-05
AE loss	 16 	 9 	 C 	 C 	 5.1805224516211086e-05
AE loss	 16 	 0 	 H2 	 H2 	 6.452103988471026e-07
AE loss	 16 	 10 	 Li 	 Li 	 3.1516643308079573e-07
AE loss	 16 	 5 	 F 	 F 	 8.696600223288942e-07
AE loss	 16 	 2 	 FLi 	 LiF 	 0.008568579796059596
AE loss	 16 	 1 	 N2 	 N2 	 8.487593427066545e-05
AE loss	 16 	 7 	 Li 	 Li 	 7.613283240668075e-07
AE loss	 17 	 6 	 H 	 H 	 8.509906118151883e-08
AE loss	 17 	 2 	 FLi 	 LiF 	 0.008551069455116479
AE loss	 17 	 5 	 F 	 F 	 5.173439573422359e-07
AE loss	 17 	 0 	 H2 	 H2 	 8.605420349586176e-07
AE loss	 17 	 1 	 N2 	 N2 	 8.265887059593713e-05
AE loss	 17 	 8 	 N 	 N 	 1.1651410072131983e-05
AE loss	 17 	 9 	 C 	 C 	 5.194577724997384e-05
AE loss	 17 	 10 	 Li 	 Li 	 3.391827573993307e-07
AE loss	 17 	 3 	 CHN 	 CNH 	 0.007552377722616454
AE loss	 17 	 7 	 Li 	 Li 	 7.475983203235673e-07
AE loss	 17 	 4 	 C 	 C 	 6.936678815462174e-06
AE loss	 18 	 6 	 H 	 H 	 9.298130633934276e-08
AE loss	 18 	 0 	 H2 	 H2 	 1.0399112917252372e-06
AE loss	 18 	 10 	 Li 	 Li 	 3.604879953582264e-07
AE loss	 18 	 1 	 N2 	 N2 	 7.977024395399577e-05
AE loss	 18 	 5 	 F 	 F 	 4.2112360518486754e-07
AE loss	 18 	 9 	 C 	 C 	 5.1285686302960366e-05
AE loss	 18 	 2 	 FLi 	 LiF 	 0.008453328556177007
AE loss	 18 	 4 	 C 	 C 	 7.626609823194697e-06
AE loss	 18 	 3 	 CHN 	 CNH 	 0.00746070572550431
AE loss	 18 	 8 	 N 	 N 	 1.2979758012290869e-05
AE loss	 18 	 7 	 Li 	 Li 	 7.258139869729506e-07
AE loss	 19 	 7 	 Li 	 Li 	 7.377668503696702e-07
AE loss	 19 	 3 	 CHN 	 CNH 	 0.00741259823239025
AE loss	 19 	 9 	 C 	 C 	 5.075870039267717e-05
AE loss	 19 	 5 	 F 	 F 	 1.28460386719719e-06
AE loss	 19 	 2 	 FLi 	 LiF 	 0.008406708980342485
AE loss	 19 	 0 	 H2 	 H2 	 1.5867656389722133e-06
AE loss	 19 	 6 	 H 	 H 	 1.198013267389876e-07
AE loss	 19 	 1 	 N2 	 N2 	 7.366496265892273e-05
AE loss	 19 	 10 	 Li 	 Li 	 4.365027177107476e-07
AE loss	 19 	 4 	 C 	 C 	 1.0075325257101767e-05
AE loss	 19 	 8 	 N 	 N 	 1.7410837284283577e-05
AE loss	 20 	 9 	 C 	 C 	 4.974452126528909e-05
AE loss	 20 	 6 	 H 	 H 	 1.2537995099209902e-07
AE loss	 20 	 0 	 H2 	 H2 	 1.9543584204785184e-06
AE loss	 20 	 4 	 C 	 C 	 9.28771107142716e-06
AE loss	 20 	 1 	 N2 	 N2 	 7.244920059339492e-05
AE loss	 20 	 10 	 Li 	 Li 	 4.461419454791421e-07
AE loss	 20 	 2 	 FLi 	 LiF 	 0.008352292475358946
AE loss	 20 	 5 	 F 	 F 	 1.0762345681175131e-06
AE loss	 20 	 3 	 CHN 	 CNH 	 0.007253351127891753
AE loss	 20 	 8 	 N 	 N 	 1.4369663146987345e-05
