AE loss	 7 	 6 	 C 	 C 	 2.8832627040818494e-05
AE loss	 7 	 10 	 Li 	 Li 	 1.4832787863095412e-06
AE loss	 7 	 2 	 FLi 	 LiF 	 0.009189031663300179
AE loss	 7 	 5 	 Cl2 	 Cl2 	 5.590409382370167e-06
AE loss	 7 	 4 	 CO2 	 CO2 	 0.01679543714853282
AE loss	 7 	 12 	 O 	 O 	 3.2038462235732824e-05
AE loss	 7 	 0 	 H2 	 H2 	 3.7336855381864343e-06
AE loss	 7 	 1 	 N2 	 N2 	 0.0001213481852227275
AE loss	 7 	 11 	 N 	 N 	 3.975781316631626e-05
AE loss	 7 	 7 	 Cl 	 Cl 	 1.0880869264759919e-05
AE loss	 7 	 9 	 H 	 H 	 2.2499367201043955e-08
AE loss	 7 	 3 	 CHN 	 CNH 	 0.008785630619227052
AE loss	 7 	 8 	 F 	 F 	 2.45260778178398e-05
AE loss	 8 	 3 	 CHN 	 CNH 	 0.008762161167500917
AE loss	 8 	 2 	 FLi 	 LiF 	 0.009112532720788196
AE loss	 8 	 9 	 H 	 H 	 2.5251590366883723e-08
AE loss	 8 	 11 	 N 	 N 	 4.6895200232320996e-05
AE loss	 8 	 8 	 F 	 F 	 2.9227816716391887e-05
AE loss	 8 	 6 	 C 	 C 	 3.680643093233092e-05
AE loss	 8 	 12 	 O 	 O 	 3.888632758519997e-05
AE loss	 8 	 1 	 N2 	 N2 	 0.00011273566601191642
AE loss	 8 	 7 	 Cl 	 Cl 	 2.7746601502737335e-06
AE loss	 8 	 0 	 H2 	 H2 	 3.7092479344763946e-06
AE loss	 8 	 5 	 Cl2 	 Cl2 	 5.902217511697327e-06
AE loss	 8 	 10 	 Li 	 Li 	 2.242155849414341e-06
AE loss	 8 	 4 	 CO2 	 CO2 	 0.016440174694257712
AE loss	 9 	 4 	 CO2 	 CO2 	 0.016423589238787693
AE loss	 9 	 6 	 C 	 C 	 3.606955799048638e-05
AE loss	 9 	 11 	 N 	 N 	 4.6628560646320806e-05
AE loss	 9 	 1 	 N2 	 N2 	 0.00010749364991309422
AE loss	 9 	 8 	 F 	 F 	 2.7151852008186176e-05
AE loss	 9 	 12 	 O 	 O 	 3.94557557947295e-05
AE loss	 9 	 7 	 Cl 	 Cl 	 3.603598337735502e-06
AE loss	 9 	 3 	 CHN 	 CNH 	 0.008569456563787553
AE loss	 9 	 5 	 Cl2 	 Cl2 	 6.574071451308754e-06
AE loss	 9 	 10 	 Li 	 Li 	 3.2893649438836982e-06
AE loss	 9 	 2 	 FLi 	 LiF 	 0.009001996220975441
AE loss	 9 	 0 	 H2 	 H2 	 4.295421798675164e-06
AE loss	 9 	 9 	 H 	 H 	 3.231573591691561e-08
AE loss	 10 	 7 	 Cl 	 Cl 	 1.3819400284251747e-06
AE loss	 10 	 2 	 FLi 	 LiF 	 0.00897768098825635
AE loss	 10 	 9 	 H 	 H 	 3.534496807522942e-08
AE loss	 10 	 3 	 CHN 	 CNH 	 0.008483080752016254
AE loss	 10 	 10 	 Li 	 Li 	 3.6880588332245823e-06
AE loss	 10 	 5 	 Cl2 	 Cl2 	 6.680806982877911e-06
AE loss	 10 	 1 	 N2 	 N2 	 9.803928683905887e-05
AE loss	 10 	 12 	 O 	 O 	 4.6976832991952534e-05
AE loss	 10 	 11 	 N 	 N 	 5.613956175341202e-05
AE loss	 10 	 8 	 F 	 F 	 3.276576071305872e-05
AE loss	 10 	 6 	 C 	 C 	 4.3487174501761394e-05
AE loss	 10 	 4 	 CO2 	 CO2 	 0.016004267267730056
AE loss	 10 	 0 	 H2 	 H2 	 4.013254353115091e-06
AE loss	 11 	 4 	 CO2 	 CO2 	 0.01594467490411219
AE loss	 11 	 12 	 O 	 O 	 4.242827954942438e-05
AE loss	 11 	 11 	 N 	 N 	 5.34228539158432e-05
AE loss	 11 	 7 	 Cl 	 Cl 	 1.7112913309160671e-06
AE loss	 11 	 0 	 H2 	 H2 	 4.391389191824192e-06
AE loss	 11 	 5 	 Cl2 	 Cl2 	 7.131274871556765e-06
AE loss	 11 	 9 	 H 	 H 	 3.8229347670036664e-08
AE loss	 11 	 6 	 C 	 C 	 4.514289799545815e-05
AE loss	 11 	 3 	 CHN 	 CNH 	 0.00834319616833403
AE loss	 11 	 10 	 Li 	 Li 	 4.538335795878857e-06
AE loss	 11 	 2 	 FLi 	 LiF 	 0.00885518759382852
AE loss	 11 	 1 	 N2 	 N2 	 8.795484555167575e-05
AE loss	 11 	 8 	 F 	 F 	 2.647124434695341e-05
AE loss	 12 	 11 	 N 	 N 	 5.4160205311317206e-05
AE loss	 12 	 6 	 C 	 C 	 4.510913413359501e-05
AE loss	 12 	 2 	 FLi 	 LiF 	 0.00882807007933362
AE loss	 12 	 7 	 Cl 	 Cl 	 1.1619970682714378e-05
AE loss	 12 	 4 	 CO2 	 CO2 	 0.015645770329204365
AE loss	 12 	 9 	 H 	 H 	 4.0658708620722294e-08
AE loss	 12 	 12 	 O 	 O 	 3.8537659984463064e-05
AE loss	 12 	 5 	 Cl2 	 Cl2 	 7.531125803136065e-06
AE loss	 12 	 0 	 H2 	 H2 	 4.586413101077406e-06
AE loss	 12 	 10 	 Li 	 Li 	 5.018763779274419e-06
AE loss	 12 	 3 	 CHN 	 CNH 	 0.008233867822763936
AE loss	 12 	 8 	 F 	 F 	 2.3208260658366573e-05
AE loss	 12 	 1 	 N2 	 N2 	 8.128381916189289e-05
AE loss	 13 	 11 	 N 	 N 	 5.4610880736470375e-05
AE loss	 13 	 5 	 Cl2 	 Cl2 	 7.70662347643846e-06
AE loss	 13 	 3 	 CHN 	 CNH 	 0.008186981734463647
AE loss	 13 	 7 	 Cl 	 Cl 	 7.2759839469323905e-06
AE loss	 13 	 2 	 FLi 	 LiF 	 0.008754354578761647
AE loss	 13 	 4 	 CO2 	 CO2 	 0.015423560256361124
AE loss	 13 	 12 	 O 	 O 	 4.447306703548059e-05
AE loss	 13 	 1 	 N2 	 N2 	 7.734577150037586e-05
AE loss	 13 	 0 	 H2 	 H2 	 4.557628611496774e-06
AE loss	 13 	 9 	 H 	 H 	 5.3900240251178776e-08
AE loss	 13 	 10 	 Li 	 Li 	 6.052355475145719e-06
AE loss	 13 	 8 	 F 	 F 	 3.24455463725853e-05
AE loss	 13 	 6 	 C 	 C 	 5.4779544249512847e-05
AE loss	 14 	 6 	 C 	 C 	 5.455619014311583e-05
AE loss	 14 	 5 	 Cl2 	 Cl2 	 8.028824922086228e-06
AE loss	 14 	 2 	 FLi 	 LiF 	 0.0087019515437877
AE loss	 14 	 4 	 CO2 	 CO2 	 0.015249120868303287
AE loss	 14 	 3 	 CHN 	 CNH 	 0.00804367777443857
AE loss	 14 	 0 	 H2 	 H2 	 4.653603820460277e-06
AE loss	 14 	 12 	 O 	 O 	 4.768420314706302e-05
AE loss	 14 	 9 	 H 	 H 	 5.725256446350769e-08
AE loss	 14 	 10 	 Li 	 Li 	 6.642502081084116e-06
AE loss	 14 	 1 	 N2 	 N2 	 7.159915992585094e-05
AE loss	 14 	 11 	 N 	 N 	 6.43306906916367e-05
AE loss	 14 	 8 	 F 	 F 	 2.7649832712127807e-05
AE loss	 14 	 7 	 Cl 	 Cl 	 3.052631798430033e-06
AE loss	 15 	 11 	 N 	 N 	 6.183040333867924e-05
AE loss	 15 	 7 	 Cl 	 Cl 	 5.214378148297547e-06
AE loss	 15 	 1 	 N2 	 N2 	 6.955570171280415e-05
AE loss	 15 	 0 	 H2 	 H2 	 4.611638149166958e-06
AE loss	 15 	 4 	 CO2 	 CO2 	 0.015041268678003988
AE loss	 15 	 2 	 FLi 	 LiF 	 0.0086090109669323
AE loss	 15 	 5 	 Cl2 	 Cl2 	 8.682299682147339e-06
AE loss	 15 	 10 	 Li 	 Li 	 7.173810722810017e-06
AE loss	 15 	 6 	 C 	 C 	 5.709149027214005e-05
AE loss	 15 	 3 	 CHN 	 CNH 	 0.007928835087717113
AE loss	 15 	 8 	 F 	 F 	 2.7507288190187564e-05
AE loss	 15 	 12 	 O 	 O 	 4.75404936190736e-05
AE loss	 15 	 9 	 H 	 H 	 6.376791868178301e-08
AE loss	 16 	 9 	 H 	 H 	 6.074885252463984e-08
