#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
44	 2 	 FLi 	 LiF 	 0.0072842682420710386 	 0.0072842682420710386
45	 23 	 HF2 	 HF2 	 0.002517893232820794 	 0.002517893232820794
45	 22 	 CH4O 	 CH4O 	 0.00024074135363273612 	 0.00024074135363273612
45	 20 	 CH 	 CH 	 2.5368483283515525e-06 	 2.5368483283515525e-06
45	 6 	 C2H2 	 C2H2 	 0.0001766208459188781 	 0.0001766208459188781
45	 4 	 CO2 	 CO2 	 0.007642650578135681 	 0.007642650578135681
45	 12 	 HN 	 NH 	 0.001076123328662029 	 0.001076123328662029
45	 16 	 CH2 	 CH2 	 0.002980640422517021 	 0.002980640422517021
45	 8 	 HLi 	 LiH 	 1.367769804324007e-08 	 1.367769804324007e-08
45	 21 	 HN2O 	 HON2 	 0.004275364475352041 	 0.004275364475352041
45	 9 	 Na2 	 Na2 	 1.5005545665360427e-08 	 1.5005545665360427e-08
45	 11 	 NO2 	 NO2 	 0.004514204385478578 	 0.004514204385478578
45	 5 	 F2 	 F2 	 0.00018369180870737124 	 0.00018369180870737124
45	 17 	 H2O 	 OH2 	 0.00023653677633324782 	 0.00023653677633324782
45	 1 	 N2 	 N2 	 1.6363296274561965e-08 	 1.6363296274561965e-08
45	 15 	 CH3 	 CH3 	 1.3872302071655321e-05 	 1.3872302071655321e-05
45	 25 	 Li 	 Li 	 3.60088838675355e-05 	 3.60088838675355e-05
45	 13 	 O3 	 O3 	 0.0038056663140274977 	 0.0038056663140274977
45	 14 	 N2O 	 N2O 	 0.003491191663474096 	 0.003491191663474096
45	 10 	 NO 	 NO 	 8.29003683815866e-05 	 8.29003683815866e-05
45	 0 	 H2 	 H2 	 6.334019078510491e-09 	 6.334019078510491e-09
45	 19 	 HO 	 OH 	 1.2799142167119122e-05 	 1.2799142167119122e-05
45	 3 	 CHN 	 CNH 	 0.004089601950051925 	 0.004089601950051925
45	 2 	 FLi 	 LiF 	 0.007250935487281523 	 0.007250935487281523
45	 18 	 H3N 	 NH3 	 0.0005364308547540087 	 0.0005364308547540087
45	 24 	 C 	 C 	 3.3921855404172425e-05 	 3.3921855404172425e-05
45	 7 	 CO 	 OC 	 0.0004135216853010721 	 0.0004135216853010721
46	 15 	 CH3 	 CH3 	 1.4106941880825754e-05 	 1.4106941880825754e-05
46	 9 	 Na2 	 Na2 	 1.4859337366619691e-08 	 1.4859337366619691e-08
46	 8 	 HLi 	 LiH 	 2.985777555090507e-09 	 2.985777555090507e-09
46	 2 	 FLi 	 LiF 	 0.007235852355605211 	 0.007235852355605211
46	 3 	 CHN 	 CNH 	 0.004076734511956654 	 0.004076734511956654
46	 10 	 NO 	 NO 	 8.307596842803034e-05 	 8.307596842803034e-05
46	 11 	 NO2 	 NO2 	 0.004530047932186933 	 0.004530047932186933
46	 23 	 HF2 	 HF2 	 0.002538328317741951 	 0.002538328317741951
46	 24 	 C 	 C 	 3.3991749353805726e-05 	 3.3991749353805726e-05
46	 16 	 CH2 	 CH2 	 0.002985019952413798 	 0.002985019952413798
46	 6 	 C2H2 	 C2H2 	 0.00017372919523239459 	 0.00017372919523239459
46	 22 	 CH4O 	 CH4O 	 0.00024218314284593157 	 0.00024218314284593157
46	 1 	 N2 	 N2 	 4.556552355887058e-08 	 4.556552355887058e-08
46	 19 	 HO 	 OH 	 1.294045717882124e-05 	 1.294045717882124e-05
46	 20 	 CH 	 CH 	 2.415860479275041e-06 	 2.415860479275041e-06
46	 4 	 CO2 	 CO2 	 0.007561034833021574 	 0.007561034833021574
46	 18 	 H3N 	 NH3 	 0.0005367586103198994 	 0.0005367586103198994
46	 7 	 CO 	 OC 	 0.00041094185140321617 	 0.00041094185140321617
46	 5 	 F2 	 F2 	 0.00018672642563034655 	 0.00018672642563034655
46	 17 	 H2O 	 OH2 	 0.00023765501041662817 	 0.00023765501041662817
46	 12 	 HN 	 NH 	 0.0010955328742420613 	 0.0010955328742420613
46	 25 	 Li 	 Li 	 3.754380388757503e-05 	 3.754380388757503e-05
46	 14 	 N2O 	 N2O 	 0.0035364462199152418 	 0.0035364462199152418
46	 21 	 HN2O 	 HON2 	 0.004323733582072137 	 0.004323733582072137
46	 0 	 H2 	 H2 	 1.68557569477805e-08 	 1.68557569477805e-08
46	 13 	 O3 	 O3 	 0.0038559496871263237 	 0.0038559496871263237
47	 13 	 O3 	 O3 	 0.0038591818828513755 	 0.0038591818828513755
47	 18 	 H3N 	 NH3 	 0.0005399262612863887 	 0.0005399262612863887
47	 4 	 CO2 	 CO2 	 0.007494879775420767 	 0.007494879775420767
47	 14 	 N2O 	 N2O 	 0.003556477881530733 	 0.003556477881530733
