#	Epoch	E	rho	ae	total
0	0.009397831599821	63.357978082546	52.79894307743086	39.93225133029928
1	0.009578485227878282	63.35345987999923	52.74514232303764	39.89633113476737
2	0.009451786553781321	63.37603075694127	52.58393298806908	39.79158204443515
3	0.012416002778933318	63.560895473301606	52.2861062228014	39.60976191990978
4	0.013042885009296774	63.53488646701155	52.13819059744691	39.5100817639193
5	0.011168766667961117	63.31059218272759	51.90054860577808	39.335194178389884
6	0.01027153291152176	63.20118396894933	51.76306458907286	39.23566567574645
7	0.010898369947273483	63.141249867605765	51.57203714299922	39.104862315681
8	0.011597205012540683	63.16271545279511	51.35811197601336	38.965596537911644
9	0.01223258385910333	63.130658328970824	51.20626672960357	38.862962327322684
10	0.013209993865370749	63.089827666935754	51.021908896279676	38.73824159478727
11	0.01334410601135853	62.974186576924936	50.8123593374378	38.59084277372344
12	0.01264299406486296	62.886294742872494	50.672563055873795	38.49161741444516
13	0.013185165015630051	62.85788135851124	50.45769006713066	38.34791116549885
14	0.013624680235033645	62.83038929360748	50.2921854207293	38.23680702316776
15	0.014201464811553266	62.78865368213438	50.144272805442995	38.1361372888547
16	0.014706782238051108	62.775650485378264	50.03749980572278	38.06489770170612
17	0.014589642045770766	62.679636327397375	49.75837712410993	37.87355506530665
18	0.015024920660080343	62.62606914087277	49.68008591883605	37.81771106343452
19	0.015801750406910217	62.6423940251399	49.48648455553288	37.691968943319125
20	0.016236609568928313	62.57811919034614	49.33087297561416	37.58450381589703
