AE loss	 0 	 0 	 H2 	 H2 	 2.3114543975124815e-06
AE loss	 0 	 1 	 H 	 H 	 8.086187006610271e-10
AE loss	 1 	 1 	 H 	 H 	 6.047039760870458e-10
AE loss	 1 	 0 	 H2 	 H2 	 2.306734961917161e-06
AE loss	 2 	 0 	 H2 	 H2 	 2.4005432590614455e-06
AE loss	 2 	 1 	 H 	 H 	 2.0601784858962977e-09
AE loss	 3 	 1 	 H 	 H 	 2.85129529929298e-09
AE loss	 3 	 0 	 H2 	 H2 	 2.5961649502648095e-06
AE loss	 4 	 1 	 H 	 H 	 5.5831437208014555e-09
AE loss	 4 	 0 	 H2 	 H2 	 2.7133204820284547e-06
AE loss	 5 	 1 	 H 	 H 	 7.936765731020845e-09
AE loss	 5 	 0 	 H2 	 H2 	 2.867333188939845e-06
AE loss	 6 	 0 	 H2 	 H2 	 2.8815353400506027e-06
AE loss	 6 	 1 	 H 	 H 	 1.3899425189841134e-08
AE loss	 7 	 0 	 H2 	 H2 	 2.9979697264983425e-06
AE loss	 7 	 1 	 H 	 H 	 2.0604900443182272e-08
AE loss	 8 	 1 	 H 	 H 	 2.1793233940096464e-08
AE loss	 8 	 0 	 H2 	 H2 	 3.10438647006756e-06
AE loss	 9 	 0 	 H2 	 H2 	 3.108274550338091e-06
AE loss	 9 	 1 	 H 	 H 	 3.175876728589612e-08
AE loss	 10 	 0 	 H2 	 H2 	 3.1687299181428184e-06
AE loss	 10 	 1 	 H 	 H 	 4.024211601652423e-08
AE loss	 11 	 1 	 H 	 H 	 4.34273773520879e-08
AE loss	 11 	 0 	 H2 	 H2 	 3.2287117635476776e-06
AE loss	 12 	 0 	 H2 	 H2 	 3.2280843865743976e-06
AE loss	 12 	 1 	 H 	 H 	 5.701313987545093e-08
AE loss	 13 	 0 	 H2 	 H2 	 3.197525873794315e-06
AE loss	 13 	 1 	 H 	 H 	 6.790985666515299e-08
AE loss	 14 	 1 	 H 	 H 	 7.187982201102388e-08
AE loss	 14 	 0 	 H2 	 H2 	 3.1671645564410375e-06
AE loss	 15 	 0 	 H2 	 H2 	 3.136020682753884e-06
AE loss	 15 	 1 	 H 	 H 	 9.057278917320109e-08
AE loss	 16 	 0 	 H2 	 H2 	 3.112908281773896e-06
AE loss	 16 	 1 	 H 	 H 	 1.054428983306593e-07
AE loss	 17 	 0 	 H2 	 H2 	 2.9991645113989412e-06
AE loss	 17 	 1 	 H 	 H 	 1.1726498539616555e-07
AE loss	 18 	 0 	 H2 	 H2 	 2.9251450617441846e-06
AE loss	 18 	 1 	 H 	 H 	 1.3514051568542917e-07
AE loss	 19 	 0 	 H2 	 H2 	 2.8695859546426474e-06
AE loss	 19 	 1 	 H 	 H 	 1.510826908698389e-07
AE loss	 20 	 1 	 H 	 H 	 1.5618512817215604e-07
AE loss	 20 	 0 	 H2 	 H2 	 2.719144078501423e-06
