#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
77	 15 	 CH3 	 CH3 	 1.4585066925330604e-07 	 1.4585066925330604e-07
77	 9 	 Na2 	 Na2 	 2.958923793543516e-06 	 2.958923793543516e-06
77	 8 	 HLi 	 LiH 	 9.353801870351164e-06 	 9.353801870351164e-06
77	 22 	 CH4O 	 CH4O 	 0.00012694913172186002 	 0.00012694913172186002
77	 23 	 HF2 	 HF2 	 0.0017857641463846978 	 0.0017857641463846978
77	 14 	 N2O 	 N2O 	 0.0035129544928088224 	 0.0035129544928088224
77	 24 	 C 	 C 	 4.8775185390329674e-05 	 4.8775185390329674e-05
77	 1 	 N2 	 N2 	 5.744657363228531e-06 	 5.744657363228531e-06
77	 7 	 CO 	 OC 	 0.00039072348801863054 	 0.00039072348801863054
77	 17 	 H2O 	 OH2 	 0.0002604839225707552 	 0.0002604839225707552
77	 20 	 CH 	 CH 	 5.01881370987032e-09 	 5.01881370987032e-09
78	 15 	 CH3 	 CH3 	 1.2893416604052028e-07 	 1.2893416604052028e-07
78	 8 	 HLi 	 LiH 	 9.397158629213958e-06 	 9.397158629213958e-06
78	 4 	 CO2 	 CO2 	 0.008031940624192421 	 0.008031940624192421
78	 7 	 CO 	 OC 	 0.000390324487055865 	 0.000390324487055865
78	 21 	 HN2O 	 HON2 	 0.0029939533635557334 	 0.0029939533635557334
78	 24 	 C 	 C 	 4.8672759180073316e-05 	 4.8672759180073316e-05
78	 2 	 FLi 	 LiF 	 0.00744377638091933 	 0.00744377638091933
78	 22 	 CH4O 	 CH4O 	 0.00012694918741729895 	 0.00012694918741729895
78	 19 	 HO 	 OH 	 1.264127334690628e-05 	 1.264127334690628e-05
78	 18 	 H3N 	 NH3 	 0.0005491598189741104 	 0.0005491598189741104
78	 0 	 H2 	 H2 	 5.013069746068828e-06 	 5.013069746068828e-06
78	 1 	 N2 	 N2 	 5.899598507062495e-06 	 5.899598507062495e-06
78	 17 	 H2O 	 OH2 	 0.000259982339905404 	 0.000259982339905404
78	 23 	 HF2 	 HF2 	 0.001785784967461678 	 0.001785784967461678
78	 9 	 Na2 	 Na2 	 2.9738102425945493e-06 	 2.9738102425945493e-06
78	 20 	 CH 	 CH 	 5.258013137921011e-09 	 5.258013137921011e-09
78	 25 	 Li 	 Li 	 5.726149796336157e-06 	 5.726149796336157e-06
78	 14 	 N2O 	 N2O 	 0.0035143066368041806 	 0.0035143066368041806
78	 11 	 NO2 	 NO2 	 0.0035063078278262825 	 0.0035063078278262825
78	 13 	 O3 	 O3 	 0.002697668610986872 	 0.002697668610986872
78	 6 	 C2H2 	 C2H2 	 5.3180522075307596e-05 	 5.3180522075307596e-05
78	 16 	 CH2 	 CH2 	 0.0029014380387023422 	 0.0029014380387023422
78	 12 	 HN 	 NH 	 0.0008852245638356029 	 0.0008852245638356029
78	 3 	 CHN 	 CNH 	 0.0028856601388869444 	 0.0028856601388869444
78	 10 	 NO 	 NO 	 1.947605173180395e-05 	 1.947605173180395e-05
78	 5 	 F2 	 F2 	 0.00015009593264622915 	 0.00015009593264622915
79	 12 	 HN 	 NH 	 0.0008852787459566623 	 0.0008852787459566623
79	 25 	 Li 	 Li 	 6.063153203529421e-06 	 6.063153203529421e-06
79	 10 	 NO 	 NO 	 1.9394636084541407e-05 	 1.9394636084541407e-05
79	 11 	 NO2 	 NO2 	 0.003506718299310024 	 0.003506718299310024
79	 6 	 C2H2 	 C2H2 	 5.178586968028892e-05 	 5.178586968028892e-05
79	 14 	 N2O 	 N2O 	 0.003515019176326841 	 0.003515019176326841
79	 8 	 HLi 	 LiH 	 9.463087114753278e-06 	 9.463087114753278e-06
79	 1 	 N2 	 N2 	 5.538846993184774e-06 	 5.538846993184774e-06
79	 15 	 CH3 	 CH3 	 1.294517808028908e-07 	 1.294517808028908e-07
79	 21 	 HN2O 	 HON2 	 0.0029949210589039236 	 0.0029949210589039236
79	 7 	 CO 	 OC 	 0.0003898740202304356 	 0.0003898740202304356
79	 9 	 Na2 	 Na2 	 2.9750093007125997e-06 	 2.9750093007125997e-06
79	 3 	 CHN 	 CNH 	 0.0028851666054731913 	 0.0028851666054731913
79	 13 	 O3 	 O3 	 0.0026971142616738462 	 0.0026971142616738462
79	 16 	 CH2 	 CH2 	 0.002900998204137004 	 0.002900998204137004
79	 2 	 FLi 	 LiF 	 0.007442874703163226 	 0.007442874703163226
79	 5 	 F2 	 F2 	 0.00015009728128614967 	 0.00015009728128614967
79	 24 	 C 	 C 	 4.873337032167856e-05 	 4.873337032167856e-05
79	 4 	 CO2 	 CO2 	 0.00803263261507074 	 0.00803263261507074
79	 19 	 HO 	 OH 	 1.2666546267272731e-05 	 1.2666546267272731e-05
79	 0 	 H2 	 H2 	 4.9268211795316e-06 	 4.9268211795316e-06
79	 22 	 CH4O 	 CH4O 	 0.00012701375391863855 	 0.00012701375391863855
79	 18 	 H3N 	 NH3 	 0.0005492830818720802 	 0.0005492830818720802
79	 23 	 HF2 	 HF2 	 0.0017860392402328348 	 0.0017860392402328348
79	 20 	 CH 	 CH 	 4.712055573316282e-09 	 4.712055573316282e-09
79	 17 	 H2O 	 OH2 	 0.00026055544953718 	 0.00026055544953718
80	 14 	 N2O 	 N2O 	 0.003517327791010862 	 0.003517327791010862
80	 3 	 CHN 	 CNH 	 0.0028849586857509777 	 0.0028849586857509777
80	 11 	 NO2 	 NO2 	 0.0035062658878688875 	 0.0035062658878688875
80	 1 	 N2 	 N2 	 5.437024095013308e-06 	 5.437024095013308e-06
80	 23 	 HF2 	 HF2 	 0.0017860484769663763 	 0.0017860484769663763
80	 13 	 O3 	 O3 	 0.00270090607167342 	 0.00270090607167342
80	 22 	 CH4O 	 CH4O 	 0.0001270155409403963 	 0.0001270155409403963
80	 17 	 H2O 	 OH2 	 0.0002604602714864085 	 0.0002604602714864085
80	 6 	 C2H2 	 C2H2 	 5.315481747269919e-05 	 5.315481747269919e-05
80	 4 	 CO2 	 CO2 	 0.0080284787175827 	 0.0080284787175827
80	 24 	 C 	 C 	 4.859849680229268e-05 	 4.859849680229268e-05
80	 10 	 NO 	 NO 	 1.9503865807396886e-05 	 1.9503865807396886e-05
80	 0 	 H2 	 H2 	 5.372993944415549e-06 	 5.372993944415549e-06
80	 2 	 FLi 	 LiF 	 0.007436110442417173 	 0.007436110442417173
80	 5 	 F2 	 F2 	 0.00015002466785988975 	 0.00015002466785988975
80	 18 	 H3N 	 NH3 	 0.0005499456215129797 	 0.0005499456215129797
80	 16 	 CH2 	 CH2 	 0.0029022797333721133 	 0.0029022797333721133
80	 9 	 Na2 	 Na2 	 2.9832120292363095e-06 	 2.9832120292363095e-06
80	 21 	 HN2O 	 HON2 	 0.002995091024050851 	 0.002995091024050851
80	 12 	 HN 	 NH 	 0.0008851314264940563 	 0.0008851314264940563
80	 20 	 CH 	 CH 	 4.5804906822600956e-09 	 4.5804906822600956e-09
80	 7 	 CO 	 OC 	 0.0003901246703054558 	 0.0003901246703054558
80	 8 	 HLi 	 LiH 	 9.412198553572144e-06 	 9.412198553572144e-06
80	 15 	 CH3 	 CH3 	 1.474034527003356e-07 	 1.474034527003356e-07
80	 19 	 HO 	 OH 	 1.2621709285821013e-05 	 1.2621709285821013e-05
80	 25 	 Li 	 Li 	 5.0843533477732854e-06 	 5.0843533477732854e-06
81	 4 	 CO2 	 CO2 	 0.00803322277787729 	 0.00803322277787729
81	 5 	 F2 	 F2 	 0.00015008890828519035 	 0.00015008890828519035
81	 12 	 HN 	 NH 	 0.0008853317697281235 	 0.0008853317697281235
81	 3 	 CHN 	 CNH 	 0.002884886745564553 	 0.002884886745564553
81	 23 	 HF2 	 HF2 	 0.0017861788654765767 	 0.0017861788654765767
81	 25 	 Li 	 Li 	 6.108563550430048e-06 	 6.108563550430048e-06
81	 9 	 Na2 	 Na2 	 2.964433635473024e-06 	 2.964433635473024e-06
81	 8 	 HLi 	 LiH 	 9.488405319126133e-06 	 9.488405319126133e-06
81	 7 	 CO 	 OC 	 0.00039000117420498947 	 0.00039000117420498947
81	 14 	 N2O 	 N2O 	 0.003515806946385227 	 0.003515806946385227
81	 13 	 O3 	 O3 	 0.00269818972740782 	 0.00269818972740782
81	 21 	 HN2O 	 HON2 	 0.0029956567443952644 	 0.0029956567443952644
81	 0 	 H2 	 H2 	 5.378480757466144e-06 	 5.378480757466144e-06
81	 20 	 CH 	 CH 	 4.439581737556872e-09 	 4.439581737556872e-09
81	 6 	 C2H2 	 C2H2 	 5.3293329675326385e-05 	 5.3293329675326385e-05
81	 24 	 C 	 C 	 4.8700271427910344e-05 	 4.8700271427910344e-05
81	 15 	 CH3 	 CH3 	 1.3966291195656722e-07 	 1.3966291195656722e-07
81	 2 	 FLi 	 LiF 	 0.007439854338230677 	 0.007439854338230677
81	 17 	 H2O 	 OH2 	 0.0002606564145259901 	 0.0002606564145259901
81	 10 	 NO 	 NO 	 1.9499126483990295e-05 	 1.9499126483990295e-05
81	 22 	 CH4O 	 CH4O 	 0.00012704977856467975 	 0.00012704977856467975
81	 18 	 H3N 	 NH3 	 0.00055054570073434 	 0.00055054570073434
81	 1 	 N2 	 N2 	 5.831092882762531e-06 	 5.831092882762531e-06
81	 19 	 HO 	 OH 	 1.2611620040873454e-05 	 1.2611620040873454e-05
81	 11 	 NO2 	 NO2 	 0.0035094344898141355 	 0.0035094344898141355
81	 16 	 CH2 	 CH2 	 0.002902168894304381 	 0.002902168894304381
82	 22 	 CH4O 	 CH4O 	 0.00012704691116627862 	 0.00012704691116627862
82	 11 	 NO2 	 NO2 	 0.003506013876080146 	 0.003506013876080146
82	 15 	 CH3 	 CH3 	 1.3046967881880184e-07 	 1.3046967881880184e-07
82	 21 	 HN2O 	 HON2 	 0.0029955181324482945 	 0.0029955181324482945
82	 8 	 HLi 	 LiH 	 9.451051237994612e-06 	 9.451051237994612e-06
