#	Epoch	E	rho	ae	total
0	0.016208346580972574	303.7865370530791	46.35869952673054	75.32654561429247
1	0.01444848456835945	303.6953967743398	46.0424358671476	75.20339151613854
2	0.02387432731932531	303.3572231787481	45.63188244515054	74.98856764791266
3	0.018015610241893895	303.3188404543022	45.10332532657998	74.80475332933055
4	0.021031316407919567	303.1778666299095	44.72517087820997	74.64863806012605
5	0.01944295790370048	303.15022021804134	44.265791755722695	74.48857896062549
6	0.021740781766100028	302.99656105887647	44.01125417260238	74.35560298045482
7	0.025022621301777383	302.89791564474	43.6613291277591	74.20042591150916
8	0.02283038418820321	302.8947286188988	43.297446700078254	74.07717128412094
9	0.028300695965048778	302.7208179249676	42.99081641866438	73.93465362346915
10	0.025894102328292715	302.6951316283247	42.73258575449327	73.82205948455982
11	0.022174879626602754	302.6882642338433	42.367768724819356	73.68706399617241
12	0.026644127426115605	302.56588433448394	42.199454211681406	73.5746057721612
13	0.02548819493719159	302.54240629063185	41.92051478749475	73.47064092713018
14	0.02484718016744081	302.4980103921308	41.61628457756158	73.3632977993498
15	0.03290321956881055	302.37762902039725	41.49864586929367	73.27338795032736
16	0.026609742715527167	302.4171054091984	41.347899863439814	73.19124170906477
17	0.025011151373295383	302.35715233078884	41.012989748823756	73.07681171778522
18	0.029913247396596555	302.28437748232074	40.98459538393893	73.00672161436506
19	0.027991081056649773	302.25984941743576	40.71625295479442	72.90594396595736
20	0.03028133472402073	302.21951979512033	40.57743528363821	72.8203300294813
21	0.026465991869873053	302.21324426041724	40.37906063578871	72.74431686172885
22	0.027988641799619414	302.16740325193047	40.24024294540197	72.66130018816024
23	0.03065824298729075	302.1034617605994	40.120535083401805	72.58627552650664
24	0.027940495066204926	302.0939867936647	39.99004340890681	72.51603374326228
25	0.029508751739718803	302.07889951327434	39.84924333800267	72.45095691022395
26	0.03101677933988148	302.0375041349345	39.731006358826185	72.37553672385108
27	0.02671174372828289	302.0473206529412	39.52159816740978	72.29682819970887
28	0.028140694533893063	301.9915634424801	39.40909155638119	72.22153582997306
29	0.029953414413909082	301.91862324586975	39.3781400338331	72.17027927234953
30	0.034510405264830506	301.95200700945963	39.43959209079883	72.15395529307351
31	0.02613405248350057	302.0716009785003	38.98371896211004	72.07876854918796
32	0.02552163515472147	301.9611293298226	38.954648106136275	71.99940467554278
33	0.02829678038870172	301.96228884000925	38.8695434757021	71.93779316179808
34	0.02485030504696465	301.9333143952937	38.61518394586593	71.85485092746949
35	0.028499098206378973	301.84740931347744	38.58000541668505	71.79516649170725
36	0.028811362846531158	301.8342932522706	38.48937092770898	71.74073173670841
