AE loss	 2 	 26 	 F 	 F 	 4.3922045960687944e-05
AE loss	 2 	 37 	 Li 	 Li 	 1.7944769609546007e-08
AE loss	 2 	 25 	 Cl 	 Cl 	 2.614117053484355e-06
AE loss	 2 	 13 	 NO 	 NO 	 2.715290137125055e-06
AE loss	 2 	 14 	 NO2 	 NO2 	 0.0003751263322975016
AE loss	 2 	 11 	 HLi 	 LiH 	 4.476985664169158e-06
AE loss	 3 	 11 	 HLi 	 LiH 	 4.451320177806472e-06
AE loss	 3 	 20 	 H2O 	 OH2 	 2.404836673290593e-05
AE loss	 3 	 25 	 Cl 	 Cl 	 3.7802254680762837e-06
AE loss	 3 	 2 	 FLi 	 LiF 	 0.00928447535510441
AE loss	 3 	 13 	 NO 	 NO 	 2.551520492981447e-06
AE loss	 3 	 22 	 HO 	 OH 	 2.413621096869589e-06
AE loss	 3 	 23 	 CH 	 CH 	 2.6589925055900937e-06
AE loss	 3 	 9 	 CO 	 OC 	 0.001280268304297534
AE loss	 3 	 8 	 C2H2 	 C2H2 	 0.0007669967060702327
AE loss	 3 	 31 	 O 	 O 	 3.4235481582088166e-05
AE loss	 3 	 36 	 C 	 C 	 5.757331266678259e-05
AE loss	 3 	 27 	 H 	 H 	 2.2870540037827988e-08
AE loss	 3 	 0 	 H2 	 H2 	 3.666047052325628e-06
AE loss	 3 	 12 	 Na2 	 Na2 	 2.563609076332719e-06
AE loss	 3 	 30 	 Na 	 Na 	 1.9853947860024388e-05
AE loss	 3 	 37 	 Li 	 Li 	 1.4189202676184343e-08
AE loss	 3 	 29 	 N 	 N 	 3.5134405836110695e-05
AE loss	 3 	 15 	 HN 	 NH 	 1.4112647478861128e-05
AE loss	 3 	 4 	 CO2 	 CO2 	 0.01704893637588036
AE loss	 3 	 35 	 HF2 	 HF2 	 0.0007715567093590493
AE loss	 3 	 18 	 CH3 	 CH3 	 7.029792658216417e-05
AE loss	 3 	 28 	 Li 	 Li 	 1.7259183193379064e-06
AE loss	 3 	 17 	 N2O 	 N2O 	 0.00010619701170238475
AE loss	 3 	 24 	 C 	 C 	 2.8608046180408345e-05
AE loss	 3 	 19 	 CH2 	 CH2 	 0.00011780673972009224
AE loss	 3 	 26 	 F 	 F 	 2.1309456554475258e-05
AE loss	 3 	 14 	 NO2 	 NO2 	 0.0004443970729736715
AE loss	 3 	 21 	 H3N 	 NH3 	 1.2445629455483539e-05
AE loss	 3 	 1 	 N2 	 N2 	 0.0001267904916536928
AE loss	 3 	 6 	 F2 	 F2 	 3.7399137248829843e-07
AE loss	 3 	 3 	 CHN 	 CNH 	 0.009087953837265166
AE loss	 3 	 16 	 O3 	 O3 	 9.365498220352517e-05
AE loss	 4 	 14 	 NO2 	 NO2 	 0.0004588945716221625
AE loss	 4 	 27 	 H 	 H 	 2.346068512655875e-08
AE loss	 4 	 18 	 CH3 	 CH3 	 7.335183272540517e-05
AE loss	 4 	 4 	 CO2 	 CO2 	 0.016773250453938727
AE loss	 4 	 6 	 F2 	 F2 	 5.049209588659161e-07
AE loss	 4 	 8 	 C2H2 	 C2H2 	 0.000713916410881734
AE loss	 4 	 1 	 N2 	 N2 	 0.00012014815692803639
AE loss	 4 	 19 	 CH2 	 CH2 	 0.00011928890551429831
AE loss	 4 	 0 	 H2 	 H2 	 4.436518355554221e-06
AE loss	 4 	 37 	 Li 	 Li 	 9.742117714873055e-09
AE loss	 4 	 24 	 C 	 C 	 3.549714747986064e-05
AE loss	 4 	 16 	 O3 	 O3 	 0.00011982244955855503
AE loss	 4 	 28 	 Li 	 Li 	 3.142720572276723e-06
AE loss	 4 	 15 	 HN 	 NH 	 1.4879931065732368e-05
AE loss	 4 	 11 	 HLi 	 LiH 	 5.007716310266515e-06
AE loss	 4 	 23 	 CH 	 CH 	 2.6917440015782167e-06
AE loss	 4 	 9 	 CO 	 OC 	 0.00121427040307187
AE loss	 4 	 13 	 NO 	 NO 	 4.778267181067849e-07
AE loss	 4 	 25 	 Cl 	 Cl 	 4.695084303000261e-06
AE loss	 4 	 21 	 H3N 	 NH3 	 1.1588940909651045e-05
AE loss	 4 	 29 	 N 	 N 	 4.802635416947103e-05
AE loss	 4 	 20 	 H2O 	 OH2 	 1.575485876265863e-05
AE loss	 4 	 17 	 N2O 	 N2O 	 0.00017208126615522016
AE loss	 4 	 26 	 F 	 F 	 3.482858530316046e-05
AE loss	 4 	 3 	 CHN 	 CNH 	 0.008890051473393907
AE loss	 4 	 22 	 HO 	 OH 	 2.8924383062901125e-06
AE loss	 4 	 12 	 Na2 	 Na2 	 2.753742592534602e-06
AE loss	 4 	 31 	 O 	 O 	 4.8243537017852095e-05
AE loss	 4 	 35 	 HF2 	 HF2 	 0.0008288536067920139
AE loss	 4 	 36 	 C 	 C 	 5.7526196918647164e-05
AE loss	 4 	 30 	 Na 	 Na 	 3.5356102217759835e-05
AE loss	 4 	 2 	 FLi 	 LiF 	 0.009092395792005804
AE loss	 5 	 15 	 HN 	 NH 	 1.566470795742165e-05
AE loss	 5 	 12 	 Na2 	 Na2 	 2.6592654997280587e-06
AE loss	 5 	 6 	 F2 	 F2 	 1.2112453255538451e-06
AE loss	 5 	 23 	 CH 	 CH 	 2.518622333902148e-06
AE loss	 5 	 3 	 CHN 	 CNH 	 0.008777426516688908
AE loss	 5 	 19 	 CH2 	 CH2 	 0.00012345316054982036
AE loss	 5 	 1 	 N2 	 N2 	 0.0001060097206313106
AE loss	 5 	 11 	 HLi 	 LiH 	 4.491409102009017e-06
AE loss	 5 	 26 	 F 	 F 	 3.726338191678964e-05
AE loss	 5 	 30 	 Na 	 Na 	 2.9114559950573945e-05
AE loss	 5 	 25 	 Cl 	 Cl 	 7.80197504393507e-07
AE loss	 5 	 35 	 HF2 	 HF2 	 0.0008279645811467127
AE loss	 5 	 17 	 N2O 	 N2O 	 0.00019195312730030986
AE loss	 5 	 21 	 H3N 	 NH3 	 7.023758835517831e-06
AE loss	 5 	 0 	 H2 	 H2 	 3.6576195618381286e-06
AE loss	 5 	 37 	 Li 	 Li 	 1.2487253570474482e-08
AE loss	 5 	 9 	 CO 	 OC 	 0.001187582734567451
AE loss	 5 	 24 	 C 	 C 	 3.113873934902073e-05
AE loss	 5 	 13 	 NO 	 NO 	 3.046073913497038e-07
AE loss	 5 	 8 	 C2H2 	 C2H2 	 0.0006499989032894059
AE loss	 5 	 27 	 H 	 H 	 3.399520020142105e-08
AE loss	 5 	 16 	 O3 	 O3 	 0.00014856120597861087
AE loss	 5 	 28 	 Li 	 Li 	 2.192423060982238e-06
AE loss	 5 	 31 	 O 	 O 	 2.112444319534925e-05
AE loss	 5 	 20 	 H2O 	 OH2 	 8.90756216570392e-06
AE loss	 5 	 4 	 CO2 	 CO2 	 0.016287529615515002
AE loss	 5 	 2 	 FLi 	 LiF 	 0.008974753486475194
AE loss	 5 	 14 	 NO2 	 NO2 	 0.0005949252227446186
AE loss	 5 	 29 	 N 	 N 	 2.8144643876481416e-05
AE loss	 5 	 18 	 CH3 	 CH3 	 9.457695022473503e-05
AE loss	 5 	 22 	 HO 	 OH 	 4.049524250451936e-06
AE loss	 5 	 36 	 C 	 C 	 6.116764368343128e-05
AE loss	 6 	 6 	 F2 	 F2 	 1.7678162134714815e-06
AE loss	 6 	 1 	 N2 	 N2 	 9.568131428273901e-05
AE loss	 6 	 20 	 H2O 	 OH2 	 7.207871458341424e-06
AE loss	 6 	 18 	 CH3 	 CH3 	 9.45591655796399e-05
AE loss	 6 	 26 	 F 	 F 	 1.0718145283879865e-05
AE loss	 6 	 19 	 CH2 	 CH2 	 0.0001398322868972926
AE loss	 6 	 12 	 Na2 	 Na2 	 2.468673514360689e-06
AE loss	 6 	 14 	 NO2 	 NO2 	 0.0006523499472823867
AE loss	 6 	 4 	 CO2 	 CO2 	 0.016009208929340858
AE loss	 6 	 8 	 C2H2 	 C2H2 	 0.0006100273995850997
AE loss	 6 	 25 	 Cl 	 Cl 	 4.047772293110437e-05
AE loss	 6 	 3 	 CHN 	 CNH 	 0.008566828580756075
AE loss	 6 	 11 	 HLi 	 LiH 	 4.5298465330053485e-06
AE loss	 6 	 35 	 HF2 	 HF2 	 0.0008556076584961348
AE loss	 6 	 24 	 C 	 C 	 4.582506611200016e-05
AE loss	 6 	 9 	 CO 	 OC 	 0.0011360472877646108
AE loss	 6 	 36 	 C 	 C 	 5.839954533595644e-05
AE loss	 6 	 23 	 CH 	 CH 	 2.347299550916508e-06
AE loss	 6 	 16 	 O3 	 O3 	 0.00022713866670267966
AE loss	 6 	 30 	 Na 	 Na 	 4.688968803614274e-05
AE loss	 6 	 21 	 H3N 	 NH3 	 5.497604606569061e-06
AE loss	 6 	 31 	 O 	 O 	 6.284380767229476e-05
AE loss	 6 	 29 	 N 	 N 	 6.836241601312833e-05
AE loss	 6 	 15 	 HN 	 NH 	 1.884967188438707e-05
AE loss	 6 	 27 	 H 	 H 	 6.698201487583493e-08
AE loss	 6 	 0 	 H2 	 H2 	 4.6827482303894724e-06
AE loss	 6 	 2 	 FLi 	 LiF 	 0.008857616116557106
AE loss	 6 	 17 	 N2O 	 N2O 	 0.00031216829570899596
AE loss	 6 	 22 	 HO 	 OH 	 3.775506581379271e-06
AE loss	 6 	 13 	 NO 	 NO 	 1.137892229889107e-07
AE loss	 6 	 28 	 Li 	 Li 	 5.9548776747934815e-06
AE loss	 6 	 37 	 Li 	 Li 	 1.4183704312818184e-08
AE loss	 7 	 2 	 FLi 	 LiF 	 0.008832176497627341
AE loss	 7 	 31 	 O 	 O 	 5.104174600906759e-05
AE loss	 7 	 4 	 CO2 	 CO2 	 0.015588898897873585
AE loss	 7 	 1 	 N2 	 N2 	 8.071659441107177e-05
AE loss	 7 	 9 	 CO 	 OC 	 0.0011084335664565603
AE loss	 7 	 21 	 H3N 	 NH3 	 2.995159183033326e-06
AE loss	 7 	 36 	 C 	 C 	 5.9209505714858236e-05
AE loss	 7 	 29 	 N 	 N 	 6.333835476982462e-05
AE loss	 7 	 23 	 CH 	 CH 	 2.2586736190639033e-06
AE loss	 7 	 11 	 HLi 	 LiH 	 4.846627926010161e-06
AE loss	 7 	 28 	 Li 	 Li 	 7.361490646080422e-06
AE loss	 7 	 20 	 H2O 	 OH2 	 5.648654595420439e-06
AE loss	 7 	 24 	 C 	 C 	 5.62113681928797e-05
AE loss	 7 	 27 	 H 	 H 	 7.409677267824812e-08
AE loss	 7 	 17 	 N2O 	 N2O 	 0.00037621914412121
AE loss	 7 	 35 	 HF2 	 HF2 	 0.0008855149705447384
AE loss	 7 	 14 	 NO2 	 NO2 	 0.0008353203974323282
AE loss	 7 	 37 	 Li 	 Li 	 1.3677541145240497e-08
AE loss	 7 	 8 	 C2H2 	 C2H2 	 0.000555051255427115
AE loss	 7 	 22 	 HO 	 OH 	 4.269038224093558e-06
AE loss	 7 	 6 	 F2 	 F2 	 4.405854285224306e-06
AE loss	 7 	 19 	 CH2 	 CH2 	 0.00014607247383038838
AE loss	 7 	 3 	 CHN 	 CNH 	 0.008338499222516562
AE loss	 7 	 18 	 CH3 	 CH3 	 9.703204040477695e-05
AE loss	 7 	 0 	 H2 	 H2 	 5.118125987685386e-06
AE loss	 7 	 12 	 Na2 	 Na2 	 2.6216029866356606e-06
AE loss	 7 	 15 	 HN 	 NH 	 2.099653902522585e-05
AE loss	 7 	 13 	 NO 	 NO 	 6.946030780996684e-07
AE loss	 7 	 30 	 Na 	 Na 	 4.4235799897451884e-05
AE loss	 7 	 16 	 O3 	 O3 	 0.0003072893671803546
AE loss	 7 	 26 	 F 	 F 	 5.003885621062628e-05
AE loss	 7 	 25 	 Cl 	 Cl 	 8.476289783578508e-06
AE loss	 8 	 30 	 Na 	 Na 	 3.163692070607619e-05
AE loss	 8 	 35 	 HF2 	 HF2 	 0.0008916160718188941
AE loss	 8 	 1 	 N2 	 N2 	 6.996116490631993e-05
AE loss	 8 	 26 	 F 	 F 	 2.5832104807969364e-05
AE loss	 8 	 17 	 N2O 	 N2O 	 0.00040767167064763684
AE loss	 8 	 16 	 O3 	 O3 	 0.0003057582781663909
AE loss	 8 	 6 	 F2 	 F2 	 4.68601679124682e-06
AE loss	 8 	 31 	 O 	 O 	 2.589421898884568e-05
AE loss	 8 	 13 	 NO 	 NO 	 7.952857096235977e-07
AE loss	 8 	 11 	 HLi 	 LiH 	 4.029805832416541e-06
AE loss	 8 	 12 	 Na2 	 Na2 	 2.4119247211283703e-06
AE loss	 8 	 4 	 CO2 	 CO2 	 0.015260251963927505
AE loss	 8 	 19 	 CH2 	 CH2 	 0.0001631617015211098
AE loss	 8 	 2 	 FLi 	 LiF 	 0.008637882988387243
AE loss	 8 	 23 	 CH 	 CH 	 1.7211511899787447e-06
AE loss	 8 	 18 	 CH3 	 CH3 	 0.0001219650310032896
AE loss	 8 	 24 	 C 	 C 	 3.329995223291629e-05
AE loss	 8 	 9 	 CO 	 OC 	 0.001058462965585669
AE loss	 8 	 27 	 H 	 H 	 5.763205136627423e-08
AE loss	 8 	 8 	 C2H2 	 C2H2 	 0.0005048533494992852
AE loss	 8 	 0 	 H2 	 H2 	 4.4989120733351535e-06
AE loss	 8 	 28 	 Li 	 Li 	 5.6591489013185284e-06
AE loss	 8 	 25 	 Cl 	 Cl 	 0.00021019104175861117
AE loss	 8 	 20 	 H2O 	 OH2 	 6.430257184504791e-07
AE loss	 8 	 14 	 NO2 	 NO2 	 0.0009427788783489255
AE loss	 8 	 36 	 C 	 C 	 6.362314133455526e-05
AE loss	 8 	 29 	 N 	 N 	 4.4701614956470686e-05
AE loss	 8 	 22 	 HO 	 OH 	 5.219417431974929e-06
