#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
67	 9 	 Na2 	 Na2 	 1.2514043442471978e-05 	 1.2514043442471978e-05
67	 0 	 H2 	 H2 	 2.0264493321643486e-07 	 2.0264493321643486e-07
67	 7 	 CO 	 OC 	 0.00036998711348989934 	 0.00036998711348989934
67	 25 	 Li 	 Li 	 3.922813723910506e-05 	 3.922813723910506e-05
67	 1 	 N2 	 N2 	 1.0342584465719787e-06 	 1.0342584465719787e-06
67	 24 	 C 	 C 	 2.597326245062591e-05 	 2.597326245062591e-05
67	 15 	 CH3 	 CH3 	 3.156718715705062e-05 	 3.156718715705062e-05
67	 2 	 FLi 	 LiF 	 0.0071451080185626365 	 0.0071451080185626365
67	 12 	 HN 	 NH 	 0.0011341027432738074 	 0.0011341027432738074
67	 17 	 H2O 	 OH2 	 0.00024514434497856767 	 0.00024514434497856767
67	 6 	 C2H2 	 C2H2 	 0.00015863741456007135 	 0.00015863741456007135
67	 3 	 CHN 	 CNH 	 0.0036222051923745875 	 0.0036222051923745875
67	 14 	 N2O 	 N2O 	 0.0036714844301373216 	 0.0036714844301373216
67	 20 	 CH 	 CH 	 3.333519906182875e-06 	 3.333519906182875e-06
67	 18 	 H3N 	 NH3 	 0.0006260373889196661 	 0.0006260373889196661
67	 10 	 NO 	 NO 	 0.00010302989226542629 	 0.00010302989226542629
67	 22 	 CH4O 	 CH4O 	 0.0002734367239513185 	 0.0002734367239513185
67	 4 	 CO2 	 CO2 	 0.006881691891171692 	 0.006881691891171692
67	 11 	 NO2 	 NO2 	 0.004906549764374288 	 0.004906549764374288
67	 13 	 O3 	 O3 	 0.004487265098899777 	 0.004487265098899777
67	 21 	 HN2O 	 HON2 	 0.0046486002632967855 	 0.0046486002632967855
67	 16 	 CH2 	 CH2 	 0.0032237900707880844 	 0.0032237900707880844
67	 8 	 HLi 	 LiH 	 6.821428497687881e-07 	 6.821428497687881e-07
67	 23 	 HF2 	 HF2 	 0.002937280121979481 	 0.002937280121979481
68	 6 	 C2H2 	 C2H2 	 0.00015300881715446337 	 0.00015300881715446337
68	 20 	 CH 	 CH 	 3.362460681005964e-06 	 3.362460681005964e-06
68	 18 	 H3N 	 NH3 	 0.0006297480146839381 	 0.0006297480146839381
68	 21 	 HN2O 	 HON2 	 0.004660315086896746 	 0.004660315086896746
68	 22 	 CH4O 	 CH4O 	 0.00027457971393155813 	 0.00027457971393155813
68	 8 	 HLi 	 LiH 	 6.943070970825695e-07 	 6.943070970825695e-07
68	 1 	 N2 	 N2 	 1.3091326678712682e-06 	 1.3091326678712682e-06
68	 12 	 HN 	 NH 	 0.0011439238073549143 	 0.0011439238073549143
68	 14 	 N2O 	 N2O 	 0.0037145767714010583 	 0.0037145767714010583
68	 3 	 CHN 	 CNH 	 0.0035985685599299335 	 0.0035985685599299335
68	 13 	 O3 	 O3 	 0.004518205597559559 	 0.004518205597559559
68	 23 	 HF2 	 HF2 	 0.0029421970824433583 	 0.0029421970824433583
68	 16 	 CH2 	 CH2 	 0.003232132933185848 	 0.003232132933185848
68	 19 	 HO 	 OH 	 1.2363107981275378e-05 	 1.2363107981275378e-05
68	 25 	 Li 	 Li 	 3.727512782134292e-05 	 3.727512782134292e-05
68	 10 	 NO 	 NO 	 0.00010461744630837202 	 0.00010461744630837202
68	 0 	 H2 	 H2 	 5.666904816750983e-08 	 5.666904816750983e-08
68	 17 	 H2O 	 OH2 	 0.0002466919671841372 	 0.0002466919671841372
68	 11 	 NO2 	 NO2 	 0.004944026010003014 	 0.004944026010003014
68	 2 	 FLi 	 LiF 	 0.007125545905092813 	 0.007125545905092813
68	 24 	 C 	 C 	 2.710379208015636e-05 	 2.710379208015636e-05
68	 5 	 F2 	 F2 	 0.00022569543618648985 	 0.00022569543618648985
68	 15 	 CH3 	 CH3 	 3.3482211796681066e-05 	 3.3482211796681066e-05
68	 7 	 CO 	 OC 	 0.0003651496602426883 	 0.0003651496602426883
68	 9 	 Na2 	 Na2 	 1.3213621569581572e-05 	 1.3213621569581572e-05
68	 4 	 CO2 	 CO2 	 0.006833121218632822 	 0.006833121218632822
69	 18 	 H3N 	 NH3 	 0.0006378349660189163 	 0.0006378349660189163
69	 3 	 CHN 	 CNH 	 0.003588936537479275 	 0.003588936537479275
69	 24 	 C 	 C 	 2.7055984335438294e-05 	 2.7055984335438294e-05
69	 20 	 CH 	 CH 	 3.331103757358192e-06 	 3.331103757358192e-06
69	 10 	 NO 	 NO 	 0.00010540794075224173 	 0.00010540794075224173
69	 11 	 NO2 	 NO2 	 0.004958379669713439 	 0.004958379669713439
69	 5 	 F2 	 F2 	 0.00022692241164309952 	 0.00022692241164309952
69	 15 	 CH3 	 CH3 	 3.3824540288290764e-05 	 3.3824540288290764e-05
69	 1 	 N2 	 N2 	 1.3134461581623935e-06 	 1.3134461581623935e-06
69	 0 	 H2 	 H2 	 5.5599418953413054e-08 	 5.5599418953413054e-08
69	 7 	 CO 	 OC 	 0.0003623606995485007 	 0.0003623606995485007
69	 6 	 C2H2 	 C2H2 	 0.0001536563164359992 	 0.0001536563164359992
69	 17 	 H2O 	 OH2 	 0.0002475482250802206 	 0.0002475482250802206
69	 4 	 CO2 	 CO2 	 0.00679018181153232 	 0.00679018181153232
69	 19 	 HO 	 OH 	 1.2477502300824116e-05 	 1.2477502300824116e-05
69	 9 	 Na2 	 Na2 	 1.3437852570917958e-05 	 1.3437852570917958e-05
69	 2 	 FLi 	 LiF 	 0.007106883593505646 	 0.007106883593505646
69	 14 	 N2O 	 N2O 	 0.0037590638423614917 	 0.0037590638423614917
69	 21 	 HN2O 	 HON2 	 0.0047072997255451785 	 0.0047072997255451785
69	 23 	 HF2 	 HF2 	 0.002964222485202193 	 0.002964222485202193
69	 12 	 HN 	 NH 	 0.0011593814144776238 	 0.0011593814144776238
69	 16 	 CH2 	 CH2 	 0.0032502866477656166 	 0.0032502866477656166
69	 8 	 HLi 	 LiH 	 6.761615061066599e-07 	 6.761615061066599e-07
69	 22 	 CH4O 	 CH4O 	 0.0002770102657179519 	 0.0002770102657179519
69	 25 	 Li 	 Li 	 4.217374737428425e-05 	 4.217374737428425e-05
69	 13 	 O3 	 O3 	 0.0046053138679461696 	 0.0046053138679461696
70	 7 	 CO 	 OC 	 0.0003581615626173645 	 0.0003581615626173645
70	 20 	 CH 	 CH 	 3.367173704316943e-06 	 3.367173704316943e-06
70	 13 	 O3 	 O3 	 0.004610405347783724 	 0.004610405347783724
70	 6 	 C2H2 	 C2H2 	 0.0001513993702091971 	 0.0001513993702091971
70	 1 	 N2 	 N2 	 1.5689860957170036e-06 	 1.5689860957170036e-06
70	 19 	 HO 	 OH 	 1.2554186938032362e-05 	 1.2554186938032362e-05
70	 8 	 HLi 	 LiH 	 7.264333983568358e-07 	 7.264333983568358e-07
70	 9 	 Na2 	 Na2 	 1.404458758917011e-05 	 1.404458758917011e-05
70	 2 	 FLi 	 LiF 	 0.007084970459994444 	 0.007084970459994444
70	 4 	 CO2 	 CO2 	 0.006734294438422593 	 0.006734294438422593
70	 16 	 CH2 	 CH2 	 0.0032601911305028645 	 0.0032601911305028645
70	 5 	 F2 	 F2 	 0.00023156581556423578 	 0.00023156581556423578
70	 18 	 H3N 	 NH3 	 0.000647833458660412 	 0.000647833458660412
70	 10 	 NO 	 NO 	 0.0001085373032111561 	 0.0001085373032111561
70	 22 	 CH4O 	 CH4O 	 0.0002780282385251931 	 0.0002780282385251931
70	 24 	 C 	 C 	 2.8403737782461368e-05 	 2.8403737782461368e-05
70	 17 	 H2O 	 OH2 	 0.00024812772835380316 	 0.00024812772835380316
70	 23 	 HF2 	 HF2 	 0.0029790195643740946 	 0.0029790195643740946
