#	Epoch	E	E*lambda_E	rho	rho*lambda_rho	ae	ae*lambda_ae	total
0	6.437335182015685	0.06437335182015685	15.380964606639816	307.6192921327963	60.071738203115856	60.071738203115856	80.25994382416071
1	7.807585081735334	0.07807585081735334	15.376856408593147	307.53712817186295	59.960466192744704	59.960466192744704	80.19109860778168
2	8.629142985513136	0.08629142985513136	15.351938075914553	307.03876151829104	59.2898286615673	59.2898286615673	79.82634899940865
3	9.93379112946376	0.09933791129463761	15.332299963691577	306.64599927383153	58.719779149826024	58.719779149826024	79.50617932250682
4	12.261671371007903	0.12261671371007904	15.316701715642859	306.33403431285717	58.16228508467686	58.16228508467686	79.21319520970476
5	14.258181253061956	0.14258181253061955	15.294461341759288	305.88922683518575	57.623280687727934	57.623280687727934	78.88608323900122
6	15.756491184356362	0.1575649118435636	15.269460821847163	305.3892164369433	57.04727365739067	57.04727365739067	78.56622131720555
7	17.84408490076811	0.1784408490076811	15.25864866377353	305.1729732754706	56.60807944386436	56.60807944386436	78.3170018323514
8	20.060677103623615	0.20060677103623614	15.232333861114	304.64667722228	56.06760144741881	56.06760144741881	77.97576508986768
9	21.860541005100607	0.2186054100510061	15.205084630885287	304.10169261770574	55.69921401892246	55.69921401892246	77.69252314191593
10	24.268895628045655	0.24268895628045656	15.188396450279715	303.7679290055943	55.28262921378878	55.28262921378878	77.40014561636241
11	27.951310336571545	0.27951310336571544	15.165863352379517	303.31726704759035	54.78599398091552	54.78599398091552	77.07014022119823
12	30.75338318030196	0.3075338318030196	15.141956757649806	302.8391351529961	54.562827874151004	54.562827874151004	76.81983073491853
13	33.961979158174785	0.3396197915817479	15.124300954294299	302.48601908588597	53.921944673818416	53.921944673818416	76.47508502954592
14	38.2249259070482	0.382249259070482	15.102883145728393	302.05766291456786	53.69152671928328	53.69152671928328	76.21612051982645
15	42.053872926905534	0.42053872926905533	15.071974712596655	301.43949425193307	53.399762393599126	53.399762393599126	75.87254014932203
16	44.56100176428783	0.44561001764287833	15.055145191381408	301.10290382762815	52.805088011617805	52.805088011617805	75.54345527486588
17	47.25220093660311	0.4725220093660311	15.029224347476267	300.58448694952534	52.41971037191381	52.41971037191381	75.20406692088187
18	54.364591775421296	0.543645917754213	15.02440539403081	300.4881078806162	52.351318822949885	52.351318822949885	74.98136005512116
19	58.59205235502	0.5859205235502001	14.993660208204103	299.87320416408204	52.187440931977484	52.187440931977484	74.62930742652544
20	61.37200653178127	0.6137200653178126	14.983665007356652	299.67330014713303	51.99201998600538	51.99201998600538	74.39023048754513
21	64.89848475251809	0.6489848475251809	14.970683882846034	299.4136776569207	51.74289789685851	51.74289789685851	74.12551869464073
22	70.63642145875914	0.7063642145875915	14.957711235101621	299.1542247020324	51.827259914861145	51.827259914861145	73.92673543145574
23	70.05831866157084	0.7005831866157084	14.930330722956727	298.60661445913456	51.61253667161877	51.61253667161877	73.68943599445281
24	71.65649169261843	0.7165649169261843	14.923916749403059	298.4783349880612	51.29794368334928	51.29794368334928	73.46717746275021
25	76.43965374116604	0.7643965374116605	14.916740078844171	298.3348015768834	51.61717227165622	51.61717227165622	73.33022617249324
26	79.67918142436604	0.7967918142436604	14.889601116886068	297.79202233772133	51.63178034788758	51.63178034788758	73.06729378704154
27	79.2031283261449	0.7920312832614491	14.87985775036967	297.5971550073934	51.51130333544268	51.51130333544268	72.96455163217452
28	80.63781509887436	0.8063781509887435	14.852026757556441	297.04053515112884	51.41096264348554	51.41096264348554	72.72700363110233
29	81.06641529131085	0.8106641529131084	14.837115500365853	296.74231000731703	51.425345342263505	51.425345342263505	72.5665643750841
30	82.46801457045	0.8246801457045	14.815987474775755	296.3197494955151	51.17428679568055	51.17428679568055	72.39429369029129
31	79.46915815796119	0.794691581579612	14.775171649531348	295.50343299062695	50.998212967688694	50.998212967688694	72.28389742700529
32	80.30079503498777	0.8030079503498777	14.766948180633635	295.3389636126727	51.072283568926224	51.072283568926224	72.16169554868861
33	80.44431363772127	0.8044431363772127	14.742503120015499	294.85006240031	50.882231701216234	50.882231701216234	71.95705066428665
34	83.29951100939915	0.8329951100939915	14.720369902051043	294.4073980410209	51.085609438489605	51.085609438489605	71.82249787847188
35	80.11594551926957	0.8011594551926957	14.847704109998062	296.95408219996125	58.42318291365834	58.42318291365834	74.9572711597611
36	68.09124520232946	0.6809124520232946	14.655521720847926	293.1104344169585	49.70271739291815	49.70271739291815	71.79241932916713
37	66.98792665959355	0.6698792665959356	14.654379190149852	293.087583802997	49.643128681930634	49.643128681930634	71.82399932660064
38	67.03014779602998	0.6703014779602998	14.654098152061296	293.08196304122595	49.61853679614172	49.61853679614172	71.80753484800722
39	67.48332512022162	0.6748332512022163	14.64668726279411	292.9337452558822	49.57311494491934	49.57311494491934	71.74704725339716
40	67.85931208825795	0.6785931208825795	14.64890577143122	292.9781154286244	49.58996679560013	49.58996679560013	71.7462357156622
41	68.11386297855111	0.6811386297855111	14.641994728503377	292.83989457006754	49.56235010847847	49.56235010847847	71.69389930718332
42	68.44076236703218	0.6844076236703218	14.637937439344174	292.7587487868835	49.55948815787917	49.55948815787917	71.66381532600175
43	68.82325869296173	0.6882325869296173	14.623514664150491	292.4702932830098	49.587919658120406	49.587919658120406	71.58386378647951
44	69.28360897356728	0.6928360897356728	14.633878492452652	292.67756984905304	49.574222633153184	49.574222633153184	71.61033605643641
45	69.29556711412283	0.6929556711412284	14.614614109181085	292.2922821836217	49.54407263616199	49.54407263616199	71.51324118403765
46	69.49554835040082	0.6949554835040083	14.605342115228774	292.1068423045755	49.56044812454521	49.56044812454521	71.46092811749465
47	69.96295554530464	0.6996295554530464	14.622397026771353	292.44794053542705	49.546718840105676	49.546718840105676	71.50825972873761
48	70.43120987866327	0.7043120987866327	14.60749111025374	292.14982220507477	49.54921723695755	49.54921723695755	71.4248786478916
49	70.5461205426739	0.7054612054267391	14.59893067118196	291.9786134236392	49.522745458035914	49.522745458035914	71.37262777113737
50	71.07687121046843	0.7107687121046843	14.57399043851632	291.47980877032643	49.52762616560945	49.52762616560945	71.25008822706546
51	71.21782016257634	0.7121782016257635	14.580379496274338	291.60758992548676	49.49615040731837	49.49615040731837	71.2583424238314
52	71.71489356566208	0.7171489356566209	14.576243480780116	291.5248696156023	49.507624654074306	49.507624654074306	71.22882774297868
53	71.74607668629172	0.7174607668629172	14.583174993319242	291.6634998663848	49.488014467096725	49.488014467096725	71.23515552714959
54	71.91040777318126	0.7191040777318126	14.57041842033157	291.40836840663144	49.481349667548706	49.481349667548706	71.16902817689704
55	72.46025959389404	0.7246025959389404	14.555338587471672	291.10677174943345	49.50689325093089	49.50689325093089	71.07929990356143
56	72.86207725883389	0.7286207725883389	14.540421366112362	290.8084273222472	49.5214899706323	49.5214899706323	71.00406926958827
57	73.2911183248053	0.7329111832480529	14.539705382081234	290.7941076416247	49.51140303599421	49.51140303599421	70.98373473342045
58	73.48626290363352	0.7348626290363351	14.529496731109377	290.58993462218757	49.48410407364449	49.48410407364449	70.92111353110572
59	73.93024668729637	0.7393024668729637	14.500669588752142	290.01339177504286	49.50814798370072	49.50814798370072	70.7827744590372
60	73.95783483506486	0.7395783483506486	14.531363155006352	290.62726310012704	49.465617778930884	49.465617778930884	70.89046360024244
61	74.52066610429527	0.7452066610429527	14.519390898352865	290.3878179670573	49.49720713268861	49.49720713268861	70.83010008471216
62	74.55159254061545	0.7455159254061544	14.504613379745043	290.0922675949009	49.46646275701555	49.46646275701555	70.74249548998802
63	74.95536243035872	0.7495536243035872	14.498463164510177	289.96926329020357	49.46932490575565	49.46932490575565	70.69843142919105
64	75.42060583200467	0.7542060583200467	14.50603278756697	290.12065575133937	49.52586662448917	49.52586662448917	70.71584510680026
65	75.79227302286466	0.7579227302286466	14.466231523388355	289.3246304677671	49.49802184148016	49.49802184148016	70.53157566217764
66	75.9652319513724	0.759652319513724	14.472638336574287	289.4527667314857	49.48483589806328	49.48483589806328	70.53705256386743
67	76.14795766962442	0.7614795766962442	14.459947607547422	289.19895215094846	49.47479357463136	49.47479357463136	70.46373095805183
68	76.59793825129877	0.7659793825129877	14.446162647856012	288.9232529571202	49.460725877824345	49.460725877824345	70.38618949468128
69	76.95863684986061	0.7695863684986062	14.4219224709247	288.43844941849403	49.51142398215422	49.51142398215422	70.27323526584644
70	77.43243165509617	0.7743243165509617	14.427213597727839	288.5442719545568	49.50190554025553	49.50190554025553	70.26664513522341
71	77.50529861663203	0.7750529861663203	14.409014707059555	288.1802941411911	49.46682721995133	49.46682721995133	70.1775936871233
72	78.06548663044612	0.7806548663044612	14.383410971249594	287.6682194249919	49.45280690590645	49.45280690590645	70.05097608790365
73	78.48806213452798	0.7848806213452798	14.35871284574124	287.1742569148248	49.4645239843813	49.4645239843813	69.92152459247437
74	78.8949495951935	0.788949495951935	14.370168252545461	287.4033650509092	49.47712897090477	49.47712897090477	69.95395446077166
75	79.16422783501206	0.7916422783501206	14.349843194738948	286.996863894779	49.489197941966374	49.489197941966374	69.85720627770725
76	79.78557281731668	0.7978557281731667	14.29680051543096	285.9360103086192	49.52057344082986	49.52057344082986	69.61617121738945
77	80.02104974233464	0.8002104974233464	14.246935824219433	284.93871648438864	49.49557119618302	49.49557119618302	69.3834474594987
78	80.88006094207239	0.808800609420724	14.306540435904884	286.1308087180977	49.54044939161611	49.54044939161611	69.61255108992889
79	81.10263886065287	0.8110263886065288	14.253200688436332	285.0640137687266	49.515215680056166	49.515215680056166	69.37070892530927
80	81.77411243945366	0.8177411243945366	14.136791076171445	282.7358215234289	49.54729504734658	49.54729504734658	68.86799276787897
81	82.36779678318065	0.8236779678318066	14.153744449374448	283.074888987489	49.52822767959826	49.52822767959826	68.91102493800724
82	82.85084727973951	0.8285084727973951	14.042583451622907	280.8516690324581	49.63980656114648	49.63980656114648	68.44310688637759
83	83.2730984626495	0.832730984626495	14.009624853205107	280.19249706410216	49.56118258579241	49.56118258579241	68.27568848251228
84	83.80945912790693	0.8380945912790694	14.098225634640922	281.96451269281846	49.58563370473034	49.58563370473034	68.61702370917462
85	85.23854587100215	0.8523854587100215	14.056753365602678	281.13506731205354	49.67364307276738	49.67364307276738	68.42297177875594
86	85.30315055701449	0.853031505570145	13.9885867939603	279.771735879206	49.65192628862387	49.65192628862387	68.11419471037641
87	85.95350781069415	0.8595350781069415	13.887450666298816	277.7490133259763	49.66974658030597	49.66974658030597	67.67248490181764
88	86.19230830916105	0.8619230830916105	13.84535518201782	276.90710364035635	49.68787832128584	49.68787832128584	67.48563876494649
89	86.70033588415139	0.8670033588415139	13.874169195970111	277.48338391940223	49.77915077796742	49.77915077796742	67.59109430234149
90	86.80922805861174	0.8680922805861174	13.803310710459472	276.06621420918947	49.77738245573768	49.77738245573768	67.27699519424678
91	87.22266665835537	0.8722266665835536	13.853837719810963	277.07675439621926	49.81085487906856	49.81085487906856	67.46943076041393
92	88.02707758682978	0.8802707758682978	13.728537111524474	274.5707422304895	49.93871891816868	49.93871891816868	66.92162363292567
93	106.76405276772299	1.0676405276772298	12.715315205812999	254.30630411625998	55.47368357587587	55.47368357587587	62.61838055401389
94	119.51026776385838	1.1951026776385838	9.80608008905069	196.1216017810138	276.9804840351057	276.9804840351057	198.20648842435807
95	124.17676137198225	1.2417676137198226	15.69502743343893	313.9005486687786	84.5646887161239	84.5646887161239	86.88402098361355
96	123.63661975187387	1.2363661975187388	15.666038918848626	313.3207783769725	80.34897840821833	80.34897840821833	84.81657482983879
97	123.12710187703385	1.2312710187703386	15.651016295206581	313.0203259041316	76.52017737889642	76.52017737889642	82.99255524391005
98	122.64394624430199	1.22643946244302	18.233784658504355	364.67569317008713	74.54004187696036	74.54004187696036	92.15547405161851
99	121.91333379360208	1.2191333379360207	19.03999060320662	380.79981206413237	72.0115620091624	72.0115620091624	94.41162690256485
100	121.49564375340486	1.2149564375340487	12.822455544588108	256.44911089176213	63.619248162333136	63.619248162333136	66.22796123331815
101	141.30371127410106	1.4130371127410106	16.13752824785944	322.7505649571888	251.7229035971263	251.7229035971263	189.38484494986074
102	148.54261225443457	1.4854261225443457	15.972891634162568	319.45783268325135	497.7045246276555	497.7045246276555	357.671034509757
103	148.90172241306928	1.489017224130693	15.97651838652567	319.53036773051343	461.3143851829566	461.3143851829566	332.3850983681358
104	148.91678392271803	1.4891678392271803	16.25728871104083	325.1457742208166	436.2169721514858	436.2169721514858	315.27527788173444
105	148.95156193910333	1.4895156193910333	17.119208810707523	342.38417621415044	490.36617107940094	490.36617107940094	353.6382163889225
106	148.97123216482458	1.489712321648246	16.233281812767416	324.6656362553483	354.19026931915903	354.19026931915903	258.77390407975713
107	148.9644768499585	1.4896447684995848	16.421324710945868	328.42649421891736	305.4750371994492	305.4750371994492	225.87338448959255
108	148.9577449147307	1.489577449147307	16.194610989655047	323.89221979310094	397.3204978382355	397.3204978382355	288.3493483094542
109	148.95485688833563	1.4895485688833563	16.365332614163975	327.3066522832795	288.8865784899895	288.8865784899895	214.59990594460157
110	148.94905403292972	1.4894905403292973	15.992948173957755	319.8589634791551	427.17999099776335	427.17999099776335	308.74942209343027
111	148.9437614169438	1.489437614169438	16.379512353231732	327.59024706463464	287.58173602906476	287.58173602906476	213.74219807659395
112	148.94834798318354	1.4894834798318355	15.984056520248098	319.68113040496195	432.7682890738389	432.7682890738389	312.60625996929167
113	148.94722284583608	1.4894722284583608	15.980989493635404	319.61978987270805	424.5637776607482	424.5637776607482	306.92562891134395
114	148.94298799977764	1.4894298799977765	16.345689794985322	326.91379589970643	290.7301098047107	290.7301098047107	215.81055454093908
115	148.93818474947494	1.4893818474947496	15.965241001608575	319.3048200321715	459.4881216612019	459.4881216612019	331.10624354941933
116	148.93650574679458	1.4893650574679458	15.9751475645553	319.502951291106	437.5215333384564	437.5215333384564	315.88943693016944
117	148.94034365049149	1.489403436504915	15.975989150141976	319.5197830028395	428.3186906651798	428.3186906651798	309.5191037972404
118	148.9393428768918	1.4893934287689181	16.325721541131834	326.51443082263665	354.0878436595234	354.0878436595234	258.82069419317634
119	148.93324480063723	1.4893324480063723	16.284641636059664	325.69283272119327	348.8742944660855	348.8742944660855	255.20330855116703
120	148.93857463674235	1.4893857463674234	16.267716603494755	325.3543320698951	440.1646617493046	440.1646617493046	318.01678399774477
121	148.93287146282216	1.4893287146282217	15.985659255529962	319.7131851105992	433.20458371247474	433.20458371247474	312.909757485626
122	148.9336336940948	1.489336336940948	15.979457988117534	319.5891597623507	417.29657558971564	417.29657558971564	301.8996117231614
123	148.93785048527695	1.4893785048527695	16.230336114596632	324.60672229193267	421.4188180447226	421.4188180447226	305.0156611321144
124	148.93793752301957	1.4893793752301958	16.1849759562994	323.699519125988	433.1865542833903	433.1865542833903	313.10370939873184
125	148.940987171955	1.4894098717195499	16.01320454813289	320.2640909626578	444.0095028035517	444.0095028035517	320.42082188678523
126	148.93669300038894	1.4893669300038894	16.337678870395404	326.7535774079081	361.00947971666784	361.00947971666784	263.5729450671814
127	148.93314876249175	1.4893314876249175	16.288603807831706	325.7720761566341	351.1557744981889	351.1557744981889	256.76992208311424
128	148.93745642886358	1.4893745642886358	16.356708321338996	327.1341664267799	293.6025566246964	293.6025566246964	217.7623461741578
129	148.9345987937346	1.489345987937346	15.976380386447948	319.52760772895897	529.7659371019264	529.7659371019264	379.999931374105
130	148.933482952616	1.4893348295261601	15.97939644460342	319.5879288920684	418.96015537406265	418.96015537406265	303.05107421404153
131	148.93366347892774	1.4893366347892774	16.355589655214356	327.11179310428713	360.32537528673	360.32537528673	263.12830865523443
132	148.9333172464506	1.489333172464506	15.968274936540649	319.365498730813	416.59996593579814	416.59996593579814	301.4083892997634
133	148.9335508440884	1.489335508440884	15.986498446201814	319.72996892403626	423.91333700390527	423.91333700390527	306.48231209572896
134	148.9372247824844	1.4893722478248441	16.263103794103163	325.26207588206324	435.8399493254214	435.8399493254214	315.0180736583733
135	148.938395279764	1.48938395279764	16.281190526189526	325.62381052379055	347.17702107652025	347.17702107652025	254.03929177017142
136	148.9381254739344	1.4893812547393441	15.970447572636067	319.40895145272134	467.2973878816701	467.2973878816701	336.53051768906886
137	148.93165455659002	1.4893165455659003	16.26808184839566	325.3616369679132	461.3972145286743	461.3972145286743	332.7237578440842
138	148.93742163676473	1.4893742163676473	16.300773198562233	326.0154639712447	347.6830240281828	347.6830240281828	254.41020619165704
139	148.93652605112064	1.4893652605112064	16.332442378125716	326.64884756251433	360.0781630982143	360.0781630982143	262.92991263161485
140	148.93629498325802	1.4893629498325802	16.289914563546944	325.7982912709389	351.16153007528834	351.16153007528834	256.7737679468718
141	148.9341710638362	1.489341710638362	16.333238966805098	326.66477933610196	357.9735309559064	357.9735309559064	261.48862735504383
142	148.93189678914018	1.4893189678914018	16.310494263226722	326.2098852645345	347.85105256800483	347.85105256800483	254.5371949059334
143	148.93623037366146	1.4893623037366146	15.969235935635595	319.3847187127119	500.931723535437	500.931723535437	359.91073209613756
