#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
287	 20 	 CH 	 CH 	 7.410921730548622e-07 	 7.410921730548622e-07
287	 15 	 CH3 	 CH3 	 9.894643573481636e-07 	 9.894643573481636e-07
287	 13 	 O3 	 O3 	 0.003417231307455257 	 0.003417231307455257
287	 23 	 HF2 	 HF2 	 0.002618756074395815 	 0.002618756074395815
287	 6 	 C2H2 	 C2H2 	 0.00018208772212504332 	 0.00018208772212504332
287	 9 	 Na2 	 Na2 	 3.6439042234116326e-07 	 3.6439042234116326e-07
287	 5 	 F2 	 F2 	 0.00017972297334293186 	 0.00017972297334293186
287	 17 	 H2O 	 OH2 	 0.00022092014554902874 	 0.00022092014554902874
287	 8 	 HLi 	 LiH 	 1.908271817103631e-06 	 1.908271817103631e-06
287	 19 	 HO 	 OH 	 1.1232080626527515e-05 	 1.1232080626527515e-05
287	 21 	 HN2O 	 HON2 	 0.003922173464567553 	 0.003922173464567553
287	 14 	 N2O 	 N2O 	 0.0033036587936911875 	 0.0033036587936911875
287	 1 	 N2 	 N2 	 9.49117447569666e-07 	 9.49117447569666e-07
287	 2 	 FLi 	 LiF 	 0.00729168260274504 	 0.00729168260274504
287	 12 	 HN 	 NH 	 0.0009108846165319063 	 0.0009108846165319063
287	 7 	 CO 	 OC 	 0.00041079304542127813 	 0.00041079304542127813
287	 16 	 CH2 	 CH2 	 0.0026221262950322645 	 0.0026221262950322645
287	 25 	 Li 	 Li 	 3.491976393089374e-05 	 3.491976393089374e-05
287	 24 	 C 	 C 	 2.6592084548285896e-05 	 2.6592084548285896e-05
287	 4 	 CO2 	 CO2 	 0.008023529018766573 	 0.008023529018766573
287	 11 	 NO2 	 NO2 	 0.0042218105589341935 	 0.0042218105589341935
287	 0 	 H2 	 H2 	 1.1314916969273055e-06 	 1.1314916969273055e-06
287	 10 	 NO 	 NO 	 7.372358988275194e-05 	 7.372358988275194e-05
288	 4 	 CO2 	 CO2 	 0.008019760664483344 	 0.008019760664483344
288	 13 	 O3 	 O3 	 0.0034176074915602014 	 0.0034176074915602014
288	 18 	 H3N 	 NH3 	 0.000392254416596694 	 0.000392254416596694
288	 20 	 CH 	 CH 	 7.361898812524358e-07 	 7.361898812524358e-07
288	 12 	 HN 	 NH 	 0.0009108590956543043 	 0.0009108590956543043
288	 17 	 H2O 	 OH2 	 0.0002214011683065751 	 0.0002214011683065751
288	 25 	 Li 	 Li 	 3.6092078831236893e-05 	 3.6092078831236893e-05
288	 14 	 N2O 	 N2O 	 0.0033029013613512046 	 0.0033029013613512046
288	 22 	 CH4O 	 CH4O 	 0.0002352213195961438 	 0.0002352213195961438
288	 6 	 C2H2 	 C2H2 	 0.00017903482581140383 	 0.00017903482581140383
288	 7 	 CO 	 OC 	 0.0004109513659134193 	 0.0004109513659134193
288	 23 	 HF2 	 HF2 	 0.0026187753903958344 	 0.0026187753903958344
288	 0 	 H2 	 H2 	 1.3052727326471825e-06 	 1.3052727326471825e-06
288	 9 	 Na2 	 Na2 	 3.6675236787851926e-07 	 3.6675236787851926e-07
288	 3 	 CHN 	 CNH 	 0.003944972348906406 	 0.003944972348906406
288	 16 	 CH2 	 CH2 	 0.002621332523864702 	 0.002621332523864702
288	 8 	 HLi 	 LiH 	 1.8965032195252844e-06 	 1.8965032195252844e-06
288	 2 	 FLi 	 LiF 	 0.00730184558369122 	 0.00730184558369122
288	 10 	 NO 	 NO 	 7.371211352468682e-05 	 7.371211352468682e-05
288	 11 	 NO2 	 NO2 	 0.004223961489765463 	 0.004223961489765463
288	 21 	 HN2O 	 HON2 	 0.00392223270979125 	 0.00392223270979125
288	 15 	 CH3 	 CH3 	 9.6939320807571e-07 	 9.6939320807571e-07
288	 19 	 HO 	 OH 	 1.1218281361951023e-05 	 1.1218281361951023e-05
288	 5 	 F2 	 F2 	 0.0001797380410933175 	 0.0001797380410933175
288	 1 	 N2 	 N2 	 1.0032571291378796e-06 	 1.0032571291378796e-06
288	 24 	 C 	 C 	 2.6274406399782797e-05 	 2.6274406399782797e-05
289	 1 	 N2 	 N2 	 9.037073139532275e-07 	 9.037073139532275e-07
289	 21 	 HN2O 	 HON2 	 0.003922233237229949 	 0.003922233237229949
289	 9 	 Na2 	 Na2 	 3.6348768156651574e-07 	 3.6348768156651574e-07
289	 24 	 C 	 C 	 2.6482037484819598e-05 	 2.6482037484819598e-05
289	 5 	 F2 	 F2 	 0.0001797600142413582 	 0.0001797600142413582
289	 25 	 Li 	 Li 	 3.6436604357966966e-05 	 3.6436604357966966e-05
289	 23 	 HF2 	 HF2 	 0.002618781799565052 	 0.002618781799565052
289	 19 	 HO 	 OH 	 1.1223677187059982e-05 	 1.1223677187059982e-05
289	 14 	 N2O 	 N2O 	 0.003302727967705769 	 0.003302727967705769
289	 16 	 CH2 	 CH2 	 0.002621620019378613 	 0.002621620019378613
289	 17 	 H2O 	 OH2 	 0.0002214654426135865 	 0.0002214654426135865
289	 0 	 H2 	 H2 	 1.0207037509806228e-06 	 1.0207037509806228e-06
289	 11 	 NO2 	 NO2 	 0.004223470821989907 	 0.004223470821989907
289	 10 	 NO 	 NO 	 7.371442140024412e-05 	 7.371442140024412e-05
289	 22 	 CH4O 	 CH4O 	 0.0002352209348078042 	 0.0002352209348078042
289	 4 	 CO2 	 CO2 	 0.008024252631957194 	 0.008024252631957194
289	 8 	 HLi 	 LiH 	 1.8515751711668892e-06 	 1.8515751711668892e-06
289	 2 	 FLi 	 LiF 	 0.0072977842258844725 	 0.0072977842258844725
289	 13 	 O3 	 O3 	 0.0034175390777670387 	 0.0034175390777670387
289	 3 	 CHN 	 CNH 	 0.003947477752893901 	 0.003947477752893901
289	 12 	 HN 	 NH 	 0.0009106873845843454 	 0.0009106873845843454
289	 6 	 C2H2 	 C2H2 	 0.00017786684584281703 	 0.00017786684584281703
289	 20 	 CH 	 CH 	 7.443959396833635e-07 	 7.443959396833635e-07
289	 18 	 H3N 	 NH3 	 0.00039309534439377857 	 0.00039309534439377857
289	 7 	 CO 	 OC 	 0.00041038522919305406 	 0.00041038522919305406
289	 15 	 CH3 	 CH3 	 9.941293530922931e-07 	 9.941293530922931e-07
290	 22 	 CH4O 	 CH4O 	 0.00023522340576602325 	 0.00023522340576602325
290	 11 	 NO2 	 NO2 	 0.004223617294352365 	 0.004223617294352365
290	 13 	 O3 	 O3 	 0.0034196491739162255 	 0.0034196491739162255
290	 21 	 HN2O 	 HON2 	 0.003922257727766299 	 0.003922257727766299
290	 19 	 HO 	 OH 	 1.1230352314572487e-05 	 1.1230352314572487e-05
290	 1 	 N2 	 N2 	 1.0214774258803396e-06 	 1.0214774258803396e-06
290	 3 	 CHN 	 CNH 	 0.003945385692240696 	 0.003945385692240696
290	 16 	 CH2 	 CH2 	 0.0026204259087209405 	 0.0026204259087209405
290	 5 	 F2 	 F2 	 0.0001799210308118125 	 0.0001799210308118125
290	 7 	 CO 	 OC 	 0.000410627353684387 	 0.000410627353684387
290	 12 	 HN 	 NH 	 0.0009107560661866737 	 0.0009107560661866737
290	 2 	 FLi 	 LiF 	 0.0072892971905316965 	 0.0072892971905316965
290	 8 	 HLi 	 LiH 	 1.841598406644779e-06 	 1.841598406644779e-06
290	 0 	 H2 	 H2 	 9.911407467444563e-07 	 9.911407467444563e-07
290	 17 	 H2O 	 OH2 	 0.00022110910203047404 	 0.00022110910203047404
