AE loss	 7 	 4 	 C 	 C 	 5.129678757955991e-06
AE loss	 7 	 11 	 HF2 	 HF2 	 0.0008500645590823318
AE loss	 7 	 7 	 Li 	 Li 	 2.942359085873964e-07
AE loss	 7 	 5 	 F 	 F 	 1.0178527583110579e-10
AE loss	 7 	 10 	 CH4O 	 CH4O 	 5.911593159509724e-05
AE loss	 8 	 3 	 CHN 	 CNH 	 0.008598146966556733
AE loss	 8 	 8 	 N 	 N 	 8.194345428198682e-06
AE loss	 8 	 0 	 H2 	 H2 	 1.713157230026381e-07
AE loss	 8 	 5 	 F 	 F 	 1.8238967158502004e-07
AE loss	 8 	 9 	 HN2O 	 HON2 	 0.0008693599249148457
AE loss	 8 	 4 	 C 	 C 	 6.1705181456300245e-06
AE loss	 8 	 2 	 FLi 	 LiF 	 0.00904869838523805
AE loss	 8 	 11 	 HF2 	 HF2 	 0.0008624976175848968
AE loss	 8 	 6 	 H 	 H 	 2.8384717616683143e-08
AE loss	 8 	 1 	 N2 	 N2 	 0.00012363110753200118
AE loss	 8 	 7 	 Li 	 Li 	 3.544761647975015e-07
AE loss	 8 	 10 	 CH4O 	 CH4O 	 5.902594308229393e-05
AE loss	 9 	 3 	 CHN 	 CNH 	 0.008457558835816024
AE loss	 9 	 9 	 HN2O 	 HON2 	 0.0008712611723007917
AE loss	 9 	 7 	 Li 	 Li 	 3.39416606227389e-07
AE loss	 9 	 10 	 CH4O 	 CH4O 	 5.9131091649821365e-05
AE loss	 9 	 0 	 H2 	 H2 	 4.629274179501902e-08
AE loss	 9 	 1 	 N2 	 N2 	 0.0001189799510752674
AE loss	 9 	 6 	 H 	 H 	 3.454198406011775e-08
AE loss	 9 	 11 	 HF2 	 HF2 	 0.0008751161312353016
AE loss	 9 	 2 	 FLi 	 LiF 	 0.008992299011580943
AE loss	 9 	 5 	 F 	 F 	 1.792699535544381e-06
AE loss	 9 	 4 	 C 	 C 	 8.075942766510126e-06
AE loss	 9 	 8 	 N 	 N 	 1.231933456519313e-05
AE loss	 10 	 5 	 F 	 F 	 1.1510964017545237e-06
AE loss	 10 	 10 	 CH4O 	 CH4O 	 5.9415655760751364e-05
AE loss	 10 	 3 	 CHN 	 CNH 	 0.008307631522130153
AE loss	 10 	 0 	 H2 	 H2 	 9.382533531314005e-09
AE loss	 10 	 9 	 HN2O 	 HON2 	 0.000877358581854441
AE loss	 10 	 7 	 Li 	 Li 	 3.839676803340229e-07
AE loss	 10 	 6 	 H 	 H 	 4.0965622850272434e-08
AE loss	 10 	 2 	 FLi 	 LiF 	 0.00892182900124577
AE loss	 10 	 11 	 HF2 	 HF2 	 0.0008803112652553907
AE loss	 10 	 1 	 N2 	 N2 	 0.00011296615386533408
AE loss	 10 	 4 	 C 	 C 	 6.6961004880375145e-06
AE loss	 10 	 8 	 N 	 N 	 1.0245535431624865e-05
AE loss	 11 	 0 	 H2 	 H2 	 9.131367199747884e-10
AE loss	 11 	 9 	 HN2O 	 HON2 	 0.0008783692601423316
AE loss	 11 	 10 	 CH4O 	 CH4O 	 5.9299863042088935e-05
AE loss	 11 	 3 	 CHN 	 CNH 	 0.008188638502468575
AE loss	 11 	 2 	 FLi 	 LiF 	 0.008870403706943126
AE loss	 11 	 7 	 Li 	 Li 	 4.825061139024376e-07
AE loss	 11 	 6 	 H 	 H 	 4.6013898657787064e-08
AE loss	 11 	 11 	 HF2 	 HF2 	 0.0008839117395998179
AE loss	 11 	 1 	 N2 	 N2 	 0.00010685939342311189
AE loss	 11 	 8 	 N 	 N 	 9.625089464117048e-06
AE loss	 11 	 5 	 F 	 F 	 1.2047845753824253e-07
AE loss	 11 	 4 	 C 	 C 	 6.050352747795435e-06
AE loss	 12 	 11 	 HF2 	 HF2 	 0.0008858076339692746
AE loss	 12 	 8 	 N 	 N 	 8.631961390478297e-06
AE loss	 12 	 9 	 HN2O 	 HON2 	 0.0008798061197170563
AE loss	 12 	 0 	 H2 	 H2 	 5.982373952623482e-08
AE loss	 12 	 3 	 CHN 	 CNH 	 0.008068916703520966
AE loss	 12 	 7 	 Li 	 Li 	 6.463652252894108e-07
AE loss	 12 	 1 	 N2 	 N2 	 0.00010311510828809432
AE loss	 12 	 4 	 C 	 C 	 5.036002632269585e-06
AE loss	 12 	 6 	 H 	 H 	 5.234851448502295e-08
AE loss	 12 	 2 	 FLi 	 LiF 	 0.008776994339474578
AE loss	 12 	 5 	 F 	 F 	 1.127656987121109e-08
AE loss	 12 	 10 	 CH4O 	 CH4O 	 5.920774411233882e-05
AE loss	 13 	 10 	 CH4O 	 CH4O 	 5.922715770396569e-05
AE loss	 13 	 4 	 C 	 C 	 4.958713673365268e-06
AE loss	 13 	 9 	 HN2O 	 HON2 	 0.0008807740033571509
AE loss	 13 	 5 	 F 	 F 	 9.06680541875365e-08
AE loss	 13 	 1 	 N2 	 N2 	 9.946071659658147e-05
AE loss	 13 	 0 	 H2 	 H2 	 1.8469596851745753e-07
AE loss	 13 	 11 	 HF2 	 HF2 	 0.0008921787157331595
AE loss	 13 	 2 	 FLi 	 LiF 	 0.008720248264123518
AE loss	 13 	 6 	 H 	 H 	 5.656704726851193e-08
AE loss	 13 	 3 	 CHN 	 CNH 	 0.007938806281529787
AE loss	 13 	 7 	 Li 	 Li 	 7.011469747780405e-07
AE loss	 13 	 8 	 N 	 N 	 7.866579233997064e-06
AE loss	 14 	 6 	 H 	 H 	 5.981079492969142e-08
AE loss	 14 	 4 	 C 	 C 	 5.260547396750443e-06
AE loss	 14 	 9 	 HN2O 	 HON2 	 0.000886844895099773
AE loss	 14 	 1 	 N2 	 N2 	 9.555365399599114e-05
AE loss	 14 	 0 	 H2 	 H2 	 2.939823689312965e-07
AE loss	 14 	 7 	 Li 	 Li 	 7.018338343002178e-07
AE loss	 14 	 11 	 HF2 	 HF2 	 0.0008995666755789023
AE loss	 14 	 5 	 F 	 F 	 1.1950377577900354e-08
AE loss	 14 	 10 	 CH4O 	 CH4O 	 5.975403758873192e-05
AE loss	 14 	 2 	 FLi 	 LiF 	 0.008649090896160805
AE loss	 14 	 3 	 CHN 	 CNH 	 0.0078269671838059
AE loss	 14 	 8 	 N 	 N 	 9.256323679998024e-06
AE loss	 15 	 4 	 C 	 C 	 6.035952948867805e-06
AE loss	 15 	 2 	 FLi 	 LiF 	 0.008634610495752681
AE loss	 15 	 5 	 F 	 F 	 9.77476680543492e-10
AE loss	 15 	 7 	 Li 	 Li 	 6.672665223460714e-07
AE loss	 15 	 6 	 H 	 H 	 7.174818217573509e-08
AE loss	 15 	 10 	 CH4O 	 CH4O 	 6.0037128481573174e-05
AE loss	 15 	 1 	 N2 	 N2 	 9.017864579114548e-05
AE loss	 15 	 3 	 CHN 	 CNH 	 0.007733102553972186
AE loss	 15 	 11 	 HF2 	 HF2 	 0.0009081041713750187
AE loss	 15 	 9 	 HN2O 	 HON2 	 0.0008984620371638307
AE loss	 15 	 0 	 H2 	 H2 	 5.838685853193827e-07
AE loss	 15 	 8 	 N 	 N 	 1.0997894869031998e-05
AE loss	 16 	 9 	 HN2O 	 HON2 	 0.0009010049595207844
AE loss	 16 	 0 	 H2 	 H2 	 6.565031165599303e-07
AE loss	 16 	 5 	 F 	 F 	 2.3343755825016376e-07
