AE loss	 10 	 7 	 Li 	 Li 	 4.826066421332321e-07
AE loss	 10 	 3 	 CHN 	 CNH 	 0.008518145989427236
AE loss	 10 	 4 	 C 	 C 	 4.156121298921435e-06
AE loss	 10 	 0 	 H2 	 H2 	 1.3806908418558773e-07
AE loss	 10 	 6 	 H 	 H 	 1.918500709655027e-08
AE loss	 10 	 8 	 N 	 N 	 6.088999905430269e-06
AE loss	 11 	 1 	 N2 	 N2 	 0.0001253973994750598
AE loss	 11 	 5 	 F 	 F 	 1.832994231672924e-07
AE loss	 11 	 7 	 Li 	 Li 	 5.028874778337472e-07
AE loss	 11 	 8 	 N 	 N 	 6.314246366620859e-06
AE loss	 11 	 4 	 C 	 C 	 4.483577275886428e-06
AE loss	 11 	 2 	 FLi 	 LiF 	 0.008956741025643507
AE loss	 11 	 6 	 H 	 H 	 2.1105873817760048e-08
AE loss	 11 	 0 	 H2 	 H2 	 5.5989416832138667e-08
AE loss	 11 	 3 	 CHN 	 CNH 	 0.008365659421801157
AE loss	 12 	 5 	 F 	 F 	 5.422251150765172e-07
AE loss	 12 	 0 	 H2 	 H2 	 3.583129339970577e-08
AE loss	 12 	 8 	 N 	 N 	 5.76978027559144e-06
AE loss	 12 	 7 	 Li 	 Li 	 6.032995512758575e-07
AE loss	 12 	 2 	 FLi 	 LiF 	 0.008907207391983646
AE loss	 12 	 4 	 C 	 C 	 4.10637146019339e-06
AE loss	 12 	 6 	 H 	 H 	 2.3040121541886782e-08
AE loss	 12 	 3 	 CHN 	 CNH 	 0.008278910460439801
AE loss	 12 	 1 	 N2 	 N2 	 0.00011533243209691441
AE loss	 13 	 3 	 CHN 	 CNH 	 0.008244381816703814
AE loss	 13 	 2 	 FLi 	 LiF 	 0.008866093662066971
AE loss	 13 	 4 	 C 	 C 	 4.564858342158702e-06
AE loss	 13 	 1 	 N2 	 N2 	 0.00011216628815808914
AE loss	 13 	 0 	 H2 	 H2 	 1.959817676987993e-10
AE loss	 13 	 6 	 H 	 H 	 3.1170590791776505e-08
AE loss	 13 	 5 	 F 	 F 	 1.5467410797818785e-08
AE loss	 13 	 7 	 Li 	 Li 	 6.339470154701493e-07
AE loss	 13 	 8 	 N 	 N 	 7.94021047376265e-06
AE loss	 14 	 6 	 H 	 H 	 3.453207783693066e-08
AE loss	 14 	 0 	 H2 	 H2 	 9.346166210832739e-09
AE loss	 14 	 1 	 N2 	 N2 	 0.00010776250736793163
AE loss	 14 	 2 	 FLi 	 LiF 	 0.00879243803364754
AE loss	 14 	 3 	 CHN 	 CNH 	 0.008060450181367118
AE loss	 14 	 7 	 Li 	 Li 	 6.489405152570949e-07
AE loss	 14 	 5 	 F 	 F 	 6.991333100494075e-09
AE loss	 14 	 4 	 C 	 C 	 5.710412032377369e-06
AE loss	 14 	 8 	 N 	 N 	 8.837983280811835e-06
AE loss	 15 	 0 	 H2 	 H2 	 3.920631122147793e-08
AE loss	 15 	 5 	 F 	 F 	 7.866813197445637e-09
AE loss	 15 	 4 	 C 	 C 	 5.477414601036059e-06
AE loss	 15 	 8 	 N 	 N 	 8.199010797567016e-06
AE loss	 15 	 7 	 Li 	 Li 	 7.618063139787185e-07
