AE loss	 8 	 6 	 F 	 F 	 2.2635155943941176e-07
AE loss	 8 	 9 	 N 	 N 	 1.8509512001655728e-05
AE loss	 8 	 4 	 CO2 	 CO2 	 0.016425235787985003
AE loss	 8 	 2 	 FLi 	 LiF 	 0.009017993700683976
AE loss	 8 	 3 	 CHN 	 CNH 	 0.008703240391776897
AE loss	 8 	 7 	 H 	 H 	 1.4354329060649086e-08
AE loss	 9 	 10 	 O 	 O 	 6.41675380210593e-06
AE loss	 9 	 4 	 CO2 	 CO2 	 0.01630325144512183
AE loss	 9 	 7 	 H 	 H 	 1.4381713375298702e-08
AE loss	 9 	 2 	 FLi 	 LiF 	 0.008953645581553264
AE loss	 9 	 3 	 CHN 	 CNH 	 0.008638577963792879
AE loss	 9 	 6 	 F 	 F 	 1.0837005152522489e-10
AE loss	 9 	 5 	 C 	 C 	 2.3294475289799384e-05
AE loss	 9 	 1 	 N2 	 N2 	 0.0001039608583006041
AE loss	 9 	 8 	 Li 	 Li 	 2.5972227434278794e-06
AE loss	 9 	 9 	 N 	 N 	 2.095688157408002e-05
AE loss	 9 	 0 	 H2 	 H2 	 4.70193198787701e-06
AE loss	 10 	 1 	 N2 	 N2 	 0.00010138246902063991
AE loss	 10 	 6 	 F 	 F 	 4.2982997997856025e-09
AE loss	 10 	 8 	 Li 	 Li 	 2.7692907854517166e-06
AE loss	 10 	 9 	 N 	 N 	 2.0795564883660088e-05
AE loss	 10 	 5 	 C 	 C 	 2.4324940682056853e-05
AE loss	 10 	 0 	 H2 	 H2 	 4.691835838924824e-06
AE loss	 10 	 3 	 CHN 	 CNH 	 0.008506848465440456
AE loss	 10 	 2 	 FLi 	 LiF 	 0.00886158658162739
AE loss	 10 	 10 	 O 	 O 	 6.4683325763164794e-06
AE loss	 10 	 4 	 CO2 	 CO2 	 0.015939963332774545
AE loss	 10 	 7 	 H 	 H 	 1.9520483361897077e-08
AE loss	 11 	 7 	 H 	 H 	 2.0066499906196282e-08
AE loss	 11 	 4 	 CO2 	 CO2 	 0.01586584786977018
AE loss	 11 	 9 	 N 	 N 	 2.0832629710862146e-05
AE loss	 11 	 5 	 C 	 C 	 2.599164358426221e-05
AE loss	 11 	 2 	 FLi 	 LiF 	 0.008797749386376378
AE loss	 11 	 3 	 CHN 	 CNH 	 0.00840589803825313
AE loss	 11 	 8 	 Li 	 Li 	 3.591573313940622e-06
AE loss	 11 	 6 	 F 	 F 	 5.135051984339343e-08
AE loss	 11 	 0 	 H2 	 H2 	 5.076447084220607e-06
AE loss	 11 	 1 	 N2 	 N2 	 8.950131365334053e-05
AE loss	 11 	 10 	 O 	 O 	 8.335484403846501e-06
AE loss	 12 	 10 	 O 	 O 	 8.315565557589495e-06
AE loss	 12 	 6 	 F 	 F 	 4.006378146513006e-08
AE loss	 12 	 5 	 C 	 C 	 2.877180605464421e-05
AE loss	 12 	 1 	 N2 	 N2 	 8.756480378264726e-05
AE loss	 12 	 8 	 Li 	 Li 	 3.985454186140533e-06
AE loss	 12 	 7 	 H 	 H 	 2.3431784040799918e-08
AE loss	 12 	 2 	 FLi 	 LiF 	 0.00871899165525689
AE loss	 12 	 9 	 N 	 N 	 2.123402961506349e-05
AE loss	 12 	 4 	 CO2 	 CO2 	 0.01552207159931932
AE loss	 12 	 0 	 H2 	 H2 	 5.184325631536974e-06
AE loss	 12 	 3 	 CHN 	 CNH 	 0.008280408678045996
AE loss	 13 	 7 	 H 	 H 	 2.354127907638944e-08
AE loss	 13 	 2 	 FLi 	 LiF 	 0.008688278605350312
AE loss	 13 	 3 	 CHN 	 CNH 	 0.00824393698612785
AE loss	 13 	 5 	 C 	 C 	 2.9171890359702282e-05
AE loss	 13 	 1 	 N2 	 N2 	 8.025083720092795e-05
AE loss	 13 	 10 	 O 	 O 	 6.854379879723281e-06
AE loss	 13 	 6 	 F 	 F 	 4.334801020028023e-07
AE loss	 13 	 4 	 CO2 	 CO2 	 0.015313718615645894
AE loss	 13 	 0 	 H2 	 H2 	 5.2249280214594455e-06
AE loss	 13 	 9 	 N 	 N 	 2.4994262824856867e-05
AE loss	 13 	 8 	 Li 	 Li 	 5.043385808333063e-06
AE loss	 14 	 6 	 F 	 F 	 1.699093468489784e-07
AE loss	 14 	 1 	 N2 	 N2 	 7.568677798702145e-05
AE loss	 14 	 8 	 Li 	 Li 	 5.341934168187127e-06
AE loss	 14 	 3 	 CHN 	 CNH 	 0.008111619328634325
AE loss	 14 	 4 	 CO2 	 CO2 	 0.01513943231581066
AE loss	 14 	 10 	 O 	 O 	 1.0400141839641281e-05
AE loss	 14 	 5 	 C 	 C 	 3.7267256071869297e-05
AE loss	 14 	 2 	 FLi 	 LiF 	 0.00858263667320081
AE loss	 14 	 7 	 H 	 H 	 3.535813266480795e-08
AE loss	 14 	 0 	 H2 	 H2 	 5.728267147563616e-06
AE loss	 14 	 9 	 N 	 N 	 3.1745625451502935e-05
AE loss	 15 	 9 	 N 	 N 	 3.1538246963422174e-05
AE loss	 15 	 8 	 Li 	 Li 	 6.485867603816256e-06
AE loss	 15 	 2 	 FLi 	 LiF 	 0.008536403355608036
AE loss	 15 	 3 	 CHN 	 CNH 	 0.008015827782148464
AE loss	 15 	 1 	 N2 	 N2 	 6.77824243971149e-05
AE loss	 15 	 4 	 CO2 	 CO2 	 0.01490949033941751
AE loss	 15 	 7 	 H 	 H 	 3.783313828187784e-08
AE loss	 15 	 10 	 O 	 O 	 1.0225997602251313e-05
AE loss	 15 	 5 	 C 	 C 	 3.950924080548476e-05
AE loss	 15 	 0 	 H2 	 H2 	 5.9323849011548685e-06
AE loss	 15 	 6 	 F 	 F 	 1.2706637980418674e-07
AE loss	 16 	 3 	 CHN 	 CNH 	 0.00793429707690132
AE loss	 16 	 10 	 O 	 O 	 1.0236541077035143e-05
AE loss	 16 	 9 	 N 	 N 	 3.159523981742487e-05
AE loss	 16 	 4 	 CO2 	 CO2 	 0.01472016384555042
AE loss	 16 	 5 	 C 	 C 	 4.1016446998463344e-05
AE loss	 16 	 6 	 F 	 F 	 1.1647269381092697e-07
AE loss	 16 	 2 	 FLi 	 LiF 	 0.008443486972702852
