#	Epoch	E	rho	ae	total
0	0.011010971428313704	67.74699097821498	82.79335337114824	60.47201455796895
1	0.00838205723630806	67.9711719198565	82.84184038822748	60.51773538352672
2	0.010185849896121573	67.6546698079647	82.16936792768249	60.039741882460454
3	0.012303086847210423	67.43663326003517	81.63995588617321	59.66524373883991
4	0.015467978389777601	67.17430131456035	81.118981278171	59.2940791773904
5	0.016436492530884358	66.95754162467624	80.60247251421906	58.928532329868894
6	0.018254712192426418	66.90344607583134	80.0474223558743	58.545980145546025
7	0.02119328102531673	66.7689944400057	79.71383418807864	58.31035522893671
8	0.020738892972717863	66.60438397427674	78.99272096760689	57.8080893243404
9	0.02093293989948517	66.50254181022353	78.69090002171244	57.596024995409906
10	0.021424752460711075	66.42083608590968	78.0079886729705	57.124910710831834
11	0.022538843453646446	66.31380539528172	77.7208241700206	56.92266766482589
12	0.022762732078281705	66.24235377905144	77.0791699405881	56.480558648721306
13	0.023592933900277772	66.22930314525723	76.74980712158192	56.25511655848145
14	0.026105416436470925	66.11270894806565	76.27708292533467	55.92592737987011
15	0.026876810743010845	66.00610309345947	75.82678890850855	55.61261976082901
16	0.027722755658317833	66.06962607609358	75.38471300196571	55.31513451854058
17	0.028545594101079125	65.99777405062412	74.90754506761961	54.9857886012818
18	0.02799189615585701	66.10509624638055	74.47687120462967	54.69894619028506
19	0.028954204318144723	66.0731362510341	74.10230857062419	54.4421056632195
20	0.030239437471385737	66.01264360204183	73.66233145950122	54.1391211246459
21	0.03191972567001841	65.99083801064496	73.442086004406	53.98806738803795
